Title,Author,Journal,Abstract,Year,DOI,Publication Type
The discovery of potent and selective dopamine D4 receptor antagonists.,"Faraci, W S",Curr Opin Chem Biol,"The identification of a novel dopamine receptor subtype, referred to as the D4 receptor, which binds the atypical antipsychotic drug clozapine with high potency, has led to the initiation of a drug discovery program that aims to find novel inhibitors of this receptor subtype. A selective screening strategy was utilized, in which 4500 compounds chosen on the basis of structural similarities to known biogenic amine receptor antagonists were tested against both the D4 and D2 dopamine receptor subtypes. A potent D4-selective compound was discovered.",1998,10.1016/s1367-5931(98)80131-2,Journal Article; Review
"Amphetamine, 3,4-methylenedioxymethamphetamine, lysergic acid diethylamide, and metabolites of the catecholamine neurotransmitters are agonists of a rat trace amine receptor.","Bunzow, J R",Mol Pharmacol,"The trace amine para-tyramine is structurally and functionally related to the amphetamines and the biogenic amine neurotransmitters. It is currently thought that the biological activities elicited by trace amines such as p-tyramine and the psychostimulant amphetamines are manifestations of their ability to inhibit the clearance of extracellular transmitter and/or stimulate the efflux of transmitter from intracellular stores. Here we report the discovery and pharmacological characterization of a rat G protein-coupled receptor that stimulates the production of cAMP when exposed to the trace amines p-tyramine, beta-phenethylamine, tryptamine, and octopamine. An extensive pharmacological survey revealed that psychostimulant and hallucinogenic amphetamines, numerous ergoline derivatives, adrenergic ligands, and 3-methylated metabolites of the catecholamine neurotransmitters are also good agonists at the rat trace amine receptor 1 (rTAR1). These results suggest that the trace amines and catecholamine metabolites may serve as the endogenous ligands of a novel intercellular signaling system found widely throughout the vertebrate brain and periphery. Furthermore, the discovery that amphetamines, including 3,4-methylenedioxymethamphetamine (MDMA; ""ecstasy""), are potent rTAR1 agonists suggests that the effects of these widely used drugs may be mediated in part by this receptor as well as their previously characterized targets, the neurotransmitter transporter proteins.",2001,10.1124/mol.60.6.1181,"Journal Article; Research Support, Non-U.S. Gov't; Research Support, U.S. Gov't, P.H.S."
Inhibitory effects of trace amines on rat midbrain dopaminergic neurons.,"Geracitano, Raffaella",Neuropharmacology,"Trace amines are biological compounds that are still awaiting identification of their role in neuronal function. Using intracellular electrophysiological recordings, we investigated the depressant action of two trace amines (beta-phenylethylamine and tyramine) on the firing activity of dopaminergic neurons of the substantia nigra pars compacta and ventral tegmental area. This inhibition was due to a membrane hyperpolarisation that was blocked by the D2 dopamine receptor antagonist sulpiride and was not potentiated by the dopamine-uptake blocker, cocaine. Inhibition of the dopamine transporter did not mediate the effects of trace amines, because unlike cocaine, trace amines did not potentiate the inhibitory responses to exogenously applied dopamine. The inhibitory actions of beta-phenylethylamine and tyramine were present in reserpine-treated animals but were abolished when the dopamine-synthesis inhibitor carbidopa was applied. Our data suggest that trace amines cause an indirect activation of dopamine autoreceptors, by an increased efflux of newly synthesised dopamine. The inhibition of dopaminergic activity by trace amines may relate to their involvement in neuronal processes linked to drug addiction, schizophrenia, attention deficit hyperactive disorders and Parkinson's disease.",2004,10.1016/j.neuropharm.2003.11.031,"Comparative Study; Journal Article; Research Support, Non-U.S. Gov't"
"Trace amine receptors as targets for novel therapeutics: legend, myth and fact.","Branchek, Theresa A",Curr Opin Pharmacol,"Trace amines are attracting attention as neurotransmitters because they are believed to play a role in human disorders such as schizophrenia, depression, attention deficit disorder and Parkinson's disease. Research to date is promising and confirms the need for continuing work to forge the way for new drug discovery.",2003,10.1016/s1471-4892(02)00028-0,Journal Article; Review
The mysterious trace amines: protean neuromodulators of synaptic transmission in mammalian brain.,"Burchett, Scott A",Prog Neurobiol,"The trace amines are a structurally related group of amines and their isomers synthesized in mammalian brain and peripheral nervous tissues. They are closely associated metabolically with the dopamine, noradrenaline and serotonin neurotransmitter systems in mammalian brain. Like dopamine, noradrenaline and serotonin the trace amines have been implicated in a vast array of human disorders of affect and cognition. The trace amines are unique as they are present in trace concentrations, exhibit high rates of metabolism and are distributed heterogeneously in mammalian brain. While some are synthesized in their parent amine neurotransmitter systems, there is also evidence to suggest other trace amines may comprise their own independent neurotransmitter systems. A substantial body of evidence suggests that the trace amines may play very significant roles in the coordination of biogenic amine-based synaptic physiology. At high concentrations, they have well-characterized presynaptic ""amphetamine-like"" effects on catecholamine and indolamine release, reuptake and biosynthesis; at lower concentrations, they possess postsynaptic modulatory effects that potentiate the activity of other neurotransmitters, particularly dopamine and serotonin. The trace amines also possess electrophysiological effects that are in opposition to these neurotransmitters, indicating to some researchers the existence of receptors specific for the trace amines. While binding sites or receptors for a few of the trace amines have been advanced, the absence of cloned receptor protein has impeded significant development of their detailed mechanistic roles in the coordination of catecholamine and indolamine synaptic physiology. The recent discovery and characterization of a family of mammalian G protein-coupled receptors responsive to trace amines such as beta-phenylethylamine, tyramine, and octopamine, including socially ingested psychotropic drugs such as amphetamine, 3,4-methylenedioxymethamphetamine, N,N-dimethyltryptamine, and lysergic acid diethylamide, have revitalized the field of scientific studies investigating trace amine synaptic physiology, and its association with major human disorders of affect and cognition.",2006,10.1016/j.pneurobio.2006.07.003,"Journal Article; Research Support, N.I.H., Extramural; Review"
Receptors of mammalian trace amines.,"Lewin, Anita H",AAPS J,"The discovery of a family of G-protein coupled receptors, some of which bind and are activated by biogenic trace amines, has prompted speculation as to the physiological role of these receptors. Observations associated with the distribution of these trace amine associated receptors (TAARs) suggest that they may be involved in depression, attention-deficit hyperactivity disorder, eating disorders, migraine headaches, and Parkinson's disease. Preliminary in vitro data, obtained using cloned receptors, also suggest a role for TAARs in the function of hallucinogens.",2006,10.1208/aapsj080116,Journal Article; Review
A renaissance in trace amines inspired by a novel GPCR family.,"Lindemann, Lothar",Trends Pharmacol Sci,"Trace amines (TAs) are endogenous compounds that are related to biogenic amine neurotransmitters and are present in the mammalian nervous system in trace amounts. Although their pronounced pharmacological effects and tight link to major human disorders such as depression and schizophrenia have been studied for decades, the understanding of their molecular mode of action remained incomplete because of the apparent absence of specialized receptors. However, the recent discovery of a novel family of G-protein-coupled receptors (GPCRs) that includes individual members that are highly specific for TAs indicates a potential role for TAs as vertebrate neurotransmitters or neuromodulators, although the majority of these GPCRs so far have not been demonstrated to be activated by TAs. The unique pharmacology and expression pattern of these receptors make them prime candidates for targets in drug development in the context of several neurological diseases. Current research focuses on dissecting their molecular pharmacology and on the identification of endogenous ligands for the apparently TA-insensitive members of this receptor family.",2005,10.1016/j.tips.2005.03.007,"Journal Article; Research Support, Non-U.S. Gov't; Review"
Beta-phenylethylamine inhibits K+ currents in neocortical neurons of the rat: a possible mechanism of beta-phenylethylamine-induced seizures.,"Kitamura, Taro",Tohoku J Exp Med,"beta-Phenylethylamine (beta-PEA), an endogenous amine synthesized in the brain, serves as a neuromodulator and is involved in the pathophysiology of various neurological disorders such as depression, schizophrenia, and attention-deficit hyperactivity disorder. beta-PEA fully exerts the physiological effects within the nanomolar concentration range via the trace amine receptors, but beta-PEA also causes convulsions at much higher concentrations via an as yet unknown mechanism. To investigate the electrophysiological mechanism by which beta-PEA induces convulsions, we examined the effect of beta-PEA on ionic currents passing through the cell membrane of dissociated rat cerebral cortical neurons, using a patch-clamp technique. The external application of beta-PEA suppressed ionic currents which continuously flowed when the membrane potential was held at -25 mV. The suppression was in a concentration-dependent manner and a half-maximal effective concentration was 540 muM. These currents suppressed by beta-PEA consisted of two K(+) currents: a time- and voltage-dependent K(+) current (M-current) and a leakage K(+) current. The suppression of the M-current reduces the efficacy of the current in limiting excessive neuronal firing, and the suppression of the leakage K(+) current can cause membrane depolarization and thus promote neuronal excitation. Reducing both of these currents in concert may produce neuronal seizing activity, which could conceivably underlie the convulsions induced by high-dose beta-PEA.",2008,10.1620/tjem.215.333,Journal Article
"Cloning, expression, and functional analysis of rhesus monkey trace amine-associated receptor 6: evidence for lack of monoaminergic association.","Xie, Zhihua",J Neurosci Res,"Several recent studies report an association between trace amine-associated receptor 6 (TAAR6) and susceptibility to schizophrenia and bipolar affective disorder in humans. However, endogenous TAAR6 agonists and the receptor signaling profile and brain distribution remain unclear. Here, we clone TAAR6 from the rhesus monkey and use transfected cells to investigate whether this receptor interacts with brain monoamines and a psychostimulant drug to trigger cAMP signaling or extracellular signal-regulated kinase (ERK) phosphorylation, while investigating its expression profile in the rhesus monkey brain. Unlike TAAR1, rhesus monkey TAAR6 did not alter cAMP levels in response to 10 microM of monoamines (dopamine, norepinephrine, serotonin, beta-phenylethylamine (beta-PEA), octopamine, tryptamine, and tyramine) or methamphetamine in stably transfected cells in vitro. Real-time cell electronic sensing analysis indicated that the receptor did not alter cell impedance or change the effect of forskolin on cell impedance at exposure to 20 microM of each monoamine, suggesting a lack of either Gs or Gi-linked signaling. Whereas kappa opioid receptor activation led to ERK phosphorylation at exposure to 1 microM U69593, rhesus monkey TAAR6 had no such effect at exposure to 10 microM of monoamines or methamphetamine. Membrane and cell surface localization of TAAR6 was confirmed by immunocytochemistry, biotinylation, and Western blot testing with a TAAR6 antibody in the transfected cells. Real-time reverse transcriptase-polymerase chain reaction amplification showed that TAAR6 mRNA was undetectable in selected rhesus monkey brain regions. Together, the data reveal that TAAR6 is unresponsive to brain monoamines and is not expressed in rhesus monkey brain monoaminergic nuclei, suggesting TAAR6 lacks direct association with brain monoaminergic neuronal function.",2008,10.1002/jnr.21783,"Journal Article; Research Support, N.I.H., Extramural"
Expression of neuronal trace amine-associated receptor (Taar) mRNAs in leukocytes.,"Nelson, Daniel A",J Neuroimmunol,"Trace amines such as tyramine, octopamine and beta-phenylethylamine bind with high affinity to the mammalian trace amine-associated receptor 1 (Taar1), potentially activating G-proteins in the synaptic membranes of target neurons. Recently there has been significant interest in Taar1, since this receptor can bind certain psychoactive drugs of abuse such as Ecstasy (3,4-methylenedioxymethamphetamine). Surprisingly, Ecstasy has been shown to alter responses of immune cells, and we questioned whether Taar receptors might be responsible for this effect. Using sensitive and quantitative RT-PCR assays, we found no detectable expression of Taar mRNA in bone marrow, or in primary cultures of mouse macrophages and dendritic cells whether quiescent or activated by exposure to lipopolysaccharide or the mouse gamma herpesvirus-68 (gammaHV-68). Mouse B cells and NK cells isolated from spleen, however, showed expression of several Taar mRNA species. Taar mRNA expression was also upregulated in human peripheral blood lymphocytes following in vitro stimulation with PHA. These studies represent the first to define expression of the mRNAs encoding these trace amine receptors in leukocytes.",2007,10.1016/j.jneuroim.2007.08.006,"Journal Article; Research Support, N.I.H., Extramural"
