Title,Authors,DOI,DOI link,Venue,Citation count,Year,Population Age,"Reasoning for ""Population Age""",Study Design,"Reasoning for ""Study Design""",Data Reporting,"Reasoning for ""Data Reporting""",Outcome Measures,"Reasoning for ""Outcome Measures""",Study Setting,"Reasoning for ""Study Setting""",Test Methodology,"Reasoning for ""Test Methodology""",Test Type and Reference Standard,"Reasoning for ""Test Type and Reference Standard""",Screening judgement,"Reasoning for ""Screening judgement""",Screening score
Comparison of diagnostic accuracy of rapid antigen tests for COVID-19 compared to the viral genetic test in adults: a systematic review and meta-analysis,"Ellyn Hirabayashi, Guadalupe Mercado, Brandi Hull, Sabrina Soin, Sherli Koshy-Chenthittayil, Sarina Raman, Timothy Huang, Chathushya Keerthisinghe, Shelby Feliciano, Andrew Dongo, James Kal, Azliyati Azizan, Karen Duus, Terry Else, Megan DeArmond, Amy E L Stone",10.11124/JBIES-23-00291,https://doi.org/10.11124/JBIES-23-00291,JBI Evidence Synthesis,0,2024,yes,"The study only includes non-pregnant adult participants (aged 18 years or older), as explicitly stated in the inclusion criteria.",yes,"The study is a systematic review and meta-analysis that includes primary diagnostic accuracy studies, as mentioned in the abstract.",yes,"The study reports rapid antigen test results separately from other test types, as indicated by the abstract's focus on analyzing RAT results compared to RT-PCR.",yes,"The study reports quantifiable diagnostic accuracy data, including sensitivity, specificity, positive predictive value, and negative predictive value.",yes,"The study is conducted in primary care settings, as mentioned in the abstract.",yes,"The study evaluates point-of-care rapid antigen tests (RATs) that detect viral proteins, distinguishing them from other test types.",yes,"The study uses RT-PCR as the reference standard for evaluating the rapid antigen tests, as stated in the abstract.",Include,"A systematic review and meta-analysis of rapid antigen tests for COVID-19 diagnostic accuracy, focusing exclusively on non-pregnant adults aged 18 and older, using RT-PCR as the reference standard. The study comprehensively reports diagnostic performance metrics across multiple test brands, with clear methodology and rigorous inclusion criteria. Quantifiable outcomes including sensitivity, specificity, and predictive values were systematically analyzed across 91 primary studies.",4.9
Comparing the diagnostic accuracy of rapid antigen detection tests to real time polymerase chain reaction in the diagnosis of SARS-CoV-2 infection: A systematic review and meta-analysis,"Jonghoo Lee, J. Song, S. Shim",10.1016/j.jcv.2021.104985,https://doi.org/10.1016/j.jcv.2021.104985,Journal of Clinical Virology,51,2021,maybe,"The abstract does not explicitly state the age range of participants, so there is uncertainty about whether the data includes or separates adult participants from others.",yes,"The study is a meta-analysis that reports original diagnostic accuracy data from 24 studies comprising 14,188 patients, even though it is not a primary diagnostic accuracy study.",yes,"The study reports rapid antigen test results separately from other test types, as it is a meta-analysis specifically focused on RADTs and the results are presented independently with clear sensitivity and specificity values.",yes,"The study reports clear quantifiable diagnostic accuracy data, including sensitivity, specificity, diagnostic odds ratio, and other measures.",maybe,"While the abstract mentions ""subjects in the community,"" it doesn't explicitly state whether all included studies were conducted in clinical or community settings. However, given the nature of the tests and reference standard, it's likely these were clinical settings.",yes,"The study specifically evaluates rapid antigen detection tests (RADTs) for SARS-CoV-2, which is exactly what the criterion is looking for.",yes,"The study explicitly uses RT-PCR as the reference standard, comparing RADTs against both commercial and laboratory-developed RT-PCR.",Include,"A comprehensive meta-analysis of rapid antigen detection tests for SARS-CoV-2 demonstrates strong alignment with most screening criteria, including clear test methodology, reference standard, and quantifiable diagnostic accuracy measures. The primary uncertainty lies in the lack of explicit confirmation regarding participant age range, which introduces a potential limitation in fully meeting all screening requirements. Despite this, the study provides robust evidence on rapid antigen test performance across multiple studies.",4.3
Diagnostic Accuracy of Antigenic Tests for the Diagnosis of SARS-CoV-2 Infection: Systematic Review and Meta-Analysis,"Aura Gutiérrez, Diego Larrotta-Castillo, Kelly Estrada-Orozco",10.2139/ssrn.4157895,https://doi.org/10.2139/ssrn.4157895,Social Science Research Network,0,2022,no,The abstract mentions both adult and pediatric populations were included in the analysis. This is a significant issue as the screening criteria specifically require adult-only populations or separate reporting of adult data. The abstract doesn't indicate whether adult data was analyzed separately.,yes,"This is a systematic review and meta-analysis of diagnostic accuracy studies. While it's not a primary study, it does report original meta-analyzed data, which meets this criterion.",maybe,"The abstract indicates this is a meta-analysis of rapid antigen tests compared against RT-PCR. While it reports combined sensitivity and specificity, it's not explicitly stated whether results are separated from other test types. However, as a focused meta-analysis on antigen tests, this criterion is likely met.",yes,"The study reports clear diagnostic accuracy measures, including combined sensitivity (72.7%) and specificity (99.7%), meeting this criterion.",maybe,"While not explicitly stated, the context suggests clinical and community settings were included, as it mentions both symptomatic and asymptomatic patients.",yes,"The study clearly focuses on rapid antigen tests for SARS-CoV-2, meeting this criterion.",yes,"The study explicitly uses RT-PCR as the reference standard for evaluating rapid antigen tests, meeting this criterion.",Include,"A systematic review and meta-analysis of rapid antigen tests for SARS-CoV-2 demonstrates strong alignment with most screening criteria, including test methodology, reference standard, and outcome measures. However, the inclusion of both adult and pediatric populations without clear separate reporting of adult data represents a significant deviation from the specified screening requirements. The study provides comprehensive diagnostic accuracy data but falls short of the strict population age criterion.",3.4
Diagnostic accuracy of rapid antigen tests for COVID-19 compared to the viral genetic test in adults: a systematic review protocol.,"M. DeArmond, Shelby Feliciano, Ellyn Hirabayashi, K. Duus, T. Else, Amy Stone",10.11124/JBIES-20-00561,https://doi.org/10.11124/JBIES-20-00561,JBI Evidence Synthesis,1,2021,yes,"The abstract explicitly states it will include ""ages over 18"" and excludes pregnant women, which aligns perfectly with this criterion.",no,"This is a systematic review protocol, not a primary diagnostic accuracy study or meta-analysis reporting original data. This is a critical mismatch with the inclusion criteria.",maybe,"The abstract indicates this is a systematic review that will evaluate rapid antigen tests separately from PCR tests. However, as this is a protocol for a systematic review rather than a primary study, it doesn't actually report test results itself.",yes,"The abstract indicates they will analyze diagnostic accuracy measures, including sensitivity and specificity, meeting this criterion.",maybe,"The abstract doesn't explicitly specify the study setting, though as a systematic review, it will likely include both clinical and community settings.",yes,"The study focuses specifically on rapid antigen tests versus PCR tests, meeting this criterion.",yes,"The abstract mentions comparing rapid antigen tests to ""viral genetic PCR-based tests,"" which suggests PCR is used as the reference standard, meeting this criterion.",Exclude,"A systematic review protocol examining rapid antigen tests for COVID-19 in adults over 18, comparing them to PCR tests, meets most screening criteria. However, as a protocol rather than a primary study reporting original data, it fundamentally fails to meet the critical requirement of being a diagnostic accuracy study or meta-analysis with original results. The document outlines a research approach but does not provide actual diagnostic accuracy data.",1.4
Diagnostic Accuracy of Rapid Antigen Tests for COVID-19 Detection: A Systematic Review With Meta-analysis,"M. Arshadi, F. Fardsanei, B. Deihim, Z. Farshadzadeh, F. Nikkhahi, Farima Khalili, G. Sotgiu, A. H. Shahidi Bonjar, R. Centis, G. Migliori, M. Nasiri, M. Mirsaeidi",10.3389/fmed.2022.870738,https://doi.org/10.3389/fmed.2022.870738,Frontiers in Medicine,27,2022,maybe,"The abstract does not explicitly specify the age range of participants included in the analysis, creating some uncertainty about whether the data includes or separates results for adults vs. children.",yes,"The study is a systematic review and meta-analysis that reports original diagnostic accuracy data from 60 primary studies, which meets the criterion for a primary diagnostic accuracy study or meta-analysis reporting original data.",yes,"The study reports rapid antigen test results separately from other test types, as it is a meta-analysis specifically focused on RAT performance against RT-PCR.",yes,"The study reports comprehensive diagnostic accuracy measures including sensitivity (69%), specificity (99%), DOR, PLR, NLR, and AUC.",maybe,"While the abstract mentions application in ""countries with limited resources,"" it doesn't explicitly specify whether the included studies were conducted in clinical or community settings. However, given the nature of RAT evaluation, these are likely clinical/community settings.",yes,The study specifically focuses on rapid antigen tests (RAT) and clearly distinguishes them from other test types.,yes,"The study explicitly evaluates point-of-care rapid antigen tests using RT-PCR as the reference standard, which is clearly stated multiple times in the abstract.",Include,"A systematic review and meta-analysis of rapid antigen tests for SARS-CoV-2 demonstrates comprehensive diagnostic accuracy assessment using RT-PCR as the reference standard, with clear reporting of sensitivity, specificity, and other performance metrics. The study meets most screening criteria, with strong methodological alignment, though some uncertainty exists regarding participant age demographics. Overall, the research provides valuable insights into rapid antigen test performance across multiple studies.",4.6
"Diagnostic accuracy of rapid antigen test for SARS-CoV-2: A systematic review and meta‐analysis of 166,943 suspected COVID-19 patients","Jia-Wen Xie, Yunhua He, Yaqiong Zheng, Mao Wang, Yong Lin, Li-Rong Lin",10.1016/j.micres.2022.127185,https://doi.org/10.1016/j.micres.2022.127185,Microbiology Research,19,2022,maybe,"The abstract does not explicitly state the age range of participants or whether adult data is reported separately, creating some uncertainty around this criterion.",yes,"The study is a meta-analysis of 135 studies, which is explicitly stated in the abstract. While it is not a primary diagnostic accuracy study, meta-analyses are included in the criteria.",yes,"The study reports rapid antigen test results separately from other test types, as evidenced by the detailed diagnostic accuracy metrics provided in the abstract.",yes,"The study reports extensive quantifiable diagnostic accuracy data, including sensitivity, specificity, positive and negative likelihood ratios, and diagnostic odds ratio, with confidence intervals, strongly meeting this criterion.",maybe,"While not explicitly stated, as a meta-analysis of 135 studies, it likely includes both clinical and community settings, but this creates some uncertainty.",yes,"The study specifically focuses on rapid antigen tests (RAT) for SARS-CoV-2, meeting this criterion.",yes,"The abstract explicitly states that RT-PCR is used as the reference standard for evaluating RATs, meeting this criterion.",Include,"A comprehensive meta-analysis of rapid antigen tests for SARS-CoV-2 demonstrates strong diagnostic accuracy using RT-PCR as a reference standard, with detailed reporting of sensitivity, specificity, and other key performance metrics. While the study provides robust evidence across multiple criteria, some uncertainty exists regarding participant age ranges and specific testing settings. The analysis covers 135 studies with 166,943 samples, offering a robust assessment of rapid antigen test performance.",4.6
"Evaluation of a novel, rapid antigen detection test for the diagnosis of SARS-CoV-2","R. Thell, V. Kallab, W. Weinhappel, Wolfgang Mueckstein, Lukas Heschl, M. Heschl, S. Korsatko, Franz Toedling, A. Blaschke, Theresa Herzog, A. Klicpera, Clara Koeller, M. Haugk, A. Kreil, Alexander O Spiel, Philipp Kreuzer, R. Krause, C. Sebesta, S. Winkler, B. Laky, M. Széll",10.1371/journal.pone.0259527,https://doi.org/10.1371/journal.pone.0259527,medRxiv,16,2021,yes,"The study explicitly states participants were ""aged between 18 and 95 years,"" meeting the adult population criterion.",yes,"This is a primary diagnostic accuracy study comparing AG-rt with rt-PCR, with original data collection from 541 patients.",yes,"The study clearly reports rapid antigen test results separately from RT-PCR results, with specific numbers provided (174 AG-rt positive vs 213 rt-PCR positive).",yes,"The study reports comprehensive diagnostic accuracy data including sensitivity (80.3%), specificity (99.1%), PPV, NPV, and likelihood ratios.",yes,The study was conducted in clinical settings (five emergency departments and four primary healthcare centres).,yes,"The study specifically evaluates a point-of-care antigen rapid test (AG-rt) device, not antibody tests or other diagnostics.",yes,The study uses RT-PCR as the reference standard and evaluates point-of-care rapid antigen tests for SARS-CoV-2.,Include,"A comprehensive diagnostic accuracy study of rapid antigen tests for SARS-CoV-2 was conducted across multiple clinical settings, involving 541 adult participants aged 18-95 years. The research systematically compared point-of-care antigen rapid tests with RT-PCR as the reference standard, reporting detailed diagnostic performance metrics including sensitivity, specificity, and predictive values. The study met all screening criteria, providing robust evidence on the diagnostic utility of rapid antigen testing in symptomatic patients.",4.9
Diagnostic accuracy of a SARS-CoV-2 rapid antigen test in real-life clinical settings,"S. Jegerlehner, F. Suter-Riniker, Philipp Jent, P. Bittel, M. Nagler",10.1016/j.ijid.2021.07.010,https://doi.org/10.1016/j.ijid.2021.07.010,International Journal of Infectious Diseases,91,2021,maybe,"The abstract doesn't explicitly state the age range of participants, so it's unclear if the study only includes non-pregnant adult participants or if the data of adult participants are reported separately.",yes,This is a primary diagnostic accuracy study with original data collection from 1465 patients.,yes,"The study clearly reports rapid antigen test results separately, with specific numbers for both positive and negative results.",yes,The study reports clear diagnostic accuracy measures including sensitivity (65.3%) and specificity (99.9%) with confidence intervals.,yes,"The study was conducted in a ""primary/secondary care testing facility affiliated to a Swiss University Hospital,"" which qualifies as a clinical setting.",yes,The study specifically evaluates a rapid antigen test (Roche/SD Biosensor rapid antigen test).,yes,The study uses RT-PCR as the reference standard and evaluates a point-of-care rapid antigen test.,Include,"A comprehensive diagnostic accuracy study of a rapid antigen test for SARS-CoV-2 was conducted in a clinical setting, utilizing RT-PCR as the reference standard and reporting detailed sensitivity and specificity measures. The research systematically evaluated test performance across 1465 patients, providing robust quantitative data on diagnostic accuracy with clear methodological rigor. While most screening criteria were definitively met, the participant age range remained slightly ambiguous.",4.6
Diagnostic accuracy of two commercial SARS-CoV-2 antigen-detecting rapid tests at the point of care in community-based testing centers,"A. Berger, Marie Thérèse Ngo Nsoga, F. Pérez-Rodriguez, Y. Aad, Pascale Sattonnet-Roche, A. Gayet-Ageron, Cyril Jaksic, G. Torriani, E. Boehm, I. Kronig, J. Sacks, M. de Vos, F. Bausch, F. Chappuis, A. Renzoni, L. Kaiser, M. Schibler, I. Eckerle",10.1371/journal.pone.0248921,https://doi.org/10.1371/journal.pone.0248921,medRxiv,145,2020,maybe,"The abstract doesn't explicitly state the age range of participants. While it's likely these are adults given the clinical setting, we cannot be certain without more information.",yes,"This is a primary diagnostic accuracy study, specifically described as a ""prospective, single-center, point of care validation"" study with original data collection.",yes,"The study clearly reports rapid antigen test results separately, with detailed results for two different Ag-RDTs (Panbio and Standard Q) compared against RT-PCR.",yes,"The study reports clear diagnostic accuracy data, including sensitivity and specificity with confidence intervals for both tests.",yes,"The study is conducted in a clinical setting, described as a ""single-center"" validation study.",yes,"The study specifically evaluates rapid antigen tests (Ag-RDTs), with two different commercial products being tested.",yes,The study evaluates point-of-care rapid antigen tests and explicitly uses RT-PCR as the reference standard on nasopharyngeal swabs.,Include,"A prospective diagnostic accuracy study validating two rapid antigen tests for SARS-CoV-2 using RT-PCR as the reference standard, with comprehensive reporting of sensitivity and specificity across different test conditions. The research meets most screening criteria, with robust methodology and clear outcome measures, though participant age range remains uncertain. The study provides valuable insights into point-of-care diagnostic testing for COVID-19.",4.6
"Diagnostic Accuracy of Rapid Antigen Test Kits for Detecting SARS-CoV-2: A Systematic Review and Meta-Analysis of 17,171 Suspected COVID-19 Patients","S. Khandker, N. H. H. Nik Hashim, Z. Deris, R. Shueb, Md. Asiful Islam",10.3390/jcm10163493,https://doi.org/10.3390/jcm10163493,Journal of Clinical Medicine,94,2021,maybe,"The abstract does not explicitly state the age range of participants or whether data for adults was reported separately, creating significant uncertainty for this criterion.",yes,"The study is a meta-analysis of diagnostic accuracy studies, as explicitly stated in the abstract. The study analyzes pooled sensitivity and specificity data from multiple studies.",yes,"The study reports rapid antigen test results separately from other test types, as evidenced by the abstract providing specific pooled sensitivity and specificity values for RAT.",yes,"The study clearly reports quantifiable diagnostic accuracy data, including pooled sensitivity (68.4%) and specificity (99.4%) with confidence intervals.",maybe,"The abstract mentions both developing nations/rural areas and discusses clinical applications, suggesting clinical/community settings were included, though specific settings aren't detailed.",yes,The study specifically focuses on rapid antigen tests (RAT) for SARS-CoV-2 diagnosis.,maybe,"While the study evaluates RAT for SARS-CoV-2, it doesn't explicitly state that RT-PCR was used as the reference standard in all included studies. However, RT-PCR is mentioned in the context of re-testing negative samples, suggesting it was likely used as a reference standard in many cases.",Include,"A meta-analysis of rapid antigen tests for SARS-CoV-2 demonstrates strong reporting of diagnostic accuracy metrics with clear sensitivity and specificity data. While the study comprehensively evaluates test performance across different populations and settings, uncertainties remain regarding participant age range and precise reference standard usage. The research provides valuable insights into rapid antigen test performance, particularly in resource-limited contexts.",4
