StudyId,Title,Authors,PublicationName,AlternateName,Abstract,Url,AuthorAddress,Year,PublishedBeforeOriginalSearch,Doi,ReferenceType,Keywords,PdfRelativePath,CustomId,DateTimeStudyAdded,SystematicSearchId,SystematicSearchName,InvestigatorIds,InvestigatorNames,DateTimeOfScreenings,ScreeningDecisions,ScreeningStatus
98ba1854-41d9-449e-acaa-b8eb85e89f76,Diagnosis of COVID-19 obtained by rapid antigen test and reverse transcriptionâ€“polymerase chain reaction in a medical college in Eastern India-a record-based observational descriptive study,"K. Rit, S. Mukherjee Arijit Sarkar",National Journal of Physiology Pharmacy and Pharmacology,,"Background: In December 2019 in Wuhan, China, a new coronavirus known as severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) appeared. Gradually, the virus started spreading around the world, which was life-threatening.\\n\\nAims and Objectives: The studyâ€™s objective was to find out the positivity rate of infection, the category of patients included in the study, the percentage of positive and negative cases, comparison of rapid antigen detection in relation to real-time reverse transcriptionâ€“polymerase chain reaction (RT-PCR) test, and rapid antigen detection testâ€™s sensitivity and specificity. \\n\\nMaterials and Methods: Eight hundred sixty-five patientsâ€™ samples and nasopharyngeal swabs were collected within 3 months as routine samples. Two hundred thirty-two samples were compared by both rapid antigen test (RAT) and RT-PCR. To rule out false negatives, those who tested negative for COVID-19 using a RAT underwent testing by RT-PCR. To rule out false positives, a small number of patients who tested positive for COVID-19 by RAT also underwent validation by RT-PCR test. \\n\\nResults: Two hundred thirty-two samples were obtained for rapid antigen detection, then RT-PCR testing. Both the results were compared. According to the findings, the positivity rate of COVID-19 infection was 0.86%. Two patients (0.86%) tested positive (either by one or both methods) and the number of patients who tested negative was 230 (99.14%). RAT sensitivity and specificity were 50% and 100%, respectively, compared to gold standard RT-PCR. The positive predictive value was 100% and the negative predictive value was 99%. \\n\\nConclusion: We conclude that antigen detection methods are less sensitive than real-time RT-PCR but they can be used for COVID-19 mass screening and can be used as a quick diagnostic tool in remote locations without molecular testing facilities.",,,0,FALSE,10.5455/njppp.2023.13.06294202328062023,,,,,06/08/2025 20:34,8a5e7394-0169-4f90-9857-93aed053acb1,SR2 screen,6432ced2-e8af-4e33-a28f-368c927c5445;693ff678-f429-46bd-930a-439117565d93;429acf97-29e8-4ee6-9680-bbcb8847af89,Katarzyna Stefanska;Harris Khalid;Charis Wong,2025-08-08 19:05:41;2025-08-11 00:29:09;2025-08-13 12:03:37,Excluded;Included;Included,Included
9c2e9c90-8099-47ef-9620-c59a216dd75c,"Virus variant e speci ï¬ c clinical performance of SARS coronavirus two rapid antigen tests in point-of-care use, from November 2020 to January 2022",- ,-,,NA,,,0,FALSE,-,,,,,06/08/2025 20:34,8a5e7394-0169-4f90-9857-93aed053acb1,SR2 screen,6432ced2-e8af-4e33-a28f-368c927c5445;693ff678-f429-46bd-930a-439117565d93;429acf97-29e8-4ee6-9680-bbcb8847af89,Katarzyna Stefanska;Harris Khalid;Charis Wong,2025-08-09 08:31:10;2025-08-11 00:43:11;2025-08-14 16:35:27,Included;Excluded;Excluded,Excluded
6e50fd1a-9a48-4847-859c-ac74299a6581,Table_1.docx,- ,-,,NA,,,0,TRUE,10.3389/fmed.2021.797109.s001,,,,,06/08/2025 20:34,8a5e7394-0169-4f90-9857-93aed053acb1,SR2 screen,693ff678-f429-46bd-930a-439117565d93;6432ced2-e8af-4e33-a28f-368c927c5445,Harris Khalid;Katarzyna Stefanska,2025-08-11 00:35:59;2025-08-11 15:00:30,Excluded;Excluded,Excluded
984edb74-4caa-44af-80e0-f110a77df124,Comparison of the SARS-CoV-2 Rapid antigen test to the real star Sars-CoV-2 RT PCR kit,"A. KruÌˆttgen, C. Cornelissen, M. Dreher, M. Hornef, M. ImÃ¶hl, M Kleines",Journal of Virological Methods,,"AbstractBackgroundPre-/asymptomatic close contacts of SARS-CoV-2 infected individuals were tested at day 5 after contact by real-time reverse transcriptase polymerase chain reaction (RT-PCR). Diagnostic accuracy of antigen-detecting rapid diagnostic tests (Ag-RDT) in pre-/asymptomatic close contacts was up till now unknown.MethodsWe performed a prospective cross-sectional diagnostic test accuracy study. Close contacts (e.g. selected via the test-and-trace program or contact tracing app) aged â¥16 years and asymptomatic when requesting a test, were included consecutively and tested at day 5 at four Dutch public health service test sites. We evaluated two Ag-RDTs (BD Veritorâ¢ System Ag-RDT (BD), and Roche/SD Biosensor Ag-RDT (SD-B)) with RT-PCR as the reference standard. Virus culture was performed in RT-PCR positive individuals to determine the viral load cut-off above which 95% was culture positive, as a proxy of infectiousness.ResultsOf 2,678 BD-tested individuals, 233 (8.7%) were RT-PCR positive and BD detected 149 (sensitivity 63.9%; 95% confidence interval 57.4%-70.1%). Out of 1,596 SD-B-tested individuals, 132 (8.3%) were RT-PCR positive and SD-B detected 83 (sensitivity 62.9%; 54.0%-71.1%). When applying an infectiousness viral load cut-off â¥ 5.2 log10 gene copies/mL, the sensitivity was 90.1% (84.2%-94.4%) for BD, 86.8% (78.1% to 93.0%) for SD-B overall, and 88.1% (80.5%-93.5%) for BD, 85.1% (74.3%-92.6%) for SD-B for those still asymptomatic at the actual time of sampling. Specificity was >99% for both Ag-RDTs in all analyses.ConclusionsThe sensitivity for detecting SARS-CoV-2 of both Ag-RDTs in pre-/asymptomatic close contacts is over 60%, increasing to over 85% after applying an infectiousness viral load cut-off.Trial registration numberNot applicable. A study protocol is available upon request.",,,2020,TRUE,10.1016/j.jviromet.2020.114024,,,,,06/08/2025 20:34,8a5e7394-0169-4f90-9857-93aed053acb1,SR2 screen,6432ced2-e8af-4e33-a28f-368c927c5445;693ff678-f429-46bd-930a-439117565d93,Katarzyna Stefanska;Harris Khalid,2025-08-09 08:24:38;2025-08-11 00:35:19,Included;Included,Included
a4f64ea1-00b2-4def-9193-3f7503618e22,"A rapid, high-sensitivity SARS-CoV-2 nucleocapsid immunoassay to aid diagnosis of acute COVID-19 at the point of care","Paul K. Drain, Madhavi Ampajwala, C. Chappel, A. B Gvozden, Melanie Hoppers, Melody Wang, Robert Rosen, Stephen Young, Edward Zissman, Michalina A MontaÃ±o",medRxiv,,"AbstractBackgroundThe LumiraDx SARS-CoV-2 antigen test, which uses a high-sensitivity, microfluidic immunoassay to detect the nucleocapsid protein of SARS-CoV-2, was evaluated for diagnosing acute COVID-19 in adults and children across point-of-care settings.MethodsTwo paired anterior nasal swabs or two paired nasopharyngeal swabs were collected from each participant. Swabs were tested by the LumiraDx SARS-CoV-2 antigen test and compared with real-time PCR (rt-PCR; Roche cobas 6800 platform). Positive- and negative predictive values and likelihood ratios were calculated. Results stratified based on gender, age, duration of symptoms, and rt-PCR cycle threshold.ResultsOut of the 512 participants, aged 0-90 years, of this prospective validation study, 414 (81%) were symptomatic for COVID-19 and 123 (24%) swabs were positive for SARS-CoV-2 based on rt-PCR testing. Compared with rt-PCR, the 12-minute swab test had 97.6% sensitivity and 96.6% specificity within 12 days of symptom onset, representing the period of infectivity. All (100%) samples detected within 33 rt-PCR cycles were also identified using the antigen test. Results were consistent across age and gender. Despite being performed by minimally trained healthcare workers, the user error rate of the test system was 1%.ConclusionThe rapid high-sensitivity assay using nasopharyngeal or anterior nasal sampling may offer significant improvements for diagnosing acute SARS-CoV-2 infection in clinic- and community-based settings.SummaryA 12-minute nasal swab test detects 97.6% of COVID-19 infections, compared to gold standard real-time PCR testing, up to 12 days following symptom onset using a microfluidic immunoassay for SARS-CoV-2 nucleocapsid protein.",,,2020,TRUE,10.1101/2020.12.11.20238410,,,,,06/08/2025 20:34,8a5e7394-0169-4f90-9857-93aed053acb1,SR2 screen,6432ced2-e8af-4e33-a28f-368c927c5445;693ff678-f429-46bd-930a-439117565d93;429acf97-29e8-4ee6-9680-bbcb8847af89,Katarzyna Stefanska;Harris Khalid;Charis Wong,2025-08-08 19:15:50;2025-08-11 00:27:16;2025-08-14 15:32:22,Included;Excluded;Included,Included
2e5c0e66-5ba8-40bf-a87c-a79aaa60bfc0,Head-to-head comparison of SARS-CoV-2 antigen-detecting rapid test with self-collected anterior nasal swab versus professional-collected nasopharyngeal swab,"A. Lindner, O. Nikolai, F. Kausch, M. Wintel, F. Hommes, M. Gertler, L. J. KrÃ¼ger, M. Gaeddert, F. Tobian, F. Lainati, Lisa KÃ¶ppel, J. Seybold, V. Corman, V. Corman, Christian Drosten, Christian Drosten, J. Hofmann, J. Sacks, F. Mockenhaupt, C Denkinger",medRxiv,,"AbstractBackgroundTwo antigen-detecting rapid diagnostic tests (Ag-RDTs) are now approved through the WHO Emergency Use Listing procedure and can be performed at the point-of-care. However, both tests use nasopharyngeal (NP) swab samples. NP swab samples must be collected by trained healthcare personnel with protective equipment and are frequently perceived as uncomfortable by patients.MethodsThis was a manufacturer-independent, prospective diagnostic accuracy study with comparison of a supervised, self-collected anterior nose (AN) swab sample with a professional-collected NP swab sample, using a WHO-listed SARS-CoV-2 Ag-RDT, STANDARD Q COVID-19 Ag Test (SD Biosensor), which is also being distributed by Roche. The reference standard was RT-PCR from an oro-/nasopharyngeal swab sample. Percent positive and negative agreement as well as sensitivity and specificity were calculated.Results\\n                    Among the 289 participants, 39 (13.5%) tested positive for SARS-CoV-2 by RT-PCR. The positive percent agreement of the two different sampling techniques for the Ag-RDT was 90.6% (CI 75.8-96.8). The negative percent agreement was 99.2% (CI 97.2-99.8). The Ag-RDT with AN sampling showed a sensitivity of 74.4% (29/39 PCR positives detected; CI 58.9-85.4) and specificity of 99.2% (CI 97.1-99.8) compared to RT-PCR. The sensitivity with NP sampling was 79.5% (31/39 PCR positives detected; CI 64.5-89.2) and specificity was 99.6% (CI 97.8-100). In patients with high viral load (>7.0 log\\n                    10\\n                    RNA SARS-CoV2/swab), the sensitivity of the Ag-RDT with AN sampling was 96% and 100% with NP sampling.\\n                  ConclusionSupervised self-sampling from the anterior nose is a reliable alternative to professional nasopharyngeal sampling using a WHO-listed SARS-CoV-2 Ag-RDT. Considering the ease-of-use of Ag-RDTs, self-sampling and potentially patient self-testing at home may be a future use case.",,,2020,TRUE,10.1101/2020.10.26.20219600,,,,,06/08/2025 20:34,8a5e7394-0169-4f90-9857-93aed053acb1,SR2 screen,6432ced2-e8af-4e33-a28f-368c927c5445;693ff678-f429-46bd-930a-439117565d93;429acf97-29e8-4ee6-9680-bbcb8847af89,Katarzyna Stefanska;Harris Khalid;Charis Wong,2025-08-10 08:10:20;2025-08-11 00:43:45;2025-08-14 16:48:56,Included;Excluded;Included,Included
ee8b1871-5826-4284-9579-13ffc5eca157,Cochrane corner: rapid point-of-care antigen and molecular-based tests for the diagnosis of COVID-19 infection,"D. Ndwandwe, Lindi Mathebula, R. Kamadjeu, C Wiysonge",The Pan African Medical Journal,,"Introduction: the COVID-19 pandemic, which results from infection with severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2), presents important diagnostic challenges. Diagnostic strategies available to identify or rule out current infection, or to identify people in need of care escalation, or to test for past infection and immune response have become available, to reduce household and community transmission. We highlight a Cochrane review, published in September 2020, on the assessment of diagnostic accuracy of point-of-care antigen and molecular-based tests to determine current SARS-CoV-2 infection. Methods: the authors of the Cochrane review searched multiple electronic databases for studies, which assessed SARS-CoV-2 infection with a diagnostic test. Eligible participants for the review included people with suspected current SARS-CoV-2 infection, known to have, or not to have COVID-19 infection, or where tests were used to screen for infection. Results: the authors included 18 studies of point-of-care tests conducted in various parts of the world, with none from Africa. The review shows that there is considerable variability in sensitivity and specificity of the antigen tests. The review also shows that molecular tests had less variability in sensitivity and specificity. Conclusion: the review suggests that the current evidence is not strong enough to determine the usefulness of point-of-care tests in all settings. However, the benefits are likely to be more noticeable in countries, like Africa where community transmission is high. An impact evaluation would be warranted when rapid point-of-care tests are implemented in African countries.",,,2020,TRUE,10.11604/pamj.supp.2020.37.1.25982,,,,,06/08/2025 20:34,8a5e7394-0169-4f90-9857-93aed053acb1,SR2 screen,6432ced2-e8af-4e33-a28f-368c927c5445;693ff678-f429-46bd-930a-439117565d93;429acf97-29e8-4ee6-9680-bbcb8847af89,Katarzyna Stefanska;Harris Khalid;Charis Wong,2025-08-09 09:42:22;2025-08-11 00:29:52;2025-08-14 16:54:56,Excluded;Included;Excluded,Excluded
67752a8d-edba-4b6e-8c8c-d3571ed1d650,"Evaluation of the accuracy, ease of use and limit of detection of novel, rapid, antigen-detecting point-of-care diagnostics for SARS-CoV-2","L. J. KrÃ¼ger, M. Gaeddert, Lisa KÃ¶ppel, L. Bruemmer, Claudius Gottschalk, Isabel Barreto Barreto Miranda, Paul Schnitzler, H. KrÃ¤usslich, A. Lindner, O. Nikolai, F. P. Mockenhaupt, J. Seybold, V. Corman, V. Corman, Christian Drosten, Christian Drosten, N. Pollock, A. Cubas-Atienzar, K. Kontogianni, Andrea M. Collins, A. Wright, B. Knorr, A. Welker, M. D. Vos, J. Sacks, Emily R. Adams, C Denkinger",medRxiv,,"AbstractBackground\\n                    Reliable point-of-care (POC) diagnostics not requiring laboratory infrastructure could be a game changer in the COVID-19 pandemic, particularly in the Global South. We assessed performance, limit of detection and ease-of-use of three antigen-detecting, rapid POC tests (Ag-RDT) for\\n                    SARS-CoV-2\\n                    .\\n                  Methods\\n                    This prospective, multi-centre diagnostic accuracy study recruited participants suspected to have\\n                    SARS-CoV-2\\n                    in Germany and the UK. Paired nasopharyngeal swabs (NP) or NP and/or oropharyngeal swabs (OP) were collected from participants (one for clinical RT-PCR and one for Ag-RDT). Performance of each of three Ag-RDTs was compared to RT-PCR overall, and according to predefined subcategories e.g. cycle threshold (CT)-value, days from symptoms onset, etc. In addition, limited verification of the analytical limit-of-detection (LOD) was determined. To understand the usability a System Usability Scale (SUS) questionnaire and ease-of-use (EoU) assessment were performed.\\n                  Results\\n                    Between April 17\\n                    th\\n                    and August 25\\n                    th\\n                    , 2020, 2417 participants were enrolled, with 70 (3.0%) testing positive by RT-PCR. The best-performing test (SD Biosensor, Inc. STANDARD Q) was 76Ã—6% (95% Confidence Interval (CI) 62Ã—8-86Ã—4) sensitive and 99Ã—3% (CI 98Ã—6-99Ã—6) specific. A sub-analysis showed all samples with RT-PCR CT-values <25 were detectable by STANDARD Q. The test was considered easy-to-use (SUS 86/100) and suitable for POC. Bioeasy and Coris showed specificity of 93Ã—1% (CI 91Ã—0%-94Ã—8%) and 95Ã—8% (CI 93Ã—4%-97Ã—4%), respectively, not meeting the predefined target of â‰¥98%.\\n                  ConclusionThere is large variability in performance of Ag-RDT with SD Biosensor showing promise. Given the usability at POC, this test is likely to have impact despite imperfect sensitivity; however further research and modelling are needed.",,,2020,TRUE,10.1101/2020.10.01.20203836,,,,,06/08/2025 20:34,8a5e7394-0169-4f90-9857-93aed053acb1,SR2 screen,693ff678-f429-46bd-930a-439117565d93;6432ced2-e8af-4e33-a28f-368c927c5445,Harris Khalid;Katarzyna Stefanska,2025-08-11 00:28:42;2025-08-11 14:58:54,Included;Included,Included
4cb850de-2149-480c-ae78-bedb3938413e,Multicenter evaluation of the Panbio COVID-19 Rapid Antigen-Detection Test for the diagnosis of SARS-CoV-2 infection,"P. Merino-Amador, J. Guinea, I. MuÃ±oz-Gallego, Patricia GonzÃ¡lez-Donapetry, J. GalÃ¡n, Nerea Antona, G. Cilla, S. HernÃ¡ez-Crespo, J. D. Tuesta, A. Torrella, F. GonzÃ¡lez-Romo, P. Escribano, M. SÃ¡nchez-Castellano, Mercedes Sota-Busselo, A. Delgado-Iribarren, Julio GarcÃ­a, R. CantÃ³n, P. MuÃ±oz, Dolores Folgueira, M. Cuencaâ€Estrella, JesÃºs Oteo-Iglesias, -. S. P. C. V group",medRxiv,,"Abstract\\n                  The standard RT-PCR assay for COVID-19 is laborious and time-consuming, limiting the availability of testing. Rapid antigen-detection tests are faster and less expensive; however, the reliability of these tests must be validated before they can be used widely. The objective of this study was to determine the reliability of the Panbio\\n                  TM\\n                  COVID-19 Ag Rapid Test Device (PanbioRT) (Abbott) for SARS-CoV-2 in nasopharyngeal swab specimens. This was a prospective multicenter study in ten Spanish university hospitals of patients from hospital units with clinical symptoms or epidemiological criteria for COVID-19. Patients whose onset of symptoms or exposure was more than 7 days earlier were excluded. Two nasopharyngeal exudate samples were taken to perform the PanbioRT and a diagnostic RT-PCR test. Among the 958 patients studied, 359 (37.5%) were positive by RT-PCR and 325 (33.9%) were also positive by the PanbioRT. Agreement was 95.7% (kappa score: 0.90). All 34 false-negative PanbioRT results were in symptomatic patients, with 23.5% of them at 6â€“7 days since the onset of symptoms and 58.8% presenting\\n                  C\\n                  T\\n                  >30 values for RT-PCR, indicating a low viral load. Overall sensitivity and specificity for the PanbioRT were 90.5% and 98.8%, respectively. The PanbioRT provides good clinical performance as a point-of-care test, with even more reliable results for patients with a shorter clinical course of the disease or a higher viral load. While this study has had a direct impact on the national diagnostic strategy for COVID-19 in Spain, the results must be interpreted based on the local epidemiological context.\\n",,,2020,TRUE,10.1101/2020.11.18.20230375,,,,,06/08/2025 20:34,8a5e7394-0169-4f90-9857-93aed053acb1,SR2 screen,6432ced2-e8af-4e33-a28f-368c927c5445;693ff678-f429-46bd-930a-439117565d93,Katarzyna Stefanska;Harris Khalid,2025-08-07 18:38:21;2025-08-11 00:38:45,Included;Included,Included
51b387db-0def-41d5-9e3c-6185b5da655e,High performance of a novel antigen detection test on nasopharyngeal specimens for SARS-CoV-2 infection diagnosis: a prospective study,"L. Courtellemont, J. Guinard, C. Guillaume, S. GiachÃ©, Rzepecki, A. SÃ¨ve, C. Gubavu, K. Baud, H. Doize, C. LeHelloco, C. Lebegue, A. Tay, G. Cassuto, G. Pialoux, L. Hocqueloux, T Prazuck",-,,"AbstractIntroductionThe SARS-CoV-2 pandemic has become a major public health issue worldwide. Developing and evaluating rapid and easy-to-perform diagnostic tests is an absolute priority. The current study was designed to assess diagnostic performances of an antigen-based rapid detection test (COVID-VIROÂ®) in a real-life setting.MethodsTwo nasopharyngeal specimens of symptomatic or asymptomatic adult patients hospitalized in the Infectious Diseases Department or voluntarily accessing the COVID-19 Screening Department of the Regional Hospital of OrlÃ©ans, France, were concurrently collected. COVID VIROÂ® diagnostic specificity and sensitivity were assessed in comparison to real-time reverse transcriptase quantitative polymerase chain reaction (RT-qPCR) results. A subset of patients underwent an additional oropharyngeal and/or a saliva swab for rapid testing.Results121 patients already having a confirmed infection and 127 patients having no evidence of recent or ongoing infection were enrolled, for a total of 248 couple of nasopharyngeal swab specimens. Overall COVID-VIROÂ® sensitivity was 96.7% (IC: 93.5%-99.9%). In asymptomatic patients, symptomatic patients having symptoms for more than 4 days and those having a RT-qPCR Cycle threshold value â‰¥32, sensitivity was of 100%, 95.8% and 91.9% respectively. The concordance between RT-qPCR and COVID VIROÂ® rapid test was 100% for the 127 patients with no SARS-CoV-2 infection.ConclusionCOVID-VIROÂ® test had 100% specificity and above 95% sensitivity, better than WHO recommendations (specificity â‰¥97-100%, sensitivity â‰¥80%). These rapid tests are particularly interesting for large-scale screening in Emergency Department, low resource settings and airports.",,,2020,TRUE,10.1101/2020.10.28.20220657,,,,,06/08/2025 20:34,8a5e7394-0169-4f90-9857-93aed053acb1,SR2 screen,6432ced2-e8af-4e33-a28f-368c927c5445;693ff678-f429-46bd-930a-439117565d93;429acf97-29e8-4ee6-9680-bbcb8847af89,Katarzyna Stefanska;Harris Khalid;Charis Wong,2025-08-09 19:27:56;2025-08-11 00:30:10;2025-08-13 23:37:32,Included;Excluded;Included,Included
a2018c91-1acc-4b03-8d05-d446da4227f1,Evaluation of Novel Antigen-Based Rapid Detection Test for the Diagnosis of SARS-CoV-2 in Respiratory Samples,"L. Porte, Paulette Legarraga, V. Vollrath, X. Aguilera, J. Munita, R. Araos, Gabriel Pizarro, P. Vial, S. Dittrich, T Weitzel",-,,"Objectives: 
In the context of the coronavirus disease 2019 (COVID-19) pandemic, the development and validation of rapid and easy-to-perform diagnostic methods are of high priority. This study was performed to evaluate a novel rapid antigen detection test (RDT) for severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) in respiratory samples. Methods: The fluorescence immunochromatographic SARS-CoV-2 antigen test (Bioeasy Biotechnology Co., Shenzhen, China) was evaluated using universal transport medium with nasopharyngeal (NP) and oropharyngeal (OP) swabs from suspected COVID-19 cases. Diagnostic accuracy was determined in comparison to SARS-CoV-2 real-time (RT)-PCR. Results: 
A total of 127 samples were included; 82 were RT-PCR-positive. The median patient age was 38 years, 53.5% were male, and 93.7% were from the first week after symptom onset. Overall sensitivity and specificity were 93.9% (95% confidence interval 86.597.4%) and 100% (95% confidence interval 92.1100%), respectively, with a diagnostic accuracy of 96.1% and Kappa coefficient of 0.9. Sensitivity was significantly higher in samples with high viral loads. Conclusions: 
The RDT evaluated in this study showed a high sensitivity and specificity in samples mainly obtained during the first week of symptoms and with high viral loads, despite the use of a non-validated sample material. The assay has the potential to become an important tool for early diagnosis of SARS-CoV-2, particularly in situations with limited access to molecular methods.",,,2020,TRUE,10.2139/ssrn.3569871,,,,,06/08/2025 20:34,8a5e7394-0169-4f90-9857-93aed053acb1,SR2 screen,6432ced2-e8af-4e33-a28f-368c927c5445;693ff678-f429-46bd-930a-439117565d93;429acf97-29e8-4ee6-9680-bbcb8847af89,Katarzyna Stefanska;Harris Khalid;Charis Wong,2025-08-09 08:29:31;2025-08-11 00:43:06;2025-08-14 16:08:00,Included;Excluded;Excluded,Excluded
