"Item type","Authors","Title","Journal","Full journal","Publication year","Volume","Issue","Pages","Publisher","Address","Date published","URLs","DOI","Notes"
"Miscellaneous","ACTRN12614000284662","The Central Australian Heart Protection Study: a randomised trial of nurse-led, family based secondary prevention of acute coronary syndromes","https://anzctr.org.au/Trial/Registration/TrialReview.aspx?ACTRN=ACTRN12614000284662","https://anzctr.org.au/Trial/Registration/TrialReview.aspx?ACTRN=ACTRN12614000284662","","","","","","","","","","Ineligible intervention"
"Miscellaneous","ACTRN12621000226808","Can an integrated care service (ED PainPATH) improve the value of care for people with chronic pain frequently attending NSW Emergency Departments?","https://www.anzctr.org.au/Trial/Registration/TrialReview.aspx?id=377378","https://www.anzctr.org.au/Trial/Registration/TrialReview.aspx?id=377378","","","","","","","","","","Protocol or abstract without results"
"Journal Article","Aboumatar H,Naqibuddin M,Chung S,Chaudhry H,Kim SW,Saunders J","Effect of a program combining transitional care and long-term self-management support on outcomes of hospitalized patients with chronic obstructive pulmonary disease: a randomized clinical trial","JAMA","JAMA","2018","320","22","Retraction of: Aboumatar et al. Effect of a program combining transitional care and long-term self-management support on outcomes of hospitalized patients with chronic obstructive pulmonary disease: a randomized clinical trial. JAMA 2018;320(22):2335-43. JAMA 2019;322(14):1417-8","","","2018","http://dx.doi.org/10.1001/jama.2018.17933","10.1001/jama.2018.17933","Paper retracted"
"Journal Article","Aboumatar H,Naqibuddin M,Chung S,Chaudhry H,Kim SW,Saunders J","Effect of a hospital-initiated program combining transitional care and long-term self-management support on outcomes of patients hospitalized with chronic obstructive pulmonary disease: a randomized clinical trial","JAMA","JAMA","2019","322","14","1371-1380","","","2019","http://dx.doi.org/10.1001/jama.2019.11982","10.1001/jama.2019.11982","Ineligible role of care navigator"
"Journal Article","Ali-Faisal SF,Colella TJ,Medina-Jaudes N,Benz Scott L","The effectiveness of patient navigation to improve healthcare utilization outcomes: a meta-analysis of randomized controlled trials","Patient Education and Counseling","Patient Education and Counseling","2017","100","3","436-448","","","2017","http://dx.doi.org/10.1016/j.pec.2016.10.014","10.1016/j.pec.2016.10.014","Ineligible study design"
"Journal Article","Apter AJ,Localio AR,Morales KH,Han X,Perez L,Mullen AN","Home visits for uncontrolled asthma among low-income adults with patient portal access","Journal of Allergy and Clinical Immunology","Journal of Allergy and Clinical Immunology","2019","144","3","846-53.e11","","","2019","http://dx.doi.org/10.1016/j.jaci.2019.05.030","10.1016/j.jaci.2019.05.030","Care navigator - not a clinician"
"Journal Article","Atwood CE,Bhutani M,Ospina MB,Rowe BH,Leigh R,Deuchar L","Optimizing COPD acute care patient outcomes using a standardized transition bundle and care coordinator: a randomized clinical trial","Chest","Chest","2022","162","2","321-330","","","2022","http://dx.doi.org/10.1016/j.chest.2022.03.047","10.1016/j.chest.2022.03.047","Ineligible study design"
"Journal Article","Bekelman DB,Plomondon ME,Carey EP,Sullivan,Nelson KM,Hattler B","Primary results of the Patient-Centered Disease Management (PCDM) for heart failure study: a randomized clinical trial","JAMA Internal Medicine","JAMA Internal Medicine","2015","175","5","725-732","","","2015","http://dx.doi.org/10.1001/jamainternmed.2015.0315","10.1001/jamainternmed.2015.0315","Care navigator - delivering clinical care"
"Journal Article","Bekelman DB,Allen LA,McBryde CF,Hattler B,Fairclough DL,Havranek EP","Effect of a collaborative care intervention vs usual care on health status of patients with chronic heart failure: the CASA randomized clinical trial","JAMA Internal Medicine","JAMA Internal Medicine","2018","178","4","511-519","","","2018","http://dx.doi.org/10.1001/jamainternmed.2017.8667","10.1001/jamainternmed.2017.8667","Care navigator - delivering clinical care"
"Journal Article","Beland F,Bergman H,Lebel P,Clarfield AM,Tousignant P,Contandriopoulos AP","A system of integrated care for older persons with disabilities in Canada: results from a randomized controlled trial","Journals of Gerontology - Series A Biological Sciences and Medical Sciences","Journals of Gerontology - Series A Biological Sciences and Medical Sciences","2006","61","4","367-373","","","2006","http://dx.doi.org/10.1093/gerona/61.4.367","10.1093/gerona/61.4.367","Ineligible intervention"
