"Item type","Authors","Title","Journal","Full journal","Publication year","Volume","Issue","Pages","Date published","URLs","DOI"
"Journal Article","Balaban RB,Galbraith AA,Burns ME,Vialle-Valentin CE,Larochelle MR,Ross-Degnan D","A patient navigator intervention to reduce hospital readmissions among high-risk safety-net patients: a randomized controlled trial","Journal of General Internal Medicine","Journal of General Internal Medicine","2015","30","7","907-915","2015","http://dx.doi.org/10.1007/s11606-015-3185-x","10.1007/s11606-015-3185-x"
"Journal Article","Balaban RB,Zhang F,Vialle-Valentin CE,Galbraith AA,Burns ME,Larochelle MR","Impact of a patient navigator program on hospital-based and outpatient utilization over 180 days in a safety-net health system","Journal of General Internal Medicine","Journal of General Internal Medicine","2017","32","9","981-989","2017","http://dx.doi.org/10.1007/s11606-017-4074-2","10.1007/s11606-017-4074-2"
"Journal Article","Bernabei R,Landi F,Gambassi G,Sgadari A,Zuccala G,Mor V","Randomised trial of impact of model of integrated care and case management for older people living in the community","BMJ","BMJ","1998","316","7141","1348-1351","1998","",""
"Journal Article","Blumer V,Gayowsky A,Xie F,Greene SJ,Graham MM,Ezekowitz JA","Effect of patient-centered transitional care services on patient-reported outcomes in heart failure: sex-specific analysis of the PACT-HF randomized controlled trial","European Journal of Heart Failure","European Journal of Heart Failure","2021","23","9","1488-1498","2021","http://dx.doi.org/10.1002/ejhf.2312","10.1002/ejhf.2312"
"Journal Article","Bronstein LR,Gould P,Berkowitz SA,James GD,Marks K","Impact of a social work care coordination intervention on hospital readmission: a randomized controlled trial","Journal of Social Work","Journal of Social Work","2015","60","3","248-255","2015","",""
"Journal Article","Brown DM,Hernandez EA,Levin S,De Vaan M,Kim M-O,Lynch C","Effect of social needs case management on hospital use among adult medicaid beneficiaries: a randomized study","Annals of Internal Medicine","Annals of Internal Medicine","2022","175","8","1109-1117","2022","http://dx.doi.org/10.7326/M22-0074","10.7326/M22-0074"
"Journal Article","Casas A,Troosters T,Garcia-Aymerich J,Roca J,Hernandez C,Alonso A","Integrated care prevents hospitalisations for exacerbations in COPD patients","European Respiratory Journal","European Respiratory Journal","2006","28","1","123-130","2006","",""
"Journal Article","Compton MT,Kelley ME,Anderson S,Ellis S,Graves J,Broussard B","Opening doors to recovery: a randomized controlled trial of a recovery-oriented community navigation service for individuals with serious mental illnesses and repeated hospitalizations","Journal of Clinical Psychiatry","Journal of Clinical Psychiatry","2023","84","2","22m14498","2023","http://dx.doi.org/10.4088/JCP.22m14498","10.4088/JCP.22m14498"
"Journal Article","Egan E,Clavarino A,Burridge L,Teuwen M,White E","A randomized control trial of nursing-based case management for patients with chronic obstructive pulmonary disease","Lippincotts Case Management","Lippincotts Case Management","2002","7","5","170-179","2002","",""
"Journal Article","Fitzgerald JF,Smith DM,Martin DK,Freedman JA,Katz BP","A case manager intervention to reduce readmissions","Archives of Internal Medicine","Archives of Internal Medicine","1994","154","15","1721-1729","1994","",""
"Journal Article","Fors A,Blanck E,Ali L,Ekberg-Jansson A,Fu M,Lindstrom Kjellberg I","Effects of a person-centred telephone-support in patients with chronic obstructive pulmonary disease and/or chronic heart failure: A randomized controlled trial","PLoS One","PLoS One","2018","13","8","e0203031","2018","http://dx.doi.org/10.1371/journal.pone.0203031","10.1371/journal.pone.0203031"
"Journal Article","Gryczynski J,Nordeck CD,Welsh C,Mitchell SG,O'Grady KE,Schwartz RP","Preventing hospital readmission for patients with comorbid substance use disorder: a randomized trial","Annals of Internal Medicine","Annals of Internal Medicine","2021","174","7","899-909","2021","http://dx.doi.org/10.7326/M20-5475","10.7326/M20-5475"
"Journal Article","Henschen BL,Theodorou M,Chapman M,Cameron KA,O'leary K","An intensive high utilizer intervention does not reduce hospital readmissions: the CHAMP randomized controlled trial","Journal of General Internal Medicine","Journal of General Internal Medicine","2020","35","Suppl 1","S15","2020","http://dx.doi.org/10.1007/s11606-020-05890-3","10.1007/s11606-020-05890-3"
"Journal Article","Kelley L,Capp R,Carmona JF,D'Onofrio G,Mei H,Cobbs-Lomax D","Patient navigation to reduce Emergency Department (ED) utilization among medicaid insured, frequent ED users: a randomized controlled trial","Journal of Emergency Medicine","Journal of Emergency Medicine","2020","58","6","967-977","2020","http://dx.doi.org/10.1016/j.jemermed.2019.12.001","10.1016/j.jemermed.2019.12.001"
"Journal Article","McQueen A,von Nordheim D,Caburnay C,Li L,Herrick C,Grimes L","A randomized controlled trial testing the effects of a social needs navigation intervention on health outcomes and healthcare utilization among medicaid members with Type 2 Diabetes","International Journal of Environmental Research and Public Health","International Journal of Environmental Research and Public Health","2024","21","7","936","2024","http://dx.doi.org/10.3390/ijerph21070936","10.3390/ijerph21070936"
"Journal Article","McWilliams A,Roberge J,Anderson WE,Moore CG,Rossman W,Murphy S","Aiming to improve readmissions through integrated hospital transitions (AIRTIGHT): a pragmatic randomized controlled Trial","Journal of General Internal Medicine","Journal of General Internal Medicine","2018","34","1","58-64","2018","http://dx.doi.org/10.1007/s11606-018-4617-1","10.1007/s11606-018-4617-1"
"Journal Article","Reinius P,Johansson M,Fjellner A,Werr J,Ohlen G,Edgren G","A telephone-based case-management intervention reduces healthcare utilization for frequent emergency department visitors","European Journal of Emergency Medicine","European Journal of Emergency Medicine","2013","20","5","327-334","2013","http://dx.doi.org/10.1097/MEJ.0b013e328358bf5a","10.1097/MEJ.0b013e328358bf5a"
"Journal Article","Edgren G,Anderson J,Dolk A,Torgerson J,Nyberg S,Skau T","A case management intervention targeted to reduce healthcare consumption for frequent Emergency Department visitors: results from an adaptive randomized trial","European Journal of Emergency Medicine","European Journal of Emergency Medicine","2016","23","5","344-350","2016","http://dx.doi.org/10.1097/MEJ.0000000000000280","10.1097/MEJ.0000000000000280"
"Journal Article","Schuttig WE,Darius H,Reber KC,Coors M,Flothow A,Holzgreve A","Reducing rehospitalization in cardiac patients: a randomized, controlled trial of a cardiac care management program (""Cardiolotse"") in Germany","BMC Medicine","BMC Medicine","2024","22","1","480","2024","http://dx.doi.org/10.1186/s12916-024-03691-7","10.1186/s12916-024-03691-7"
"Journal Article","Seaberg D,Elseroad S,Dumas M,Mendiratta S,Whittle J,Hyatte C","Patient navigation for patients frequently visiting the Emergency Department: a randomized, controlled trial","Archives of Academic Emergency Medicine","Archives of Academic Emergency Medicine","2017","24","11","1327-1333","2017","http://dx.doi.org/10.1111/acem.13280","10.1111/acem.13280"
"Journal Article","Young JM,Butow PN,Walsh J,Durcinoska I,Dobbins TA,Rodwell L","Multicenter randomized trial of centralized nurse-led telephone-based care coordination to improve outcomes after surgical resection for colorectal cancer: the CONNECT intervention","Journal of Clinical Oncology","Journal of Clinical Oncology","2013","31","28","3585-3591","2013","http://dx.doi.org/10.1200/JCO.2012.48.1036","10.1200/JCO.2012.48.1036"
