Evaluation,Study,Original_value,SRP_value,Match_original,Additional_tags,Category,Subcategory,Quantitative
SR1_Elicit,Wang2023,C57BL/6J (mouse),Male Sprague-Dawley rats; male C57BI/6J mice,TRUE,Yes and inappropriate,Population,Population - (Animal) Species and strain,FALSE
SR1_Elicit,Wang2023,Compound 50A,Compound 50A; Compound 50B,TRUE,No,Intervention,N/A,FALSE
SR1_Elicit,Wang2023,Compound 50B,Compound 50A; Compound 50B,TRUE,No,Intervention,N/A,FALSE
SR1_Elicit,Wang2023,SEP-363856,Compound 50A; Compound 50B,FALSE,No,Intervention,N/A,FALSE
SR1_Elicit,Wang2023,Vehicle,Vehicle; Compound 50A; Compound 50B; SEP-856; Risperidone; Aripiprazole: tested at a dose of 5 mg/kg,TRUE,Yes and inappropriate,Comparison,N/A,FALSE
SR1_Elicit,Wang2023,Aripiprazole,Vehicle; Compound 50A; Compound 50B; SEP-856; Risperidone; Aripiprazole: tested at a dose of 5 mg/kg,TRUE,Yes and inappropriate,Comparison,N/A,FALSE
SR1_Elicit,Wang2023,Risperidone,Vehicle; Compound 50A; Compound 50B; SEP-856; Risperidone; Aripiprazole: tested at a dose of 5 mg/kg,TRUE,Yes and inappropriate,Comparison,N/A,FALSE
SR1_Elicit,Wang2023,Locomotor activity,Locomotor activity,TRUE,Yes and appropriate,Outcome,N/A,FALSE
SR1_Elicit,Krasavin2022a,Wistar (rat),"Wistar rats, dopamine transporter knockout (DAT-KO) rats",TRUE,Yes and inappropriate,Population,Population - (Animal) Species and strain,FALSE
SR1_Elicit,Krasavin2022a,LK000764,LK00674,FALSE,No,Intervention,N/A,FALSE
SR1_Elicit,Krasavin2022a,Vehicle,Vehicle ,TRUE,No,Comparison,N/A,FALSE
SR1_Elicit,Krasavin2022a,Locomotor activity,"Locomotor activity, neurobiological ",TRUE,Yes and inappropriate,Outcome,,FALSE
SR1_Elicit,Krasavin2022b,Wistar (rat),Wistar dopamine transporter knockout (DAT-KO) female rats,TRUE,Yes and inappropriate,Population,Population - (Animal) Species and strain,FALSE
SR1_Elicit,Krasavin2022b,AP163,Compound 18 (AP163 of the urea series chemical class),TRUE,Yes and appropriate,Intervention,N/A,FALSE
SR1_Elicit,Krasavin2022b,Vehicle,Compound 9; Compound 17; Compound 18 (AP163); Compound 19: tested at doses from 5-15 mg/kg (All had no significant effect on hyperlocomotion except from Compound 18 (AP163) with a statistically significant and dose-dependent reduction in hyperlocomotion,FALSE,Yes and inappropriate,Comparison,N/A,FALSE
SR1_Elicit,Krasavin2022b,Locomotor activity,Locomotor activity,TRUE,Yes and appropriate,Outcome,,FALSE
SR1_Elicit,Dedic2019,C57BL/6J (mouse),Not specified (the abstract mentions mice and rats but does not specify the strain),FALSE,No,Population,Population - (Animal) Species and strain,FALSE
SR1_Elicit,Dedic2019,"Sprague-dawley (rat)	",Not specified (the abstract mentions mice and rats but does not specify the strain),FALSE,No,Population,Population - (Animal) Species and strain,FALSE
SR1_Elicit,Dedic2019,SEP-363856,"SEP-363856, Dosage/administration details not fully specified",TRUE,Yes and inappropriate,Intervention,N/A,FALSE
SR1_Elicit,Dedic2019,Vehicle,Not mentioned (the abstract does not provide a comparison of interventions),FALSE,No,Comparison,N/A,FALSE
SR1_Elicit,Dedic2019,Clozapine,Not mentioned (the abstract does not provide a comparison of interventions),FALSE,No,Comparison,N/A,FALSE
SR1_Elicit,Dedic2019,"Locomotor activity, social interaction","Locomotor activity, social interaction, PPI, neurobiological ",TRUE,Yes and inappropriate,Outcome,,FALSE
SR1_Elicit,Revel2011,C57BL/6J (mouse),C57BL/6 mice (wild-type); Taar1−/− mice (knockout); DAT -/- mice (knockout); DAT -/-/Taar1 -/- mice (double knockout); NMRI mice,FALSE,Yes and inappropriate,Population,Population - (Animal) Species and strain,FALSE
SR1_Elicit,Revel2011,C57Bl/6Jx129Sv/J (mouse),C57BL/6 mice (wild-type); Taar1−/− mice (knockout); DAT -/- mice (knockout); DAT -/-/Taar1 -/- mice (double knockout); NMRI mice,FALSE,Yes and inappropriate,Population,Population - (Animal) Species and strain,FALSE
SR1_Elicit,Revel2011,C57BL/6 (mouse),C57BL/6 mice (wild-type); Taar1−/− mice (knockout); DAT -/- mice (knockout); DAT -/-/Taar1 -/- mice (double knockout); NMRI mice,TRUE,Yes and inappropriate,Population,Population - (Animal) Species and strain,FALSE
SR1_Elicit,Revel2011,NMRI (mouse),C57BL/6 mice (wild-type); Taar1−/− mice (knockout); DAT -/- mice (knockout); DAT -/-/Taar1 -/- mice (double knockout); NMRI mice,TRUE,Yes and inappropriate,Population,Population - (Animal) Species and strain,FALSE
SR1_Elicit,Revel2011,RO5166017,"RO5166017 (chemical class not specified), 0.1 mg/kg and 0.5 mg/kg, oral administration, timing of administration not fully specified",TRUE,Yes and inappropriate,Intervention,N/A,FALSE
SR1_Elicit,Revel2011,RO5263397,"RO5166017 (chemical class not specified), 0.1 mg/kg and 0.5 mg/kg, oral administration, timing of administration not fully specified",FALSE,Yes and inappropriate,Intervention,N/A,FALSE
SR1_Elicit,Revel2011,Vehicle,"Vehicle (control) comparison in preventing stress-induced hyperthermia and hyperlocomotion induced by cocaine and an NMDA antagonist. It was also compared to olanzapine in preventing cocaine-induced hyperlocomotion and stereotypies. RO5166017 did not produce hyperlocomotion like PEA, indicating a comparison with PEA. The effects were specific to TAAR1, as they were not observed in Taar1 -/- mice.",TRUE,Yes and inappropriate,Comparison,N/A,FALSE
SR1_Elicit,Revel2011,"Locomotor activity, stereotypy ","Locomotor activity, stereotypy, neurobiological ",TRUE,Yes and inappropriate,Outcome,,FALSE
SR1_Elicit,Begni2021,Lister hooded rat,Male Sprague-Dawley rats; Female Lister Hooded rats,TRUE,Yes and inappropriate,Population,Population - (Animal) Species and strain,FALSE
SR1_Elicit,Begni2021,SEP-363856,"SEP-856 (chemical class not specified), 1, 3, or 10 mg/kg, oral administration, given 60 minutes before behavioral testing",FALSE,Yes and inappropriate,Intervention,N/A,FALSE
