"duplicate_id","author","year","journal","doi","title","pages","volume","number","abstract","isbn","label","source","record_ids"
"sr1_NK_1784","JR, Kahoun","1992",NA,"10.1073/pnas.89.4.1393","(125I)iodoazidococaine, a photoaffinity label for the haloperidol-sensitive sigma receptor",NA,NA,NA,NA,NA,"NK","NK","sr1_NK_1784"
"sr1_NK_706","D, Braida","2005",NA,"10.1016/j.phrs.2004.07.009","3,4 Methylenedioxymethamphetamine-induced conditioned place preference (CPP) is mediated by endocannabinoid system",NA,NA,NA,NA,NA,"NK","NK","sr1_NK_706"
"sr1_NK_54","Sakanoue, Wakana","2023","Biomed Res","10.2220/biomedres.44.219","3-Iodothyronamine, a trace amine-associated receptor agonist, regulates intracellular Ca2+ increases via CaMK II through Epac2 in rat cerebral arterioles.",NA,NA,NA,"Trace amines (TAs) in the nervous system bind to TA-associated receptors (TAARs) and are involved in the regulation of monoaminergic functions. Among TAAR subtypes, TAAR1 has been implicated in the development of neurological disorders, such as schizophrenia. The present study investigated the effects of the TAAR1 agonist, 3-iodothyronamine (T1AM) on cerebral arterioles using fluctuations in the intracellular concentration of Ca2+ ([Ca2+]i) as an index of contractile responses. In cerebral arterioles, most of the TAAR agonists did not increase [Ca2+]i, while only T1AM elevated [Ca2+]i in vascular smooth muscle cells. This increase involved extracellular Ca2+ influx through T-type Ca2+ channels and inositol trisphosphate- and ryanodine-receptor-mediated Ca2+ release from intracellular stores. The inhibition of the cAMP sensor, exchange protein directly activated by cAMP (Epac) 2, and calmodulin kinase (CaMK) II strongly inhibited Ca2+ elevations. The present study revealed that T1AM acted not only on the TAAR1 receptor as previously suggested, but also on other G-protein coupled receptors and/or signal transduction systems to increase intracellular Ca2+ in cerebral arteriole smooth muscle cells. These results suggest that when using T1AM in clinical practice, attention should be paid to the early rise in blood pressure.",NA,"NK","NK","sr1_NK_54"
"sr1_NK_331","KA, Conn","2023",NA,"10.1016/j.bbr.2023.114649","Antagonism of D2 receptors via raclopride ameliorates amphetamine-induced associative learning deficits in male mice",NA,NA,NA,NA,NA,"NK","NK","sr1_NK_331"
"sr1_NK_393","HPSF, Cesário","2024",NA,"10.1080/07391102.2023.2193988","Anxiolytic effects of N-(4,5-dihydro-5-oxo-1,2-dithiolo-[4,3,b]-pyrrole-6-yl)-N-methylformamide, a pyrroloformamide isolated from a marine Streptomyces sp., in adult zebrafish by the 5-HT system",NA,NA,NA,NA,NA,"NK","NK","sr1_NK_393"
"sr1_NK_257","D, Kantar","2023",NA,"10.1080/09553002.2022.2087929","Anxiolytic-like effects of extremely low frequency electric field in stressed rats: involvement of 5-HT2C receptors",NA,NA,NA,NA,NA,"NK","NK","sr1_NK_257"
"sr1_NK_707","S, Schamiloglu","2023",NA,"10.1016/j.biopsych.2023.03.006","Arrestin-3 Agonism at Dopamine D(3) Receptors Defines a Subclass of Second-Generation Antipsychotics That Promotes Drug Tolerance",NA,NA,NA,NA,NA,"NK","NK","sr1_NK_707"
"sr1_NK_1807","HR, Arias","2016",NA,"10.1016/j.neuint.2016.08.013","Bupropion and its photoreactive analog (±)-SADU-3-72 interact with luminal and non-luminal sites at human α4β2 nicotinic acetylcholine receptors",NA,NA,NA,NA,NA,"NK","NK","sr1_NK_1807"
"sr1_NK_441","A, Pandhare","2012",NA,"10.1021/bi300101r","Bupropion binds to two sites in the Torpedo nicotinic acetylcholine receptor transmembrane domain: a photoaffinity labeling study with the bupropion analogue [(125)I]-SADU-3-72",NA,NA,NA,NA,NA,"NK","NK","sr1_NK_441"
"sr1_NK_535","B, Ferrer","2007",NA,"10.1016/j.ejphar.2007.01.009","Cannabinoid CB1 receptor antagonism markedly increases dopamine receptor-mediated stereotypies",NA,NA,NA,NA,NA,"NK","NK","sr1_NK_535"
