"Title","Authors","DOI","DOI.link","Venue","Citation.count","Year","Study.Design","Reasoning.for..Study.Design.","Animal.Population.and.Model.Induction","Reasoning.for..Animal.Population.and.Model.Induction.","Experimental.Interventions","Reasoning.for..Experimental.Interventions..","Outcomes..Primary.and.Secondary.","Reasoning.for..Outcomes..Primary.and.Secondary..","Control.Interventions","Reasoning.for..Control.Interventions.","Primary.Research.Type","Reasoning.for..Primary.Research.Type.","Screening.judgement","Reasoning.for..Screening.judgement.","Screening.score","record_id","label","pages","volume","number","isbn","abstract"
"Trace Amines and Their Receptors","R. Gainetdinov, M. Hoener, M. D. Berry","10.1124/pr.117.015305","https://doi.org/10.1124/pr.117.015305","Pharmacological Reviews",299,2018,"no","The abstract does not describe any in vivo controlled experiments. This appears to be a review article rather than an experimental study, which fails this critical criterion.","no","The abstract does not describe any specific animal models of psychosis or induction methods. The paper appears to be a general review of trace amine biology and function, rather than presenting original research on animal models.","no","The abstract does not describe any experimental interventions with TAAR1 agonists. While it mentions TAAR1 as a therapeutic target for schizophrenia, it does not present original research testing TAAR1 agonists.","no","The abstract does not mention any of the required primary outcomes (locomotor activity or PPI). While it discusses various biological functions of TAAR1, these are not presented as experimental outcomes.","no","No control interventions are described in the abstract. The paper does not appear to include any experimental comparisons.","no","This is explicitly a review article rather than an original experimental study, which fails this critical criterion.","Exclude","This comprehensive review article fails to meet multiple critical screening criteria, including the absence of in vivo controlled experiments, lack of animal models of psychosis, and no experimental interventions with TAAR1 agonists. The paper provides a broad overview of trace amines and TAAR1 biology but does not constitute an original experimental study with the required methodological characteristics. Consequently, it does not qualify for inclusion in the systematic review.",0.1,"sr1_elicit_1","elicit_exclude","549–620","70","3","0031-6997",NA
"Dopamine D2 Receptor Supersensitivity as a Spectrum of Neurotoxicity and Status in Psychiatric Disorders","R. Kostrzewa, K. Wydra, M. Filip, C. Crawford, S. A. McDougall, Russell W. Brown, D. Borroto-Escuela, K. Fuxe, R. Gainetdinov","10.1124/jpet.118.247981","https://doi.org/10.1124/jpet.118.247981","Journal of Pharmacology and Experimental Therapeutics",18,2018,"no","The abstract discusses animal models and experimental findings, but it appears to be a review paper summarizing various studies rather than presenting original controlled experiments. The phrase ""this review summarizes"" explicitly indicates this is a review paper.","maybe","The abstract mentions animal models of schizophrenia, including D2R supersensitivity models and TAAR1 knockout models. These appear to meet the criterion for psychosis-like features, but as this is a review, it's not presenting original experimental data.","no","While the abstract mentions TAAR1 agonists as therapeutic options, it doesn't present original experimental data testing these interventions. It only discusses them as potential therapeutic options being explored.","no","While the abstract mentions behavioral and biochemical characterization, it doesn't specifically report on the required co-primary outcomes (locomotor activity and PPI). It discusses various outcomes in general terms but not in the context of specific experimental results.","no","The abstract doesn't describe specific control groups or experimental comparisons, as it's a review paper rather than an original experimental study.","no","This is clearly a review paper, not an original experimental study. The abstract explicitly states ""this review summarizes"" and provides an overview of various models and findings rather than presenting original experimental data.","Exclude","The abstract represents a review paper discussing animal models of schizophrenia, which fundamentally fails to meet the screening criteria requiring an original experimental study with controlled interventions. Specifically, the text lacks original experimental data, does not present specific control groups, and does not report the required primary outcomes of locomotor activity and prepulse inhibition. Consequently, the paper does not satisfy the essential screening requirements for inclusion.",0.1,"sr1_elicit_2","elicit_exclude","519–526","366","3","0022-3565",NA
"Trace Amines and the Trace Amine-Associated Receptor 1: Pharmacology, Neurochemistry, and Clinical Implications","Yue Pei, A. Asif-Malik, J. Canales","10.3389/fnins.2016.00148","https://doi.org/10.3389/fnins.2016.00148","Frontiers in Neuroscience",119,2016,"no","The abstract does not describe any specific in vivo controlled experiments. It is a review paper that summarizes developments in TAAR1 research, rather than an original experimental study.","no","The abstract does not describe any specific animal models of psychosis or experimental procedures for inducing psychosis-like features. It only discusses neuropsychiatric disorders and schizophrenia in general terms.","no","The abstract discusses TAAR1-based medications and pharmacological tools, but does not describe specific experimental interventions testing TAAR1 agonists. It only provides background information about TAAR1 and its potential therapeutic applications.","no","The abstract does not mention any of the primary outcomes (locomotor activity or prepulse inhibition) or secondary outcomes. While it discusses neurobiological mechanisms broadly, it does not present specific experimental outcomes.","no","The abstract does not mention any control groups or experimental conditions. It does not describe any specific experimental setup.","no","This paper is explicitly a review article rather than an original experimental study.","Exclude","This review paper provides comprehensive background on trace amines and TAAR1 receptor mechanisms, but lacks the specific experimental design elements required by the screening criteria. The abstract describes theoretical neurochemical insights and potential therapeutic applications, yet does not present original experimental data using animal models of psychosis or demonstrate the specific intervention and outcome measurements specified in the screening protocol. Consequently, the manuscript does not meet the fundamental requirements for inclusion in the systematic review.",0.1,"sr1_elicit_3","elicit_exclude",NA,NA,NA,NA,NA
"Mechanisms underlying psychosis and antipsychotic treatment response in schizophrenia: insights from PET and SPECT imaging.","Oliver D. Howes, A. Egerton, V. Allan, P. McGuire, P. Stokes, S. Kapur","10.2174/138161209788957528","https://doi.org/10.2174/138161209788957528","Current pharmaceutical design",249,2009,"no","The paper focuses on PET and SPECT imaging studies in humans, not in vivo controlled experiments in animals. The abstract clearly indicates this is about molecular imaging studies in humans with schizophrenia.","no","The study does not involve animal models of psychosis. It exclusively discusses human studies and clinical findings.","no","While the paper discusses antipsychotic medications, it does not specifically investigate TAAR1 agonists. The focus is on D2/3 receptor blockade and existing antipsychotic medications.","no","The outcomes discussed in the abstract (D2/3 receptor occupancy, treatment response, side effects) are different from the required behavioral measures like locomotor activity and prepulse inhibition. The neurobiological measures mentioned are from human imaging, not animal studies.","no","The abstract does not mention any animal control groups or vehicle administration. The study design appears to be entirely different from what's required in the criteria.","no","While this appears to be original research, it is not an experimental study using animal models. It's a human imaging study.","Exclude","The systematic review's strict criteria for animal models of psychosis, TAAR1 agonists, specific behavioral outcomes, and experimental design are completely unmet by this human molecular imaging study. The research focuses on PET and SPECT imaging of dopaminergic mechanisms in human schizophrenia, which fundamentally differs from the required experimental parameters. Consequently, the paper is definitively excluded from the systematic review.",0.1,"sr1_elicit_4","elicit_exclude","2550–2559","15","22","1381-6128",NA
"Functional Interaction between Trace Amine-Associated Receptor 1 and Dopamine D2 Receptor","S. Espinoza, A. Salahpour, B. Masri, T. Sotnikova, Mirko Messa, L. Barak, M. Caron, R. Gainetdinov","10.1124/mol.111.073304","https://doi.org/10.1124/mol.111.073304","Molecular Pharmacology",175,2011,"maybe","The study includes both in vitro (cell culture) and in vivo (mouse) experiments, which partially meets the criterion for in vivo controlled experiments. However, the inclusion of in vitro components makes it non-compliant with this criterion.","no","The study uses mice lacking TAAR1 and examines their response to haloperidol, but does not appear to use an induced psychosis model. The mice are used to study basic neurobiological mechanisms rather than psychosis-like features or behaviors, which fails to meet the criterion for animal models of psychosis.","no","While the study investigates TAAR1 and its interactions with D2R, it does not specifically test TAAR1 agonists as interventions. Instead, it focuses on the biochemical mechanisms of TAAR1-D2R interaction and uses TAAR1 knockout mice, which does not meet the criterion for TAAR1 agonist interventions.","no","The study measures biochemical outcomes (cAMP signaling) and some behavioral measures (catalepsy), but does not specifically measure the required co-primary outcomes of locomotor activity or PPI. The outcomes measured are not aligned with the required primary outcomes.","maybe","The study uses appropriate control conditions (vehicle controls and comparison with D2R antagonists), but these are not in the context of psychosis models as required by the criteria.","yes","This is an original experimental study using animal models, so it meets this criterion.","Include","The study does not meet key screening criteria for a systematic review on TAAR1 agonists in psychosis models, primarily because it lacks an induced psychosis model, does not test TAAR1 agonist interventions, and fails to measure the required primary behavioral outcomes. While the research provides valuable insights into TAAR1-D2R interactions, it diverges significantly from the specified review parameters, focusing instead on basic neurobiological mechanisms rather than psychosis-related interventions.",2.5,"sr1_elicit_5","elicit_include","416–425","80","3","0026-895X",NA
"A Role for Estrogen in Schizophrenia: Clinical and Preclinical Findings","A. Gogos, A. Sbisa, Jeehae Sun, A. Gibbons, M. Udawela, B. Dean","10.1155/2015/615356","https://doi.org/10.1155/2015/615356","International Journal of Endocrinology",192,2015,"no","The paper is a review paper rather than an original experimental study, so it does not include in vivo controlled experiments.","maybe","The abstract does not specify whether the animal models used in the reviewed studies were models of psychosis specifically. The focus appears to be on estrogen's effects rather than psychosis model induction.","no","The paper focuses on estrogen (17β-estradiol) interventions, not TAAR1 agonists. There is no mention of TAAR1 or related compounds.","maybe","The abstract mentions effects on dopamine, serotonin, and glutamate systems, but does not specifically address the primary outcomes of locomotor activity or prepulse inhibition (PPI). While some of the secondary outcomes might be covered in the review, they're not explicitly mentioned.","maybe","As this is a review paper, it does not directly implement control interventions. While it likely reviews controlled studies, the specific control conditions are not detailed in the abstract.","no","This is explicitly a review paper, not an original experimental study.","Exclude","This review paper on estrogen and schizophrenia does not meet the systematic review's screening criteria, primarily because it is not an original experimental study and does not focus on TAAR1 agonists or animal models of psychosis. The research examines estrogen's effects across clinical, animal, and molecular domains, but lacks the specific experimental design and intervention characteristics required by the screening protocol.",0.1,"sr1_elicit_6","elicit_exclude",NA,NA,NA,NA,"
                    Gender differences in schizophrenia have been extensively researched and it is being increasingly accepted that gonadal steroids are strongly attributed to this phenomenon. Of the various hormones implicated, the estrogen hypothesis has been the most widely researched one and it postulates that estrogen exerts a protective effect by buffering females against the development and severity of the illness. In this review, we comprehensively analyse studies that have investigated the effects of estrogen, in particular 17
                    β
                    -estradiol, in clinical, animal, and molecular research with relevance to schizophrenia. Specifically, we discuss the current evidence on estrogen dysfunction in schizophrenia patients and review the clinical findings on the use of estradiol as an adjunctive treatment in schizophrenia patients. Preclinical research that has used animal models and molecular probes to investigate estradiol’s underlying protective mechanisms is also substantially discussed, with particular focus on estradiol’s impact on the major neurotransmitter systems implicated in schizophrenia, namely, the dopamine, serotonin, and glutamate systems.
                  "
"Pro-psychotic effects of synthetic cannabinoids: interactions with central dopamine, serotonin, and glutamate systems","W. Fantegrossi, Catheryn D. Wilson, Michael D. Berquist","10.1080/03602532.2018.1428343","https://doi.org/10.1080/03602532.2018.1428343","Drug metabolism reviews (Softcover ed.)",56,2018,"no","The abstract indicates this is a review paper, not an in vivo controlled experiment, which fails this critical criterion.","no","The abstract does not describe any specific animal experiments or models of psychosis, only discussing cannabinoids and psychosis in general.","no","The abstract does not mention any TAAR1 agonists or related interventions, instead focusing on cannabinoid receptors (CB1Rs) and their interactions with other neurotransmitter systems.","no","While the abstract discusses neurotransmitter systems relevant to psychosis, it does not describe specific behavioral measures like locomotor activity or prepulse inhibition that are required as primary outcomes.","no","No control interventions are described in the abstract, as this is a review paper rather than an experimental study.","no","The abstract explicitly states this is a review paper, not an original experimental study using animal models.","Exclude","The paper is a review article that does not meet the screening criteria for an experimental study using animal models of psychosis. It lacks specific experimental interventions, control groups, and primary behavioral outcomes required by the screening protocol. The focus on cannabinoid receptor interactions and neurotransmitter systems does not align with the systematic review's strict methodological requirements.",0.1,"sr1_elicit_7","elicit_exclude","65–73","50","1","1097-9883",NA
"Has an angel shown the way? Etiological and therapeutic implications of the PCP/NMDA model of schizophrenia.","D. Javitt, S. Zukin, U. Heresco-Levy, D. Umbricht","10.1093/schbul/sbs069","https://doi.org/10.1093/schbul/sbs069","Schizophrenia bulletin",279,2012,"maybe","The abstract mentions animal models and human studies, but does not clearly describe specific controlled experiments. While it references studies with NMDAR antagonists in animal models, it is primarily a review article summarizing findings over ""the past 20 years"".","yes","The abstract mentions animal models using NMDAR antagonists (PCP, ketamine) which can induce psychosis-like features, meeting this criterion. However, specific details about the animal populations are not provided.","no","The paper does NOT focus on TAAR1 agonists. Instead, it discusses compounds acting on NMDAR (glycine site, D-serine, D-cycloserine) and glycine transport inhibitors. This is a critical failure to meet this essential criterion.","maybe","While behavioral measures are mentioned, the specific primary outcomes required (locomotor activity and PPI) are not explicitly mentioned. The paper does discuss sensory dysfunction and cognitive functions, which might fall under secondary outcomes.","no","The abstract doesn't specify control conditions. While studies are mentioned, the specific control groups used are not detailed.","no","This appears to be a review article (""This article reviews developments..."") rather than an original experimental study, failing this criterion.","Exclude","The abstract describes a review of glutamatergic models of schizophrenia, focusing on NMDAR-related interventions, which fundamentally differs from the systematic review's specific criteria requiring TAAR1 agonist studies in animal models. Critical deviations include being a review article rather than an original experimental study and examining interventions unrelated to the required TAAR1 agonists, rendering the paper ineligible for inclusion.",0.1,"sr1_elicit_8","elicit_exclude","958–966","38","5","1745-1701",NA
"All Roads to Schizophrenia Lead to Dopamine Supersensitivity and Elevated Dopamine D2High Receptors","P. Seeman","10.1111/j.1755-5949.2010.00162.x","https://doi.org/10.1111/j.1755-5949.2010.00162.x","CNS Neuroscience & Therapeutics",218,2011,"no","The paper appears to be a review paper rather than an original experimental study, as it discusses various animal models and their findings but does not present new controlled experiments. This is a critical failure of the study design criterion.","no","While the paper discusses animal models of schizophrenia and various methods of induction, it does so in a review capacity rather than presenting original research with these models.","no","The paper does not investigate TAAR1 agonists. Instead, it focuses on dopamine D2 receptors and traditional antipsychotics, which is a critical failure of the experimental interventions criterion.","no","The paper does not specifically measure the co-primary outcomes required (locomotor activity and PPI). While it discusses various behavioral measures, these are not presented as primary outcomes in an experimental context.","no","While control groups are mentioned in the context of reviewing other studies, this paper itself does not appear to conduct experiments with control interventions as specified in the criteria.","no","This is clearly a review paper rather than an original experimental study, which is a direct violation of the primary research type criterion.","Exclude","The abstract represents a review paper that fails to meet multiple critical screening criteria, including the requirement for original experimental research and investigation of TAAR1 agonists. Specifically, the document discusses animal models and dopamine receptors in a review context, lacking the necessary experimental design, intervention characteristics, and primary outcome measurements specified in the screening criteria. Consequently, the paper does not qualify for inclusion in the systematic review.",0.1,"sr1_elicit_9","elicit_exclude","118–132","17","2","1755-5930",NA
"d-Lysergic Acid Diethylamide (LSD) as a Model of Psychosis: Mechanism of Action and Pharmacology","D. De Gregorio, S. Comai, L. Posa, G. Gobbi","10.3390/ijms17111953","https://doi.org/10.3390/ijms17111953","International Journal of Molecular Sciences",101,2016,"no","The paper is a review paper, not an original experimental study with in vivo controlled experiments, as explicitly stated in the abstract.","no","The paper discusses LSD as a model of psychosis, but it is reviewing existing literature rather than conducting original research with animal models. The abstract does not describe specific animal experiments.","no","The paper discusses TAAR1 receptors, but not in the context of testing TAAR1 agonists as interventions. Instead, it mentions TAAR1 as one of the receptors that LSD acts upon.","no","While the paper discusses mechanisms related to psychosis, it does not specifically measure the required primary outcomes (locomotor activity and PPI) or the specified secondary outcomes. It focuses more on mechanistic understanding of LSD's effects.","no","As this is a review paper, it does not describe specific control groups or experimental conditions that would meet the control intervention criteria.","no","The abstract clearly indicates this is a review paper, which explicitly fails the criterion requiring original experimental studies.","Exclude","This review paper on LSD's mechanism of action does not meet the systematic review's screening criteria, primarily because it is a literature review rather than an original experimental study with animal models. The manuscript lacks the required experimental design, specific interventions, control groups, and primary outcome measurements needed for inclusion in the systematic review.",0.1,"sr1_elicit_10","elicit_exclude","1953","17","11","1422-0067","d-Lysergic Acid Diethylamide (LSD) is known for its hallucinogenic properties and psychotic-like symptoms, especially at high doses. It is indeed used as a pharmacological model of psychosis in preclinical research. The goal of this review was to understand the mechanism of action of psychotic-like effects of LSD. We searched Pubmed, Web of Science, Scopus, Google Scholar and articles’ reference lists for preclinical studies regarding the mechanism of action involved in the psychotic-like effects induced by LSD. LSD’s mechanism of action is pleiotropic, primarily mediated by the serotonergic system in the Dorsal Raphe, binding the 5-HT2A receptor as a partial agonist and 5-HT1A as an agonist. LSD also modulates the Ventral Tegmental Area, at higher doses, by stimulating dopamine D2, Trace Amine Associate receptor 1 (TAAR1) and 5-HT2A. More studies clarifying the mechanism of action of the psychotic-like symptoms or psychosis induced by LSD in humans are needed. LSD’s effects are mediated by a pleiotropic mechanism involving serotonergic, dopaminergic, and glutamatergic neurotransmission. Thus, the LSD-induced psychosis is a useful model to test the therapeutic efficacy of potential novel antipsychotic drugs, particularly drugs with dual serotonergic and dopaminergic (DA) mechanism or acting on TAAR1 receptors."
