"duplicate_id","author","year","journal","doi","title","pages","volume","number","abstract","isbn","label","source","record_ids"
"05f2e6c8-63c7-450d-855e-56ce57be3708","Kostrzewa, Richard M. and Wydra, Karolina and Filip, Malgorzata and Crawford, Cynthia A. and McDougall, Sanders A. and Brown, Russell W. and Borroto-Escuela, Dasiel O. and Fuxe, Kjell and Gainetdinov, Raul R","2018","JOURNAL OF PHARMACOLOGY AND EXPERIMENTAL THERAPEUTICS","10.1124/jpet.118.247981","Dopamine D-2 Receptor Supersensitivity as a Spectrum of Neurotoxicity and Status in Psychiatric Disorders","519–526","366","3","Abnormality of dopamine D-2 receptor (D2R) function, often observed as D2R supersensitivity (D2RSS), is a commonality of schizophrenia and related psychiatric disorders in humans. Moreover, virtually all psychotherapeutic agents for schizophrenia target D2R in brain. Permanent D2RSS as a feature of a new animal model of schizophrenia was first reported in 1991, and then behaviorally and biochemically characterized over the next 15-20 years. In this model of schizophrenia characterized by production of D2RSS in ontogeny, there are demonstrated alterations of signaling processes, as well as functional links between the biologic template of the animal model and ability of pharmacotherapeutics to modulate or reverse biologic and behavioral modalities toward normality. Another such animal model, featuring knockout of trace amine-associated receptor 1 (TAAR1), demonstrates D2RSS with an increase in the proportion of D2R in the high-affinity state. Currently, TAAR1 agonists are being explored as a therapeutic option for schizophrenia. There is likewise an overlay of D2RSS with substance use disorder. The aspect of adenosine A(2A)-D-2 heteroreceptor complexes in substance use disorder is highlighted, and the association of adenosine A(2A) receptor antagonists in discriminative and rewarding effects of psychostimulants is outlined. In summary, these new animal models of schizophrenia have face, construct, and predictive validity, and distinct advantages over earlier models. While the review summarizes elements of D2RSS in schizophrenia per se, and its interplay with substance use disorder, a major focus is on presumed new molecular targets attending D2RSS in schizophrenia and related clinical entities.","0022-3565","elicit_exclude,original_Tiab_exclude","elicit,original","05f2e6c8-63c7-450d-855e-56ce57be3708, sr1_elicit_2"
"27fc059f-73c1-4c23-9505-fcc1e2d992f7","Mantas I and Millan MJ and Di Cara B and Groenink L and Veiga S and Cistarelli L and Brocco M and Bertrand M and Svenningsson P and Zhang X","2021","International journal of molecular sciences","10.3390/ijms22168907","Trace Amine-Associated Receptor 1 Contributes to Diverse Functional Actions of O-Phenyl-Iodotyramine in Mice but Not to the Effects of Monoamine-Based Antidepressants.","8907","22","16","Trace Amine-Associated Receptor 1 (TAAR1) is a potential target for the treatment of depression and other CNS disorders. However, the precise functional roles of TAAR1 to the actions of clinically used antidepressants remains unclear. Herein, we addressed these issues employing the TAAR1 agonist, o-phenyl-iodotyramine (o-PIT), together with TAAR1-knockout (KO) mice. Irrespective of genotype, systemic administration of o-PIT led to a similar increase in mouse brain concentrations. Consistent with the observation of a high density of TAAR1 in the medial preoptic area, o-PIT-induced hypothermia was significantly reduced in TAAR1-KO mice. Furthermore, the inhibition of a prepulse inhibition response by o-PIT, as well as its induction of striatal tyrosine hydroxylase phosphorylation and elevation of extracellular DA in prefrontal cortex, were all reduced in TAAR1-KO compared to wildtype mice. O-PIT was active in both forced-swim and marble-burying tests, and its effects were significantly blunted in TAAR1-KO mice. Conversely, the actions on behaviour and prefrontal cortex dialysis of a broad suite of clinically used antidepressants were unaffected in TAAR1-KO mice. In conclusion, o-PIT is a useful tool for exploring the hypothermic and other functional antidepressant roles of TAAR1. By contrast, clinically used antidepressants do not require TAAR1 for expression of their antidepressant properties.","1422-0067","elicit_include,original_Tiab_exclude","elicit,original","27fc059f-73c1-4c23-9505-fcc1e2d992f7, sr1_elicit_134"
"285b3eb9-3d12-4ade-81ba-a2a98ab51dc1","Espinoza, Stefano and Salahpour, Ali and Masri, Bernard and Sotnikova, Tatyana D. and Messa, Mirko and Barak, Larry S. and Caron, Marc G. and Gainetdinov, Raul R","2011","MOLECULAR PHARMACOLOGY","10.1124/mol.111.073304","Functional Interaction between Trace Amine-Associated Receptor 1 and Dopamine D2 Receptor","416–425","80","3","The ability of dopamine receptors to interact with other receptor subtypes may provide mechanisms for modulating dopamine-related functions and behaviors. In particular, there is evidence suggesting that the trace amine-associated receptor 1 (TAAR1) affects the dopaminergic system by regulating the firing rate of dopaminergic neurons or by altering dopamine D2 receptor (D2R) responsiveness to ligands. TAAR1 is a G alpha(s) protein-coupled receptor that is activated by biogenic amines, ``trace amines,{''} such as beta-phenylethylamine (beta-PEA) and tyramine that are normally found at low concentrations in the mammalian brain. In the present study, we investigated the biochemical mechanism of interaction between TAAR1 and D2R and the role this interaction plays in D2R-related signaling and behaviors. Using a bioluminescence resonance energy transfer biosensor for cAMP, we demonstrated that the D2R antagonists haloperidol, raclopride, and amisulpride were able to enhance selectively a TAAR1-mediated beta-PEA increase of cAMP. Moreover, TAAR1 and D2R were able to form heterodimers when coexpressed in human embryonic kidney 293 cells, and this direct interaction was disrupted in the presence of haloperidol. In addition, in mice lacking TAAR1, haloperidol-induced striatal c-Fos expression and catalepsy were significantly reduced. Taken together, these data suggest that TAAR1 and D2R have functional and physical interactions that could be critical for the modulation of the dopaminergic system by TAAR1 in vivo.","0026-895X","elicit_include,original_Tiab_exclude","elicit,original","285b3eb9-3d12-4ade-81ba-a2a98ab51dc1, sr1_elicit_5"
"2e377968-6044-4063-9379-5032ab0a4d59","XIE Z ;VALLENDER EJ ;YU N ;KIRSTEIN SL ;YANG H ;BAHN ME ;WESTMORELAND SV ;MILLER GM","2008","JOURNAL OF NEUROSCIENCE RESEARCH","10.1002/jnr.21783","CLONING, EXPRESSION, AND FUNCTIONAL ANALYSIS OF RHESUS MONKEY TRACE AMINE-ASSOCIATED RECEPTOR 6: EVIDENCE FOR LACK OF MONOAMINERGIC ASSOCIATION","3435–3446","86","15","SEVERAL RECENT STUDIES REPORT AN ASSOCIATION BETWEEN TRACE AMINE-ASSOCIATED RECEPTOR 6 (TAAR6) AND SUSCEPTIBILITY TO SCHIZOPHRENIA AND BIPOLAR AFFECTIVE DISORDER IN HUMANS. HOWEVER, ENDOGENOUS TAAR6 AGONISTS AND THE RECEPTOR SIGNALING PROFILE AND BRAIN DISTRIBUTION REMAIN UNCLEAR. HERE, WE CLONE TAAR6 FROM THE RHESUS MONKEY AND USE TRANSFECTED CELLS TO INVESTIGATE WHETHER THIS RECEPTOR INTERACTS WITH BRAIN MONOAMINES AND A PSYCHOSTIMULANT DRUG TO TRIGGER CAMP SIGNALING OR EXTRACELLULAR SIGNAL-REGULATED KINASE (ERK) PHOSPHORYLATION, WHILE INVESTIGATING ITS EXPRESSION PROFILE IN THE RHESUS MONKEY BRAIN. UNLIKE TAAR1, RHESUS MONKEY TAAR6 DID NOT ALTER CAMP LEVELS IN RESPONSE TO 10 ΜM OF MONOAMINES (DOPAMINE, NOREPINEPHRINE, SEROTONIN, Β-PHENYLETHYLAMINE (Β-PEA), OCTOPAMINE, TRYPTAMINE, AND TYRAMINE) OR METHAMPHETAMINE IN STABLY TRANSFECTED CELLS IN VITRO. REAL-TIME CELL ELECTRONIC SENSING ANALYSIS INDICATED THAT THE RECEPTOR DID NOT ALTER CELL IMPEDANCE OR CHANGE THE EFFECT OF FORSKOLIN ON CELL IMPEDANCE AT EXPOSURE TO 20 ΜM OF EACH MONOAMINE, SUGGESTING A LACK OF EITHER GS OR GI-LINKED SIGNALING. WHEREAS Κ OPIOID RECEPTOR ACTIVATION LED TO ERK PHOSPHORYLATION AT EXPOSURE TO 1 ΜM U69593, RHESUS MONKEY TAAR6 HAD NO SUCH EFFECT AT EXPOSURE TO 10 ΜM OF MONOAMINES OR METHAMPHETAMINE. MEMBRANE AND CELL SURFACE LOCALIZATION OF TAAR6 WAS CONFIRMED BY IMMUNOCYTOCHEMISTRY, BIOTINYLATION, AND WESTERN BLOT TESTING WITH A TAAR6 ANTIBODY IN THE TRANSFECTED CELLS. REAL-TIME REVERSE TRANSCRIPTASE-POLYMERASE CHAIN REACTION AMPLIFICATION SHOWED THAT TAAR6 MRNA WAS UNDETECTABLE IN SELECTED RHESUS MONKEY BRAIN REGIONS. TOGETHER, THE DATA REVEAL THAT TAAR6 IS UNRESPONSIVE TO BRAIN MONOAMINES AND IS NOT EXPRESSED IN RHESUS MONKEY BRAIN MONOAMINERGIC NUCLEI, SUGGESTING TAAR6 LACKS DIRECT ASSOCIATION WITH BRAIN MONOAMINERGIC NEURONAL FUNCTION. © 2008 WILEY-LISS, INC.","1097-4547","elicit_exclude,original_Tiab_exclude","elicit,original","2e377968-6044-4063-9379-5032ab0a4d59, sr1_elicit_181"
"35d77994-fbb3-4126-9852-29663d25c892","KRASAVIN M ;LUKIN A ;SUKHANOV I ;GERASIMOV AS ;KUVARZIN S ;EFIMOVA EV ;DOROFEIKOVA M ;NICHUGOVSKAYA A ;MATVEEV A ;ONOKHIN K ;ZAKHAROV K ;GUREEV M ;GAINETDINOV RR","2022","BIOMOLECULES","10.3390/biom12111650","DISCOVERY OF TRACE AMINE-ASSOCIATED RECEPTOR 1 (TAAR1) AGONIST 2-(5-(4′-CHLORO-[1,1′-BIPHENYL]-4-YL)-4H-1,2,4-TRIAZOL-3-YL)ETHAN-1-AMINE (LK00764) FOR THE TREATMENT OF PSYCHOTIC DISORDERS","1650","12","11","A FOCUSED IN-HOUSE LIBRARY OF ABOUT 1000 COMPOUNDS COMPRISING VARIOUS HETEROCYCLIC MOTIFS IN COMBINATION WITH STRUCTURAL FRAGMENTS SIMILAR TO Β-PHENYLETHYLAMINE OR TYRAMINE WAS SCREENED FOR THE AGONISTIC ACTIVITY TOWARDS TRACE AMINE-ASSOCIATED RECEPTOR 1 (TAAR1). THE SCREENING YIELDED TWO CLOSELY RELATED HITS DISPLAYING EC50 VALUES IN THE UPPER SUBMICROMOLAR RANGE. EXTENSIVE ANALOG SYNTHESIS AND TESTING FOR TAAR1 AGONISM IN A BRET-BASED CELLULAR ASSAY IDENTIFIED COMPOUND 62 (LK00764) WITH EC50 = 4.0 NM. THE COMPOUND DEMONSTRATED NOTABLE EFFICACY IN SUCH SCHIZOPHRENIA-RELATED IN VIVO TESTS AS MK-801-INDUCED HYPERACTIVITY AND SPONTANEOUS ACTIVITY IN RATS, LOCOMOTOR HYPERACTIVITY OF DOPAMINE TRANSPORTER KNOCKOUT (DAT-KO) RATS, AND STRESS-INDUCED HYPERTHERMIA (I.P. ADMINISTRATION). FURTHER PRECLINICAL STUDIES ARE NECESSARY TO EVALUATE EFFICACY, SAFETY AND TOLERABILITY OF THIS POTENT TAAR1 AGONIST FOR THE POTENTIAL DEVELOPMENT OF THIS COMPOUND AS A NEW PHARMACOTHERAPY OPTION FOR SCHIZOPHRENIA AND OTHER PSYCHIATRIC DISORDERS. © 2022 BY THE AUTHORS.","2218-273X","elicit_include,original_ft_include","elicit,original","35d77994-fbb3-4126-9852-29663d25c892, sr1_elicit_11"
"443a460d-5225-4ad1-badd-83b2b42be83b","Galley, Guido and Beurier, Angelica and Decoret, Guillaume and Goergler, Annick and Hutter, Roman and Mohr, Susanne and Paehler, Axel and Schmid, Philipp and Tuerck, Dietrich and Unger, Robert and Zbinden, Katrin Groebke and Hoener, Marius C. and Norcross, Roger D","2016","ACS MEDICINAL CHEMISTRY LETTERS","10.1021/acsmedchemlett.5b00449","Discovery and Characterization of 2-Aminooxazolines as Highly Potent, Selective, and Orally Active TAAR1 Agonists","192–197","7","2","2-Aminooxazolines were discovered as a novel structural class of TAAR1 ligands. Starting from a known adrenergic compound 1, structural modifications were made to obtain highly potent and selective TAAR1 ligands such as 12 (RO5166017), 18 (RO5256390), 36 (RO5203648), and 48 (RO5263397). These compounds exhibit drug-like physicochemical properties, have good oral bioavailability, and display in vivo activity in a variety of animal models relevant for psychiatric diseases and addiction.","1948-5875","elicit_include,original_Tiab_exclude","elicit,original","443a460d-5225-4ad1-badd-83b2b42be83b, sr1_elicit_41"
"48922761-7826-4bac-b0f2-194f86e16936","LIU X ;GRANDY DK ;JANOWSKY A","2014","JOURNAL OF PHARMACOLOGY AND EXPERIMENTAL THERAPEUTICS","10.1124/jpet.114.213116","RACTOPAMINE, A LIVESTOCK FEED ADDITIVE, IS A FULL AGONIST AT TRACE AMINE-ASSOCIATED RECEPTOR 1","124–129","350","1","RACTOPAMINE (RAC) IS FED TO AN ESTIMATED 80% OF ALL BEEF, SWINE, AND TURKEY RAISED IN THE UNITED STATES. IT PROMOTES MUSCLE MASS DEVELOPMENT, LIMITS FAT DEPOSITION, AND REDUCES FEED CONSUMPTION. HOWEVER, IT HAS SEVERAL UNDESIRABLE BEHAVIORAL SIDE EFFECTS IN LIVESTOCK, ESPECIALLY PIGS, INCLUDING RESTLESSNESS, AGITATION, EXCESSIVE ORAL-FACIAL MOVEMENTS, AND AGGRESSIVE BEHAVIOR. NUMEROUS IN VITRO AND IN VIVO STUDIES SUGGEST RAC'S PHYSIOLOGICAL ACTIONS BEGIN WITH ITS STIMULATION OF ß1- AND ß2-ADRENERGIC RECEPTOR-MEDIATED SIGNALING IN SKELETAL MUSCLE AND ADIPOSE TISSUE; HOWEVER, THE MOLECULAR PHARMACOLOGY OF RAC'S PSYCHOACTIVE EFFECTS IS POORLY UNDERSTOOD. USING HUMAN CYSTIC FIBROSIS TRANSMEMBRANE CONDUCTANCE REGULATOR (HCFTR) CHLORIDE CHANNELS AS A SENSOR FOR INTRACELLULAR CAMP, WE FOUND THAT RAC AND P-TYRAMINE (TYR) PRODUCED CONCENTRATIONDEPENDENT INCREASES IN CHLORIDE CONDUCTANCE IN OOCYTES COEXPRESSING HCFTR AND MOUSE TRACE AMINE-ASSOCIATED RECEPTOR 1 (MTAAR1), WHICH WAS COMPLETELY REVERSED BY THE TRACE AMINE-ASSOCIATED RECEPTOR 1 (TAAR1)-SELECTIVE ANTAGONIST EPPTB [N-(3-ETHOXYPHENYL)-4-PYRROLIDIN-1-YL-3- TRIFLUOROMETHYLBENZAMIDE]. OOCYTES COEXPRESSING HCFTR AND THE HUMAN ß2-ADRENERGIC RECEPTOR SHOWED NO RESPONSE TO RAC OR TYR. THESE STUDIES DEMONSTRATE THAT, CONTRARY TO EXPECTATIONS, RAC IS NOT AN AGONIST OF THE HUMAN ß2-ADRENERGIC RECEPTOR BUT RATHER A FULL AGONIST FOR MTAAR1. SINCE TAAR1-MEDIATED SIGNALING CAN INFLUENCE CARDIOVASCULAR TONE AND BEHAVIOR IN SEVERAL ANIMAL MODELS, OUR FINDING THAT RAC IS A FULL MTAAR1 AGONIST SUPPORTS THE IDEA THAT THIS NOVEL MECHANISM OF ACTION INFLUENCES THE PHYSIOLOGY AND BEHAVIOR OF PIGS AND OTHER SPECIES. THESE FINDINGS SHOULD STIMULATE FUTURE STUDIES TO CHARACTERIZE THE PHARMACOLOGICAL, PHYSIOLOGICAL, AND BEHAVIORAL ACTIONS OF RAC IN HUMANS AND OTHER SPECIES EXPOSED TO THIS DRUG.","0022-3565","elicit_exclude,original_Tiab_exclude","elicit,original","48922761-7826-4bac-b0f2-194f86e16936, sr1_elicit_132"
"4afe69ed-2183-4131-9adb-ab8d1b9939b5","DECKER AM ;MATHEWS KM ;BLOUGH BE ;GILMOUR BP","2021","SLAS DISCOVERY","10.1177/2472555220945279","VALIDATION OF A HIGH-THROUGHPUT CALCIUM MOBILIZATION ASSAY FOR THE HUMAN TRACE AMINE-ASSOCIATED RECEPTOR 1","140–150","26","1","THE HUMAN TRACE AMINE-ASSOCIATED RECEPTOR 1 (HTAAR1) IS A G PROTEIN-COUPLED RECEPTOR (GPCR) THAT IS WIDELY EXPRESSED IN MONOAMINERGIC NUCLEI IN THE CENTRAL NERVOUS SYSTEM AND HAS THERAPEUTIC POTENTIAL FOR MULTIPLE DISEASES, INCLUDING DRUG ADDICTION AND SCHIZOPHRENIA. THUS, IDENTIFICATION OF NOVEL HTAAR1 LIGANDS IS CRITICAL TO ADVANCING OUR KNOWLEDGE OF HTAAR1 FUNCTION AND TO THE DEVELOPMENT OF THERAPEUTICS FOR A WIDE RANGE OF DISEASES. HEREIN WE DESCRIBE THE DEVELOPMENT OF A ROBUST, 3-ADDITION HIGH-THROUGHPUT SCREENING (HTS) CALCIUM MOBILIZATION ASSAY USING STABLE CHO-GΑQ16-HTAAR1 CELLS, WHICH FUNCTIONALLY COUPLE HTAAR1 TO THE PROMISCUOUS GΑQ16 PROTEIN AND THUS ALLOW SIGNAL TRANSDUCTION TO OCCUR THROUGH MOBILIZATION OF INTERNAL CALCIUM. OUR PREVIOUSLY ESTABLISHED 96-WELL HTAAR1 ASSAY WAS FIRST MINIATURIZED TO THE 384-WELL FORMAT AND OPTIMIZED TO PROVIDE AN ASSAY WITH A Z′ FACTOR OF 0.84, WHICH IS INDICATIVE OF A ROBUST HTS ASSAY. USING THE 3-ADDITION PROTOCOL, 22,000 COMPOUNDS WERE SCREENED AND YIELDED A ~1% AGONIST HIT RATE AND A ~0.2% ANTAGONIST HIT RATE. OF THE ANTAGONIST HITS, TWO CONFIRMED HITS ARE THE MOST POTENT HTAAR1 ANTAGONISTS IDENTIFIED TO DATE (IC50 = 206 AND 281 NM). WHILE SCIENTISTS HAVE BEEN STUDYING HTAAR1 FOR YEARS, THE LACK OF SUITABLE HTAAR1 ANTAGONISTS HAS BEEN A MAJOR ROADBLOCK FOR STUDYING THE BASIC PHARMACOLOGY OF HTAAR1. THUS, THESE NEW LIGANDS WILL SERVE AS VALUABLE TOOLS TO STUDY HTAAR1-MEDIATED SIGNALING MECHANISMS, THERAPEUTIC POTENTIAL, AND IN VIVO FUNCTIONS. © SOCIETY FOR LABORATORY AUTOMATION AND SCREENING 2020.","2472-5552","elicit_exclude,original_Tiab_exclude","elicit,original","4afe69ed-2183-4131-9adb-ab8d1b9939b5, sr1_elicit_404"
"5802919c-8306-4f0f-a9ca-2d96d1b0ddc2","SHI X ;WALTER NAR ;HARKNESS JH ;NEVE KA ;WILLIAMS RW ;LU L ;BELKNAP JK ;ESHLEMAN AJ ;PHILLIPS TJ ;JANOWSKY A","2016","PLOS ONE","10.1371/journal.pone.0152581","GENETIC POLYMORPHISMS AFFECT MOUSE AND HUMAN TRACE AMINE-ASSOCIATED RECEPTOR 1 FUNCTION","e0152581","11","3","METHAMPHETAMINE (MA) AND NEUROTRANSMITTER PRECURSORS AND METABOLITES SUCH AS TYRAMINE, OCTOPAMINE, AND Β-PHENETHYLAMINE STIMULATE THE G PROTEIN-COUPLED TRACE AMINE-ASSOCIATED RECEPTOR 1 (TAAR1). TAAR1 HAS BEEN IMPLICATED IN HUMAN CONDITIONS INCLUDING OBESITY, SCHIZOPHRENIA, DEPRESSION, FIBROMYALGIA, MIGRAINE, AND ADDICTION. ADDITIONALLY TAAR1 IS EXPRESSED ON LYMPHOCYTES AND ASTROCYTES INVOLVED IN INFLAMMATION AND RESPONSE TO INFECTION. IN BRAIN, TAAR1 STIMULATION REDUCES SYNAPTIC DOPAMINE AVAILABILITY AND ALTERS GLUTAMATERGIC FUNCTION. TAAR1 IS ALSO EXPRESSED AT LOW LEVELS IN HEART, AND MAY REGULATE CARDIOVASCULAR TONE. TAAR1 KNOCKOUT MICE ORALLY SELF-ADMINISTER MORE MA THAN WILD TYPE AND ARE INSENSITIVE TO ITS AVERSIVE EFFECTS. DBA/2J (D2) MICE EXPRESS A NON-SYNONYMOUS SINGLE NUCLEOTIDE POLYMORPHISM (SNP) IN TAAR1 THAT DOES NOT RESPOND TO MA, AND D2 MICE ARE PREDISPOSED TO HIGH MA INTAKE, COMPARED TO C57BL/6 (B6) MICE. HERE WE DEMONSTRATE THAT ENDOGENOUS AGONISTS STIMULATE THE RECOMBINANT B6 MOUSE TAAR1, BUT DO NOT ACTIVATE THE D2 MOUSE RECEPTOR. PROGENY OF THE B6XD2 (BXD) FAMILY OF RECOMBINANT INBRED (RI) STRAINS HAVE BEEN USED TO CHARACTERIZE THE GENETIC ETIOLOGY OF DISEASES, BUT CONTRARY TO EXPECTATIONS, BXDS DERIVED 30-40 YEARS AGO EXPRESS ONLY THE FUNCTIONAL B6 TAAR1 ALLELE WHEREAS SOME MORE RECENTLY DERIVED BXD RI STRAINS EXPRESS THE D2 ALLELE. DATA INDICATE THAT THE D2 MUTATION AROSE SUBSEQUENT TO DERIVATION OF THE ORIGINAL RIS. FINALLY, WE DEMONSTRATE THAT SNPS IN HUMAN TAAR1 ALTER ITS FUNCTION, RESULTING IN EXPRESSED, BUT FUNCTIONAL, SUB-FUNCTIONAL AND NON-FUNCTIONAL RECEPTORS. OUR FINDINGS ARE IMPORTANT FOR IDENTIFYING A PREDISPOSITION TO HUMAN DISEASES, AS WELL AS FOR DEVELOPING PERSONALIZED TREATMENT OPTIONS. © 2016, PUBLIC LIBRARY OF SCIENCE. ALL RIGHTS RESERVED. THIS IS AN OPEN ACCESS ARTICLE, FREE OF ALL COPYRIGHT, AND MAY BE FREELY REPRODUCED, DISTRIBUTED, TRANSMITTED, MODIFIED, BUILT UPON, OR OTHERWISE USED BY ANYONE FOR ANY LAWFUL PURPOSE. THE WORK IS MADE AVAILABLE UNDER THE CREATIVE COMMONS CC0 PUBLIC DOMAIN DEDICATION.","1932-6203","elicit_exclude,original_Tiab_exclude","elicit,original","5802919c-8306-4f0f-a9ca-2d96d1b0ddc2, sr1_elicit_115"
"593342b1-b89e-4bf0-a39b-387ff63de2ee","St<c3><a4>ubert C and Bohnekamp J and Sch<c3><b6>neberg T","2013","British journal of pharmacology","10.1111/bph.12020","Determinants involved in subtype-specific functions of rat trace amine-associated receptors 1 and 4.","1266–1278","168","5","AIMS: The trace amine-associated receptor (Taar) family displays high species- and subtype-specific pharmacology. Several trace amines such as Î²-phenylethylamine (Î²-PEA), p-tyramine and tryptamine are agonists at TA(1) but poorly activate rat and mouse Taar4. PRINCIPAL RESULTS: Using rat TA(1) and Taar4 chimera, we identified determinants in transmembrane helices 3 and 6, which, when replaced by the corresponding portion of rat TA(1) , can rescue cell surface expression of rat Taar4. When expressed at the cell surface, rat Taar4 pharmacology was very similar to that of TA(1) and coupled to the GÎ±(s) -protein/AC pathway. Our data suggest that binding pockets of Taar for surrogate agonists overlap between paralogs. CONCLUSIONS: This implicates that the repertoire of Taar ensures functional redundancy, tissue- and cell-specific expression and/or different downstream signalling rather than different agonist specificity.","1476-5381","elicit_exclude,original_Tiab_exclude","elicit,original","593342b1-b89e-4bf0-a39b-387ff63de2ee, sr1_elicit_306"
