"duplicate_id","author","year","journal","doi","title","abstract","label","source","pages","volume","number","isbn","record_ids"
"sr2_original_1","Ahmad M.Sharma P.Kamai A.Agrawal A.Faruq M.Kulshreshtha A.",NA,"","10.1016/j.bios.2021.113280","HRPZyme Assisted Recognition of SARS-CoV-2 infection by Optical Measurement (HARIOM)",NA,"original_ft_exclude, nk_ft_exclude","original,nk",NA,NA,NA,NA,"sr2_original_1,sr2_nk_265"
"sr2_original_2","Barauna V. G.Singh M. N.Barbosa L. L.Marcarini W. D.Vassallo P. F.Mill J. G.Ribeiro-Rodrigues R.Campos L. C. G.Warnke P. H.Martin F. L.",NA,"","10.1021/acs.analchem.0c04608","Ultrarapid On-Site Detection of SARS-CoV-2 Infection Using Simple ATR-FTIR Spectroscopy and an Analysis Algorithm: High Sensitivity and Specificity",NA,"original_ft_exclude, nk_ft_exclude","original,nk",NA,NA,NA,NA,"sr2_original_2,sr2_nk_192"
"sr2_original_3","Beck E. T.Paar W.Fojut L.Serwe J.Jahnke
R. R.",NA,"","10.1128/jcm.02727-20","Comparison of the Quidel Sofia SARS FIA Test to the Hologic Aptima SARS-CoV-2
TMA Test for Diagnosis of COVID-19 in Symptomatic Outpatients",NA,"original_ft_exclude, nk_ft_exclude","original,nk",NA,NA,NA,NA,"sr2_original_3,sr2_nk_27"
"sr2_original_4","Bekta? A.Covington M. F.Aidelberg G.Arce A.Matute T.N��ez I.Walsh J.Boutboul D.Delaugerre C.Lindner A. B.Federici F.Jayaprakash A. D.",NA,"","10.3390/v13050742","Accessible LAMP-Enabled Rapid Test (ALERT) for Detecting SARS-CoV-2",NA,"original_ft_exclude, nk_ft_exclude","original,nk",NA,NA,NA,NA,"sr2_original_4,sr2_nk_293"
"sr2_original_6","Cazares L. H.Chaerkady R.Samuel Weng
S. H.Boo C. C.Cimbro R.Hsu H. E.Rajan S.Dall'Acqua W.Clarke L.Ren K.McTamney P.Kallewaard-LeLay N.Ghaedi M.Ikeda Y.Hess S.",NA,"","10.1021/acs.analchem.0c02288","Development of a Parallel Reaction Monitoring Mass Spectrometry Assay for the Detection of SARS-CoV-2 Spike Glycoprotein and Nucleoprotein",NA,"original_ft_exclude, nk_ft_exclude","original,nk",NA,NA,NA,NA,"sr2_original_6,sr2_nk_57"
"sr2_original_7","Dust K.Hedley A.Nichol K.Stein D.Adam H.Karlowsky J. A.Bullard J.Van Caeseele P.Alexander D. C.",NA,"","10.1016/j.jviromet.2020.113970","Comparison of commercial assays and laboratory developed tests for detection of SARS-CoV-2",NA,"original_ft_exclude, nk_tiab_exclude","original,nk",NA,NA,NA,NA,"sr2_original_7,sr2_nk_59"
"sr2_original_9","Grant B. D.Anderson C. E.Williford J.
R.Alonzo L. F.Glukhova V. A.Boyle D.
S.Weigl B. H.Nichols K. P.",NA,"","10.1021/acs.analchem.0c01975","SARS-CoV-2 Coronavirus Nucleocapsid Antigen-Detecting Half-Strip Lateral Flow Assay Toward the Development of Point of Care Tests Using Commercially Available Reagents",NA,"original_ft_exclude, nk_ft_exclude","original,nk",NA,NA,NA,NA,"sr2_original_9,sr2_nk_84"
"sr2_original_10","Huang L.Ding L.Zhou J.Chen S.Chen F.Zhao C.Xu J.Hu W.Ji J.Xu H.Liu G. L.",NA,"","10.1016/j.bios.2020.112685","One-step rapid quantification of SARS-CoV-2 virus particles via low-cost nanoplasmonic sensors in generic microplate reader and point-of-care device",NA,"original_ft_exclude, nk_tiab_exclude","original,nk",NA,NA,NA,NA,"sr2_original_10,sr2_nk_45"
"sr2_original_11","Kepczynski Casey M.Genigeski Jaelin A.de Regnier Daniel P.Jadhav Emmanuel D.Sohn Minji Klepser Michael E.",NA,"","10.1016/j.rcsop.2021.100047","Performance of the BD Veritor system SARS-CoV-2 antigen test among asymptomatic collegiate athletes: A diagnostic accuracy study",NA,"original_ft_exclude, nk_ft_exclude","original,nk",NA,NA,NA,NA,"sr2_original_11,sr2_nk_965"
"sr2_original_12","Kim H. Y.Lee J. H.Kim M. J.Park S. C.Choi M.Lee W.Ku K. B.Kim B. T.Changkyun Park E.Kim H. G.Kim S. I.",NA,"","10.1016/j.bios.2020.112868","Development of a SARS-CoV-2-specific biosensor for antigen detection using scFv- Fc fusion proteins",NA,"original_ft_exclude, nk_ft_exclude","original,nk",NA,NA,NA,NA,"sr2_original_12,sr2_nk_908"
