"duplicate_id","author","year","journal","doi","title","label","source","pages","volume","number","abstract","isbn","record_ids"
"sr2_original_21","Pollock N. R.Savage T. J.Wardell H.Lee R. A.Mathew A.Stengelin M.Sigal G. B.",NA,"","10.1128/JCM.03077-20","Correlation of SARS-CoV-2 Nucleocapsid Antigen and RNA Concentrations in Nasopharyngeal Samples from Children and Adults Using an Ultrasensitive and Quantitative Antigen Assay","original_ft_exclude, elicit_include","original,elicit",NA,NA,NA,NA,NA,"sr2_original_21,sr2_elicit_120"
"sr2_original_52","A. Sisay; S. Hartnack; A. Tiruneh; Y. Desalegn; A. Tesfaye; A. F. Desta",NA,"","10.1101/2022.04.25.22274285","Evaluating diagnostic accuracies of Panbio� COVID-19 rapid antigen test and RT- PCR for the detection of SARS-CoV-2 in Addis Ababa, Ethiopia using Bayesian Latent-Class Models (BLCM)","original_ft_exclude, elicit_include","original,elicit",NA,NA,NA,NA,NA,"sr2_original_52,sr2_elicit_382"
"sr2_original_94","J. Heskin; S. J. C. Pallett; A. Al-Hindawi; G.
W. Davies; M. Rayment; N. Mughal; P. Randell; R. Jones; L. S. P. Moore",NA,"","10.1038/s41598-022-12805-1","Evaluating the performance characteristics of five lateral flow assays for the detection of the SARS-CoV-2 nucleocapsid antigen","original_ft_exclude, elicit_include","original,elicit",NA,NA,NA,NA,NA,"sr2_original_94,sr2_elicit_368"
"sr2_original_97","Albert E.Torres I.Bueno F.Huntley D.Molla E.Fern�ndez-Fuentes M�Mart�nez M.Poujois S.Forqu� L.Valdivia A.Solano de la Asunci�n C.Ferrer J.Colomina J.Navarro D.",NA,"","10.1016/j.cmi.2020.11.004","Field evaluation of a rapid antigen test (Panbio� COVID-19 Ag Rapid Test Device) for COVID-19 diagnosis in primary healthcare centres","original_ft_exclude, elicit_include","original,elicit",NA,NA,NA,NA,NA,"sr2_original_97,sr2_elicit_42"
"sr2_original_99","Berger A.Nsoga M. T. N.Perez-Rodriguez
F. J.Aad Y. A.Sattonnet-Roche P.Gayet- Ageron A.Jaksic C.Torriani G.Boehm E.Kronig I.Sacks J. A.de Vos M.Bausch F. J.Chappuis F.Renzoni A.Kaiser L.Schibler
M.Eckerle I.",NA,"","10.1371/journal.pone.0248921","Diagnostic accuracy of two commercial SARS-CoV-2 antigen-detecting rapid tests at the point of care in community-based testing centers","original_ft_exclude, elicit_include","original,elicit",NA,NA,NA,NA,NA,"sr2_original_99,sr2_elicit_9"
"sr2_original_100","Bianco G.Boattini M.Barbui A. M.Scozzari G.Riccardini F.Coggiola M.Lupia E.Cavallo R.Costa C.",NA,"","10.1016/j.jcv.2021.104838","Evaluation of an antigen-based test for hospital point-of-care diagnosis of SARS-CoV- 2 infection","original_ft_exclude, elicit_include","original,elicit",NA,NA,NA,NA,NA,"sr2_original_100,sr2_elicit_143"
"sr2_original_103","Ciotti M.Maurici M.Pieri M.Andreoni M.Bernardini S.",NA,"","10.1002/jmv.26830","Performance of a rapid antigen test in the diagnosis of SARS-CoV-2 infection","original_ft_exclude, elicit_include","original,elicit",NA,NA,NA,NA,NA,"sr2_original_103,sr2_elicit_54"
"sr2_original_105","Drain PK Ampajwala M",NA,"","10.7326/ACPJ202107200-082","In adults and children, a rapid POC antigen test for COVID-19 (LumiraDx) had ?97% sensitivity and specificity vs. RT-PCR","original_ft_exclude, elicit_include","original,elicit",NA,NA,NA,NA,NA,"sr2_original_105,sr2_elicit_135"
"sr2_original_106","Drain P. K.Ampajwala M.Chappel C.Gvozden A. B.Hoppers M.Wang M.Rosen R.Young S.Zissman E.Montano M.",NA,"","10.1007/s40121-021-00413-x","A Rapid, High-Sensitivity SARS-CoV-2 Nucleocapsid Immunoassay to Aid Diagnosis of Acute COVID-19 at the Point of Care: A Clinical Performance Study","original_ft_exclude, elicit_include","original,elicit",NA,NA,NA,NA,NA,"sr2_original_106,sr2_elicit_41"
"sr2_original_107","Favresse J.Gillot C.Oliveira M.Cadrobbi J.Elsen M.Eucher C.Laffineur K.Rosseels C.Van Eeckhoudt S.Nicolas J. B.Morimont
L.Dogn� J. M.Douxfils J.",NA,"","10.3390/jcm10020265","Head-to-head comparison of rapid and automated antigen detection tests for the diagnosis of SARS-CoV-2 infection","original_ft_exclude, elicit_include","original,elicit",NA,NA,NA,NA,NA,"sr2_original_107,sr2_elicit_98"
