"Title","Authors","DOI","DOI.link","Venue","Citation.count","Year","Population.Age","Reasoning.for..Population.Age.","Study.Design","Reasoning.for..Study.Design.","Data.Reporting","Reasoning.for..Data.Reporting.","Outcome.Measures","Reasoning.for..Outcome.Measures.","Study.Setting","Reasoning.for..Study.Setting.","Test.Methodology","Reasoning.for..Test.Methodology.","Test.Type.and.Reference.Standard","Reasoning.for..Test.Type.and.Reference.Standard.","Screening.judgement","Reasoning.for..Screening.judgement.","Screening.score","record_id","label"
"Performance of the LumiraDx Microfluidic Immunofluorescence Point-of-Care SARS-CoV-2 Antigen Test in Asymptomatic Adults and Children","P. Drain, R. Sulaiman, Melanie Hoppers, N. Lindner, V. Lawson, J. Ellis","10.1093/ajcp/aqab173","https://doi.org/10.1093/ajcp/aqab173","American Journal of Clinical Pathology",15,"2021","maybe","The abstract mentions both adults and children were included, but it's unclear if adult data was reported separately.","yes","This is a primary diagnostic accuracy study comparing the rapid antigen test against RT-PCR as the reference standard.","yes","The study clearly reports rapid antigen test results (LumiraDx SARS-CoV-2 Ag Test) separately from RT-PCR results.","yes","The study reports quantifiable diagnostic accuracy data, including positive percent agreement (PPA) and negative percent agreement (NPA).","yes","The study was conducted in ""5 point-of-care (POC) settings"" and mentions clinic- and community-based settings.","yes","The study specifically evaluates a rapid antigen test (LumiraDx SARS-CoV-2 Ag Test).","yes","The study evaluates a point-of-care rapid antigen test and uses RT-PCR (cobas 6800 or TaqPath) as the reference standard.","Include","A diagnostic accuracy study evaluating a rapid antigen test for SARS-CoV-2 in point-of-care settings, using RT-PCR as the reference standard and reporting quantifiable diagnostic performance metrics. The study comprehensively assessed test performance across multiple settings, with strong methodological alignment to screening criteria, though some uncertainty exists regarding the precise age stratification of participants.",4.3,"sr2_elicit_107","elicit_include"
"Analysis of the diagnostic accuracy of rapid antigenic tests for detection of SARS-CoV-2 in hospital outbreak situation","J. Aranaz-Andres, Abelardo Claudio Fernández Chávez, Amaranta McGee Laso, Melanie Abreu, Paloma Núñez, J. Galán, Rafael Cantón Moreno","10.1007/s10096-021-04346-8","https://doi.org/10.1007/s10096-021-04346-8","European Journal of Clinical Microbiology and Infectious Diseases",8,"2021","maybe","The abstract doesn't explicitly state the age range of participants. However, since it's conducted in hospital settings with no mention of pediatric or pregnant populations, it likely includes adults, but this isn't definitively confirmed.","yes","This is a primary diagnostic accuracy study, specifically described as an ""observational, cross-sectional study"" evaluating diagnostic performance.","yes","The study clearly reports rapid antigen test results (Panbio COVID-19 AG RADT) separately from RT-PCR results, with detailed comparison of the two.","yes","The study reports clear diagnostic accuracy measures including sensitivity (83.3%), specificity (99.8%), PPV (96.2%), and NPV (99%).","yes","The study is conducted in a clinical setting (Ramón y Cajal Hospital) during hospital outbreaks.","yes","The study specifically evaluates a rapid antigen test (Panbio COVID-19 AG RADT) and not antibody tests or other diagnostics.","yes","The study uses RT-PCR (TaqPath COVID-19 test) as the reference standard and evaluates a point-of-care rapid antigen test.","Include","A comprehensive diagnostic accuracy study of rapid antigen testing for COVID-19 in a hospital setting, utilizing RT-PCR as a reference standard and reporting detailed sensitivity, specificity, and predictive values. The research meets most screening criteria, with robust methodology and clear reporting of diagnostic performance, though participant age range remains slightly uncertain. The study provides valuable insights into rapid antigen test effectiveness during hospital outbreaks.",4.6,"sr2_elicit_157","elicit_include"
"Antigen Test Performance Among Children and Adults at a SARS-CoV-2 Community Testing Site.","L. Ford, M. Whaley, M. Shah, P. Salvatore, H. Segaloff, Augustina Delaney, D. Currie, L. Boyle-Estheimer, M. O’Hegarty, Clint N. Morgan, J. Meece, L. Ivacic, N. Thornburg, A. Tamin, J. Harcourt, J. Folster, M. Medrzycki, Shilpi Jain, Phili Wong, K. Goffard, D. Gieryn, J. Kahrs, K. Langolf, T. Zochert, J. Tate, Christopher H. Hsu, H. Kirking","10.1093/jpids/piab081","https://doi.org/10.1093/jpids/piab081","Journal of the Pediatric Infectious Diseases Society",18,"2021","no","The study includes both children (≥5 years) and adults, and while it reports data separately for these groups, it does not exclusively focus on adults. The abstract specifically mentions that ""About 1 in 10 included specimens were from children.""","yes","This is a primary diagnostic accuracy study comparing antigen tests with RT-PCR as the reference standard.","yes","The study clearly reports rapid antigen test results separately, comparing BinaxNOW antigen test results with RT-PCR.","yes","The study reports clear diagnostic accuracy data, including sensitivity (73.0% for children, 80.8% for adults), specificity (100% for children), and predictive values.","yes","The study was conducted in a community testing site.","yes","The study evaluates rapid antigen tests (BinaxNOW) specifically, not antibody tests or other diagnostics.","yes","The study uses point-of-care rapid antigen tests (BinaxNOW) and RT-PCR as the reference standard.","Include","The study meets most screening criteria for diagnostic accuracy, including test methodology, reference standard, and outcome measures. However, the inclusion of children in the study population violates the requirement for non-pregnant adult participants, which significantly impacts its eligibility. Despite reporting some adult data separately, the mixed population prevents full compliance with the screening criteria.",2.7,"sr2_elicit_175","elicit_include"
"Analysis of the diagnostic accuracy of rapid antigenic tests for detection of SARS-CoV-2 in hospital outbreak situation","J. Aranaz-Andres, Abelardo Claudio Fernández Chávez, Amaranta McGee Laso, Melanie Abreu, Paloma Moreno Núñez, J. Galán, Rafael Cantón Moreno","10.1007/s10096-021-04346-8","https://doi.org/10.1007/s10096-021-04346-8","European Journal of Clinical Microbiology and Infectious Diseases",2,"2021","maybe","The abstract doesn't explicitly state the age range of participants. However, since it's conducted in hospital settings with no mention of pediatric or pregnant populations, it likely includes adults, but this isn't definitively confirmed.","yes","This is a primary diagnostic accuracy study, specifically described as an ""observational, cross-sectional study"" evaluating diagnostic performance.","yes","The study clearly reports rapid antigen test results (Panbio COVID-19 AG RADT) separately from RT-PCR results, with detailed comparison of the two.","yes","The study reports clear diagnostic accuracy measures including sensitivity (83.3%), specificity (99.8%), PPV (96.2%), and NPV (99%).","yes","The study is conducted in a clinical setting (Ramón y Cajal Hospital) during hospital outbreaks.","yes","The study specifically evaluates a rapid antigen test (Panbio COVID-19 AG RADT) and not antibody tests or other diagnostics.","yes","The study uses RT-PCR (TaqPath COVID-19 test) as the reference standard and evaluates a point-of-care rapid antigen test.","Include","A comprehensive diagnostic accuracy study of rapid antigen testing for COVID-19 in a hospital setting, utilizing RT-PCR as a reference standard and reporting detailed sensitivity, specificity, and predictive values. The research meets most screening criteria, with robust methodology and clear reporting of diagnostic performance, though participant age range remains slightly uncertain. The study provides valuable insights into rapid antigen test effectiveness during hospital outbreaks.",4.6,"sr2_elicit_212","elicit_include"
"OUP accepted manuscript","-","10.1093/ajcp/aqab173","https://doi.org/10.1093/ajcp/aqab173","American Journal of Clinical Pathology",1,"2021","maybe","The abstract mentions ""adults and children"" but does not specify if adult data is reported separately, creating some uncertainty about whether the results can be isolated for adults only.","yes","This is a primary diagnostic accuracy study comparing the rapid antigen test against RT-PCR as the reference standard, meeting the study design criterion.","yes","The study clearly reports rapid antigen test results (LumiraDx SARS-CoV-2 Ag Test) separately from RT-PCR results, meeting the data reporting criterion.","yes","The study reports quantifiable diagnostic accuracy data, including positive percent agreement (PPA) and negative percent agreement (NPA), meeting the outcome measures criterion.","yes","The study was conducted in ""5 point-of-care (POC) settings"" and mentions clinic- and community-based settings, meeting the study setting criterion.","yes","The study specifically evaluates a rapid antigen test (LumiraDx SARS-CoV-2 Ag Test), meeting the test methodology criterion.","yes","The study uses RT-PCR (cobas 6800 or TaqPath) as the reference standard for the point-of-care rapid antigen test, meeting the test type and reference standard criterion.","Include","A diagnostic accuracy study of a rapid antigen test for SARS-CoV-2 demonstrates strong methodological alignment with most screening criteria, including appropriate test methodology, reference standard, and outcome measures. The primary uncertainty lies in the mixed population of adults and children, which may complicate the isolation of adult-specific diagnostic performance data. Despite this limitation, the study provides comprehensive diagnostic accuracy reporting across multiple point-of-care settings.",4.3,"sr2_elicit_231","elicit_include"
"Diagnostic performance of antigen testing for SARS-CoV-2","Álvaro Marchán-López, B. A. Garcia","10.1016/j.jpeds.2021.02.052","https://doi.org/10.1016/j.jpeds.2021.02.052","Jornal de Pediatria",1,"2021","no","The study specifically focuses on the ""pediatric population"" and ""pediatric patients,"" which fails to meet the criterion requiring adult participants (18+ years).","yes","The study appears to be a primary diagnostic accuracy study comparing the Panbio rapid antigen test against RT-PCR, meeting this criterion.","yes","The study reports rapid antigen test results (Panbio SARS-CoV-2 antigen rapid test) separately from RT-PCR results, meeting this criterion.","yes","The abstract reports quantifiable diagnostic accuracy data, including sensitivity (45.4%), specificity (99.8%), and positive predictive value (92.5%), meeting this criterion.","yes","The study appears to be conducted in a clinical setting, mentioning ""emergency department practice"" and ""multicenter"" involvement, meeting this criterion.","yes","The study evaluates a rapid antigen test (Panbio SARS-CoV-2 antigen rapid test), not antibody tests or laboratory-based tests, meeting this criterion.","yes","The study uses RT-PCR as the reference standard for the Panbio rapid antigen test, meeting this criterion.","Exclude","A pediatric-focused diagnostic accuracy study comparing rapid antigen testing to RT-PCR fails to meet the age requirement for adult participants. Despite robust methodology and comprehensive reporting of diagnostic performance metrics, the exclusive focus on pediatric patients disqualifies the study from meeting all screening criteria. The research provides valuable insights into SARS-CoV-2 testing in children but does not align with the specified population parameters.",1.4,"sr2_elicit_349","elicit_exclude"
"Antigen-based rapid diagnostic testing or alternatives for diagnosis of symptomatic COVID-19: A simulation-based net benefit analysis","E. Kendall, N. Arinaminpathy, J. Sacks, Y. Manabe, S. Dittrich, S. Schumacher, D. Dowdy","10.1101/2020.12.16.20248357","https://doi.org/10.1101/2020.12.16.20248357","-",7,"2020","maybe","The abstract does not specify the age range of the population, only mentioning ""symptomatic COVID-19"" patients without age details, creating uncertainty.","no","This is a simulation/modeling study that compares different diagnostic approaches theoretically, rather than a primary diagnostic accuracy study or meta-analysis reporting original data.","no","The study appears to be a modeling/simulation study rather than a primary data collection study, so the results are theoretical rather than actual test results.","no","The study reports outcomes in terms of ""transmission-equivalents"" and net benefit rather than traditional diagnostic accuracy measures (sensitivity, specificity).","yes","The study considers both outpatient and hospital settings, so this criterion is met.","yes","The study does evaluate rapid antigen tests (Ag-RDTs), so this criterion is met.","no","While the study mentions both Ag-RDTs and NAAT (which includes RT-PCR), it's not evaluating them in a diagnostic accuracy comparison with RT-PCR as the reference standard. Instead, it's modeling their relative benefits in different scenarios.","Exclude","A simulation study comparing diagnostic approaches for COVID-19 fails to meet key screening criteria, particularly lacking primary diagnostic accuracy data and traditional sensitivity/specificity measures. The research models theoretical diagnostic scenarios rather than reporting empirical test results, which disqualifies it from systematic review inclusion. Uncertainty around population age and absence of RT-PCR reference standard further compromise its alignment with screening requirements.",1.4,"sr2_elicit_355","elicit_exclude"
"OUP accepted manuscript","-","10.1093/jpids/piab081","https://doi.org/10.1093/jpids/piab081","Journal of the Pediatric Infectious Diseases Society",0,"2021","yes","The study includes both children and adults, but importantly, it reports adult data separately. The abstract specifically mentions that ""sensitivity of antigen test... was 80.8% (240/297) among specimens from adults.""","yes","This is a primary diagnostic accuracy study comparing antigen tests with RT-PCR as the reference standard.","yes","The study clearly reports rapid antigen test results separately, comparing BinaxNOW antigen test results with RT-PCR.","yes","The study reports clear diagnostic accuracy data, including sensitivity (73.0% for children, 80.8% for adults), specificity (100% for children), and predictive values.","yes","The study was conducted in a community testing site, which meets the criterion for clinical or community setting.","yes","The study evaluates rapid antigen tests (BinaxNOW) specifically, not antibody tests or other diagnostics.","yes","The study uses RT-PCR as the reference standard for evaluating point-of-care rapid antigen tests.","Include","A diagnostic accuracy study comparing rapid antigen tests with RT-PCR in a community setting, reporting separate data for adults and children. The research meets all screening criteria, including test methodology, reference standard, and outcome measures, with comprehensive reporting of diagnostic performance across different population groups. While the adult sample size is smaller, the study provides quantifiable accuracy data for point-of-care SARS-CoV-2 testing.",4.3,"sr2_elicit_464","elicit_include"
"Diagnostic performance of antigen testing for severe acute respiratory syndrome coronavirus 2","Álvaro Marchán-López, B. Ayuso García","10.1016/j.jpeds.2021.02.052","https://doi.org/10.1016/j.jpeds.2021.02.052","Jornal de Pediatria",0,"2021","no","The study specifically focuses on the ""pediatric population"" and ""pediatric patients,"" which fails to meet the requirement for adult participants (18+ years).","yes","The study is a primary diagnostic accuracy study comparing the Panbio rapid antigen test against RT-PCR, meeting the requirement for study design.","yes","The study reports rapid antigen test results (Panbio SARS-CoV-2 antigen rapid test) separately from RT-PCR results, meeting the requirement for data reporting.","yes","The study reports specific diagnostic accuracy measures: ""overall sensitivity was 45.4%, and 99.8% of specificity, positive-predictive value was 92.5%,"" meeting the requirement for outcome measures.","yes","The study appears to be conducted in a clinical setting, mentioning ""emergency department practice"" and ""multicenter"" involvement, meeting the requirement for study setting.","yes","The study evaluates a rapid antigen test (Panbio SARS-CoV-2 antigen rapid test) specifically, not antibody tests or laboratory-based tests, meeting the requirement for test methodology.","yes","The study uses RT-PCR as the reference standard for the Panbio rapid antigen test, comparing results between the two, meeting the requirement for test type and reference standard.","Exclude","A pediatric-focused diagnostic accuracy study comparing rapid antigen and RT-PCR tests for SARS-CoV-2, which comprehensively reports sensitivity, specificity, and predictive values. Despite meeting most screening criteria, the study's exclusive focus on pediatric patients disqualifies it from inclusion based on the age requirement. The research provides detailed methodological insights into COVID-19 diagnostic testing in children, but does not align with the specified population parameters.",1.4,"sr2_elicit_472","elicit_exclude"
"Understanding the net benefit of antigen-based rapid diagnostic tests for COVID-19: An enhanced decision-curve analysis","E. Kendall, N. Arinaminpathy, J. Sacks, Y. Manabe, S. Dittrich, S. Schumacher, D. Dowdy","10.1101/2020.12.16.20248357","https://doi.org/10.1101/2020.12.16.20248357","medRxiv",0,"2020","maybe","The abstract does not specify the age range of participants. It only mentions ""symptomatic patients"" without age details.","no","This appears to be a simulation study rather than a primary diagnostic accuracy study or meta-analysis reporting original data. The abstract mentions ""simulated transmission"" and uses decision curve analysis, indicating this is a modeling study.","maybe","The abstract discusses Ag-RDT results but does not explicitly state whether they are reported separately from other tests. However, the study appears to compare Ag-RDT with NAAT and clinical judgment separately, suggesting separate reporting.","maybe","The study reports on diagnostic accuracy in terms of ""net benefit"" and discusses sensitivity, though specific sensitivity/specificity values are not provided in the abstract.","yes","The study explicitly considers both hospital and outpatient settings, meeting this criterion.","yes","The study clearly evaluates rapid antigen tests (Ag-RDT) for SARS-CoV-2, meeting this criterion.","maybe","While the study evaluates Ag-RDT, it uses NAAT as a comparison rather than explicitly stating it as the reference standard. However, NAAT is typically used as a reference standard.","Include","A simulation study comparing diagnostic approaches for COVID-19, the research does not meet key screening criteria as a primary diagnostic accuracy study. While exploring rapid antigen tests in hospital and outpatient settings, the abstract lacks clarity on participant age range and does not provide direct diagnostic accuracy data. The modeling approach and comparative methodology deviate from the required study design for inclusion.",2.7,"sr2_elicit_492","elicit_include"
