"author","title","doi","journal","year","pages","volume","number","abstract","record_id","isbn","label","source","doi_clean"
"Ahmad M.Sharma P.Kamai A.Agrawal A.Faruq M.Kulshreshtha A.","HRPZyme Assisted Recognition of SARS-CoV-2 infection by Optical Measurement (HARIOM)","https://doi.org/10.1016/j.bios.2021.113280","",NA,NA,NA,NA,NA,"sr2_original_1",NA,"original_ft_exclude","original","10.1016/j.bios.2021.113280"
"Barauna V. G.Singh M. N.Barbosa L. L.Marcarini W. D.Vassallo P. F.Mill J. G.Ribeiro-Rodrigues R.Campos L. C. G.Warnke P. H.Martin F. L.","Ultrarapid On-Site Detection of SARS-CoV-2 Infection Using Simple ATR-FTIR Spectroscopy and an Analysis Algorithm: High Sensitivity and Specificity","https://dx.doi.org/10.1021/acs.analchem.0c04608","",NA,NA,NA,NA,NA,"sr2_original_2",NA,"original_ft_exclude","original","10.1021/acs.analchem.0c04608"
"Beck E. T.Paar W.Fojut L.Serwe J.Jahnke
R. R.","Comparison of the Quidel Sofia SARS FIA Test to the Hologic Aptima SARS-CoV-2
TMA Test for Diagnosis of COVID-19 in Symptomatic Outpatients","https://doi.org/10.1128/JCM.02727-20.","",NA,NA,NA,NA,NA,"sr2_original_3",NA,"original_ft_exclude","original","10.1128/JCM.02727-20"
"Bekta? A.Covington M. F.Aidelberg G.Arce A.Matute T.Núñez I.Walsh J.Boutboul D.Delaugerre C.Lindner A. B.Federici F.Jayaprakash A. D.","Accessible LAMP-Enabled Rapid Test (ALERT) for Detecting SARS-CoV-2","https://doi.org/10.3390/v13050742","",NA,NA,NA,NA,NA,"sr2_original_4",NA,"original_ft_exclude","original","10.3390/v13050742"
"Bouttell J.Hawkins N.","Evaluation of Triage Tests When Existing Test Capacity Is Constrained: Application to Rapid Diagnostic Testing in COVID-19","DOI: 10.1177/0272989X211014114","",NA,NA,NA,NA,NA,"sr2_original_5",NA,"original_ft_exclude","original","10.1177/0272989X211014114"
"Cazares L. H.Chaerkady R.Samuel Weng
S. H.Boo C. C.Cimbro R.Hsu H. E.Rajan S.Dall'Acqua W.Clarke L.Ren K.McTamney P.Kallewaard-LeLay N.Ghaedi M.Ikeda Y.Hess S.","Development of a Parallel Reaction Monitoring Mass Spectrometry Assay for the Detection of SARS-CoV-2 Spike Glycoprotein and Nucleoprotein","https://dx.doi.org/10.1021/acs.analchem.0c02288","",NA,NA,NA,NA,NA,"sr2_original_6",NA,"original_ft_exclude","original","10.1021/acs.analchem.0c02288"
"Dust K.Hedley A.Nichol K.Stein D.Adam H.Karlowsky J. A.Bullard J.Van Caeseele P.Alexander D. C.","Comparison of commercial assays and laboratory developed tests for detection of SARS-CoV-2","https://doi.org/10.1016/j.jviromet.2020.113970","",NA,NA,NA,NA,NA,"sr2_original_7",NA,"original_ft_exclude","original","10.1016/j.jviromet.2020.113970"
"Girdwood S. J.Carmona S.Hannay
E.Nichols B.","Cost-effectiveness of sars-cov-2 rapid antigen testing in lowresource settings","EMBASE | ID: covidwho-1250207","",NA,NA,NA,NA,NA,"sr2_original_8",NA,"original_ft_exclude","original",NA
"Grant B. D.Anderson C. E.Williford J.
R.Alonzo L. F.Glukhova V. A.Boyle D.
S.Weigl B. H.Nichols K. P.","SARS-CoV-2 Coronavirus Nucleocapsid Antigen-Detecting Half-Strip Lateral Flow Assay Toward the Development of Point of Care Tests Using Commercially Available Reagents","https://dx.doi.org/10.1021/acs.analchem.0c01975","",NA,NA,NA,NA,NA,"sr2_original_9",NA,"original_ft_exclude","original","10.1021/acs.analchem.0c01975"
"Huang L.Ding L.Zhou J.Chen S.Chen F.Zhao C.Xu J.Hu W.Ji J.Xu H.Liu G. L.","One-step rapid quantification of SARS-CoV-2 virus particles via low-cost nanoplasmonic sensors in generic microplate reader and point-of-care device","https://doi.org/10.1016/j.bios.2020.112685","",NA,NA,NA,NA,NA,"sr2_original_10",NA,"original_ft_exclude","original","10.1016/j.bios.2020.112685"
