"author","title","doi","journal","year","pages","volume","number","abstract","record_id","isbn","label","source","doi_clean"
"Nordgren J.Sharma S.Olsson H.Jämtberg M.Falkeborn T.Svensson L.Hagbom M.","SARS-CoV-2 rapid antigen test: High sensitivity to detect infectious virus","https://doi.org/10.1016/j.jcv.2021.104846","",NA,NA,NA,NA,NA,"sr2_original_342",NA,"original_ca_exclude","original","10.1016/j.jcv.2021.104846"
"Oh S. M.Jeong H.Chang E.Choe P. G.Kang C. K.Park W. B.Kim T. S.Kwon
W. Y.Oh M. D.Kim N. J.","Clinical Application of the Standard Q COVID-19 Ag Test for the Detection of SARS- CoV-2 Infection","https://doi.org/10.1016/j.jcv.2021.104846","",NA,NA,NA,NA,NA,"sr2_original_343",NA,"original_ca_exclude","original","10.1016/j.jcv.2021.104846"
"Van Honacker E.Van Vaerenbergh K.Boel A.De Beenhouwer H.Leroux- Roels I.Cattoir L.","Comparison of five SARS-CoV-2 rapid antigen detection tests in a hospital setting and performance of one antigen assay in routine practice: a useful tool to guide isolation precautions?","https://doi.org/10.1016/j.jhin.2021.03.021","",NA,NA,NA,NA,NA,"sr2_original_361",NA,"original_ca_exclude","original","10.1016/j.jhin.2021.03.021"
"E. Van Honacker; K. Van Vaerenbergh; A. Boel; H. De Beenhouwer; I. Leroux-Roels; L. Cattoir","Comparison of five SARS-CoV-2 rapid antigen detection tests in a hospital setting and performance of one antigen assay in routine practice: a useful tool to guide isolation precautions?","10.1016/j.jhin.2021.03.021","J Hosp Infect",NA,NA,NA,NA,NA,"sr2_original_576",NA,"original_data_include","original","10.1016/j.jhin.2021.03.021"
"James Allison E.Gulley TrentKothari AtulHolder KaseyGarner KelleyPatil Naveen","Performance of the BinaxNOW coronavirus disease 2019 (COVID-19) Antigen Card test relative to the severe acute respiratory coronavirus virus 2 (SARS-CoV-2) real- time reverse transcriptase polymerase chain reaction (rRT-PCR) assay among symptomatic and asymptomatic healthcare employees","doi:10.1017/ice.2021.20","",NA,NA,NA,NA,NA,"sr2_original_114",NA,"original_ft_exclude","original","10.1017/ice.2021.20"
"A. E. James; T. Gulley; A. Kothari; K. Holder; K. Garner; N. Patil","Performance of the BinaxNOW coronavirus disease 2019 (COVID-19) Antigen Card test relative to the severe acute respiratory coronavirus virus 2 (SARS-CoV-2) real- time reverse transcriptase polymerase chain reaction (rRT-PCR) assay among symptomatic and asymptomatic healthcare employees","doi:10.1017/ice.2021.20","",NA,NA,NA,NA,NA,"sr2_original_192",NA,"original_ft_exclude","original","10.1017/ice.2021.20"
"Möckel M.Corman V. M.Stegemann M. S.Hofmann J.Stein A.Jones T.  C.Gastmeier P.Seybold J.Offermann R.Bachmann U.Lindner T.Bauer W.Drosten
C.Rosen A.Somasundaram R.","SARS-CoV-2 antigen rapid immunoassay for diagnosis of COVID-19 in the emergency department","https://doi.org/10.1080/1354750X.2021.1876769","",NA,NA,NA,NA,NA,"sr2_original_111",NA,"original_ft_exclude","original","10.1080/1354750X.2021.1876769"
"Möckel M.Corman V. M.Stegemann M. S.Hofmann J.Stein A.Jones T.  C.Gastmeier P.Seybold J.Offermann R.Bachmann U.Lindner T.Bauer W.Drosten C.Rosen A.Somasundaram R.","SARS-CoV-2 antigen rapid immunoassay for diagnosis of COVID-19 in the emergency department","https://doi.org/10.1080/1354750X.2021.1876769","",NA,NA,NA,NA,NA,"sr2_original_197",NA,"original_ft_exclude","original","10.1080/1354750X.2021.1876769"
"Pilarowski GenayMarquez CarinaRubio LuisPeng JamesMartinez JackieBlack DouglasChamie GabrielJones DianeJacobo JonTulier-Laiwa ValerieRojas SusanaRojas SusyCox ChesaPetersen MayaDeRisi JoeHavlir Diane V.","Field performance and public health response using the BinaxNOW TM Rapid SARS- CoV-2 antigen detection assay during community-based testing","DOI 10.1093/cid/ciaa1890","",NA,NA,NA,NA,NA,"sr2_original_123",NA,"original_ft_exclude","original","10.1093/cid/ciaa1890"
"G. Pilarowski; C. Marquez; L. Rubio; J. Peng; J. Martinez; D. Black; G. Chamie; D. Jones; J. Jacobo; V. Tulier-Laiwa; S. Rojas; S. Rojas; C. Cox; R. Nakamura; M. Petersen; J. DeRisi; D. V. Havlir","Field Performance and Public Health Response Using the BinaxNOWTM Rapid Severe Acute Respiratory Syndrome Coronavirus 2 (SARS-CoV-2) Antigen Detection Assay During Community-Based Testing","DOI: 10.1093/cid/ciaa1890","",NA,NA,NA,NA,NA,"sr2_original_164",NA,"original_ft_exclude","original","10.1093/cid/ciaa1890"
