"duplicate_id","author","year","journal","doi","title","label","source","pages","volume","number","abstract","isbn"
"sr3_elicit_149","A. Krist, Kristen O’Loughlin, S. Woolf, Roy T. Sabo, J. Hinesley, A. Kuzel, B. Rybarczyk, Paulette Kashiri, E. M. Brooks, R. Glasgow, Amy G. Huebschmann, Winston R. Liaw","2020","Trials","10.1186/s13063-020-04463-3","Enhanced care planning and clinical-community linkages versus usual care to address basic needs of patients with multiple chronic conditions: a clinician-level randomized controlled trial","elicit_ft_include, Excluded","elicit, syrf",NA,NA,NA,"Background\nMany patients with poorly controlled multiple chronic conditions (MCC) also have unhealthy behaviors, mental health challenges, and unmet social needs. Medical management of MCC may have limited benefit if patients are struggling to address their basic life needs. Health systems and communities increasingly recognize the need to address these issues and are experimenting with and investing in new models for connecting patients with needed services. Yet primary care clinicians, whose regular contact with patients makes them more familiar with patients’ needs, are often not included in these systems.\nMethods\nWe are starting a clinician-level cluster-randomized controlled trial to evaluate how primary care clinicians can participate in these community and hospital solutions and whether doing so is effective in controlling MCC. Sixty clinicians in the Virginia Ambulatory Care Outcomes Research Network will be matched by age and sex and randomized to usual care (control condition) or enhanced care planning with clinical-community linkage support (intervention). From the electronic health record we will identify all patients with MCC, including cardiovascular disease or risks, diabetes, obesity, or depression. A baseline assessment will be mailed to up to 50 randomly selected patients for each clinician (3000 total). Ten respondents per clinician (600 patients total) with uncontrolled MCC will be randomly selected for study inclusion, with oversampling of minorities. The intervention includes two components. First, we will use an enhanced care planning tool, My Own Health Report (MOHR), to screen patients for health behavior, mental health, and social needs. Patients will be supported by a patient navigator, who will help patients prioritize needs, create care plans, and write a personal narrative to guide the care team. Patients will update care plans every 1 to 2 weeks. Second, we will create community-clinical linkage to help address patients’ needs. The linkage will include community resource registries, personnel to span settings (patient navigators and a community health worker), and care team coordination across team members through MOHR.\nDiscussion\nThis study will help inform efforts by primary care clinicians to help address unhealthy behaviors, mental health needs, and social risks as a strategy to better control MCC.",NA
"sr3_elicit_171","I. Kinchin, S. Jacups, J. Mann, R. Quigley, Desley Harvey, C. Doran, E. Strivens","2018","Trials","10.1186/s13063-018-3038-0","Efficacy and cost-effectiveness of a community-based model of care for older patients with complex needs: a study protocol for a multicentre randomised controlled trial using a stepped wedge cluster design","elicit_ft_include, Excluded","elicit, syrf",NA,NA,NA,"Background\nCommunity-dwelling older persons with complex care needs may deteriorate rapidly and require hospitalisation if they receive inadequate support for their conditions in the community.\nIntervention\nA comprehensive, multidimensional geriatric assessment with care coordination was performed in a community setting—Older Persons ENablement And Rehabilitation for Complex Health conditions (OPEN ARCH).\nObjectives\nThis study will assess the acceptability and determine the impact of the OPEN ARCH intervention on the health and quality of life outcomes, health and social services utilisation of older people with multiple chronic conditions and emerging complex care needs. An economic evaluation will determine whether OPEN ARCH is cost-effective when compared to the standard care.\nMethods/design\nThis multicentre randomised controlled trial uses a stepped wedge cluster design with repeated cross-sectional samples. General practitioners (GPs; n ≥ 10) will be randomised as ‘clusters’ at baseline using simple randomisation. Each GP cluster will recruit 10–12 participants. Data will be collected on each participant at 3-month intervals (− 3, 0, 3, 6 and 9 months). The primary outcome is health and social service utilisation as measured by Emergency Department presentations, hospital admissions, in-patient bed days, allied health and community support services. Secondary outcomes include functional status, quality of life and participants’ satisfaction. Cost-effectiveness of the intervention will be assessed as the change to cost outcomes, including the cost of implementing the intervention and subsequent use of services, and the change to health benefits represented by quality adjusted life years.\nDiscussion\nThe results will have direct implications for the design and wider implementation of this new model of care for community-dwelling older persons with complex care needs. Additionally, it will contribute to the evidence base on acceptability, efficacy and cost-effectiveness of the intervention for this high-risk group of older people.",NA
"sr3_elicit_172","Andrew P. Costa, C. Schumacher, A. Jones, Darly Dash, Graham Campbell, Mats Junek, G. Agarwal, C. Bell, V. Boscart, S. Bronskill, D. Feeny, P. Hebert, G. Heckman, J. Hirdes, Linda Lee, R. McKelvie, Lori A. Mitchell, S. Sinha, Joy Davis, Tammy Priddle, Joanne Rose, R. Gillan, Deborah Mills, D. Haughton","2019","BMJ Open","10.1136/bmjopen-2019-030301","DIVERT-Collaboration Action Research and Evaluation (CARE) Trial Protocol: a multiprovincial pragmatic cluster randomised trial of cardiorespiratory management in home care","elicit_ft_include, Excluded","elicit, syrf",NA,NA,NA,"Introduction Home care clients are increasingly medically complex, have limited access to effective chronic disease management and have very high emergency department (ED) visitation rates. There is a need for more appropriate and targeted supportive chronic disease management for home care clients. We aim to evaluate the effectiveness and preliminary cost effectiveness of a targeted, person-centred cardiorespiratory management model.\n\nMethods and analysis The Detection of Indicators and Vulnerabilities of Emergency Room Trips (DIVERT) — Collaboration Action Research and Evaluation (CARE) trial is a pragmatic, cluster-randomised, multicentre superiority trial of a flexible multicomponent cardiorespiratory management model based on the best practice guidelines. The trial will be conducted in partnership with three regional, public-sector, home care providers across Canada. The primary outcome of the trial is the difference in time to first unplanned ED visit (hazard rate) within 6 months. Additional secondary outcomes are to identify changes in patient activation, changes in cardiorespiratory symptom frequencies and cost effectiveness over 6 months. We will also investigate the difference in the number of unplanned ED visits, number of inpatient hospitalisations and changes in health-related quality of life. Multilevel proportional hazard and generalised linear models will be used to test the primary and secondary hypotheses. Sample size simulations indicate that enrolling 1100 home care clients across 36 clusters (home care caseloads) will yield a power of 81% given an HR of 0.75.\n\nEthics and dissemination Ethics approval was obtained from the Hamilton Integrated Research Ethics Board as well as each participating site’s ethics board. Results will be submitted for publication in peer-reviewed journals and for presentation at relevant conferences. Home care service partners will also be informed of the study’s results. The results will be used to inform future support strategies for older adults receiving home care services.",NA
"sr3_elicit_174","K. Lee, L. Low, J. Allen, S. Barbier, Lee Beng Ng, M. Ng, W. Tay, S. Tan","2015","International Journal of Integrated Care","10.5334/IJIC.2003","Transitional care for the highest risk patients: findings of a randomised control study","elicit_ft_include, Included","elicit, syrf",NA,NA,NA,"Background: Interventions to prevent readmissions of patients at highest risk have not been rigorously evaluated. We conducted a randomised controlled trial to determine if a post-discharge transitional care programme can reduce readmissions of such patients in Singapore.\n\n\nMethods: We randomised 840 patients with two or more unscheduled readmissions in the prior 90 days and Length of stay, Acuity of admission, Comorbidity of patient, Emergency department utilisation score ≥10 to the intervention programme (n = 419) or control (n = 421). Patients allocated to the intervention group received post-discharge surveillance by a multidisciplinary integrated care team and early review in the clinic. The primary outcome was the proportion of patients with at least one unscheduled readmission within 30 days after discharge.\n\n\nResults: We found no statistically significant reduction in readmissions or emergency department visits in patients on the intervention group compared to usual care. However, patients in the intervention group reported greater patient satisfaction (p < 0.001).\n\n\nConclusion: Any beneficial effect of interventions initiated after discharge is small for high-risk patients with multiple comorbidity and complex care needs. Future transitional care interventions should focus on providing the entire cycle of care for such patients starting from time of admission to final transition to the primary care setting.\n",NA
"sr3_elicit_175","M. Markle-Reid, Kathryn Fisher, Kimberly M. Walker, Marla K. Beauchamp, Jill I. Cameron, David Dayler, Rebecca Fleck, Amiram Gafni, R. Ganann, Ken Hajas, Barbara Koetsier, Robert Mahony, Chris Pollard, Jim Prescott, T. Rooke, C. Whitmore","2023","BMC Geriatrics","10.1186/s12877-023-04403-1","The stroke transitional care intervention for older adults with stroke and multimorbidity: a multisite pragmatic randomized controlled trial","elicit_ft_include, Excluded","elicit, syrf",NA,NA,NA,"Background\nThis study aimed to test, in real-world clinical practice, the effectiveness of a Transitional Care Stroke Intervention (TCSI) compared to usual care on health outcomes, self-management, patient experience, and health and social service use costs in older adults (≥ 55 years) with stroke and multimorbidity (≥ 2 chronic conditions).\nMethods\nThis pragmatic randomized controlled trial (RCT) included older adults discharged from hospital to community with stroke and multimorbidity using outpatient stroke rehabilitation services in two communities in Ontario, Canada. Participants were randomized 1:1 to usual care (control group) or usual care plus the 6-month TCSI (intervention group). The TCSI was delivered virtually by an interprofessional (IP) team, and included care coordination/system navigation support, phone/video visits, monthly IP team conferences, and an online resource to support system navigation. The primary outcome was risk of hospital readmission (all cause) after six-months. Secondary outcomes included physical and mental functioning, stroke self-management, patient experience, and health and social service use costs. The intention-to-treat principle was used to conduct the primary and secondary analyses.\nResults\nNinety participants were enrolled (44 intervention, 46 control); 11 (12%) participants were lost to follow-up, leaving 79 (39 intervention, 40 control). No significant between-group differences were seen for baseline to six-month risk of hospital readmission. Differences favouring the intervention group were seen in the following secondary outcomes: physical functioning (SF-12 PCS mean difference: 5.10; 95% CI: 1.58–8.62, p = 0.005), stroke self-management (Southampton Stroke Self-Management Questionnaire mean difference: 6.00; 95% CI: 0.51—11.50, p = 0.03), and patient experience (Person-Centred Coordinated Care Experiences Questionnaire mean difference: 2.64, 95% CI: 0.81, 4.47, p = 0.005). No between-group differences were found in total healthcare costs or other secondary outcomes.\nConclusions\nAlthough participation in the TCSI did not impact hospital readmissions, there were improvements in physical functioning, stroke self-management and patient experience in older adults with stroke and multimorbidity without increasing total healthcare costs. Challenges associated with the COVID-19 pandemic, including the shift from in-person to virtual delivery, and re-deployment of interventionists could have influenced the results. A larger pragmatic RCT is needed to determine intervention effectiveness in diverse geographic settings and ethno-cultural populations and examine intervention scalability.",NA
"sr3_elicit_177","A. Nikelski, Armin Keller, Fanny Schumacher-Schönert, Terese Dehl, Jessica Laufer, U. Sauerbrey, Diana Wucherer, A. Dreier-Wolfgramm, B. Michalowsky, Ina Zwingmann, H. Vollmar, W. Hoffmann, S. Kreisel, J. Thyrian","2019","Trials","10.1186/s13063-019-3636-5","Supporting elderly people with cognitive impairment during and after hospital stays with intersectoral care management: study protocol for a randomized controlled trial","elicit_ft_include, Excluded","elicit, syrf",NA,NA,NA,"The sectorization of health-care systems leads to inefficient treatment, especially for elderly people with cognitive impairment. The transition from hospital care to primary care is insufficiently coordinated, and communication between health-care providers is often lacking. Consequences include a further deterioration of health, higher rates of hospital readmissions, and institutionalization. Models of collaborative care have shown their efficacy in primary care by improving patient-related outcomes. The main goal of this trial is to compare the effectiveness of a collaborative care model with usual care for people with cognitive impairment who have been admitted to a hospital for treatment due to a somatic illness. The aim of the intervention is to improve the continuity of treatment and care across the transition between the in-hospital and adjoining primary care sectors.\nMethods/design\nThe trial is a longitudinal multisite randomized controlled trial with two arms (care as usual and intersectoral care management). Inclusion criteria at the time of hospital admission due to a somatic illness are age 70+ years, cognitive impairment (Mini Mental State Examination, MMSE ≤26), living at home, and written informed consent. Each participant will have a baseline assessment at the hospital and two follow-up assessments at home (3 and 12 months after discharge). The estimated sample size is n = 398 people with cognitive inmpairement plus their respective informal caregivers (where available).\nIn the intersectoral care management group, specialized care managers will develop, implement, and monitor individualized treatment and care based on comprehensive assessments of the unmet needs of the patients and their informal caregivers. These assessments will occur at the hospital and in participants’ homes. Primary outcomes are (1) activities of daily living, (2) readmission to the hospital, and (3) institutionalization. Secondary outcomes include (a) frailty, (b) delirium, (c) quality of life, (d) cognitive status, (e) behavioral and psychological symptoms of dementia, (f) utilization of services, and (g) informal caregiver burden.\nDiscussion\nIn the event of proving efficacy, this trial will deliver a proof of concept for implementation into routine care. The cost-effectiveness analyses as well as an independent process evaluation will increase the likelihood of meeting this goal. The trial will enable an in-depth analysis of mediating and moderating effects for different health outcomes at the interface between hospital care and primary care. By highlighting treatment and care, the study will provide insights into unmet needs at the time of hospital admission, and the opportunities and barriers to meeting those needs during the hospital stay and after discharge.",NA
"sr3_elicit_18","Christopher R. Freeman, I. Scott, K. Hemming, L. Connelly, C. Kirkpatrick, I. Coombes, J. Whitty, James T Martin, N. Cottrell, N. Sturman, G. Russell, I. Williams, C. Nicholson, S. Kirsa, H. Foot","2021","Medical Journal of Australia","10.5694/mja2.50942","Reducing Medical Admissions and Presentations Into Hospital through Optimising Medicines (REMAIN HOME): a stepped wedge, cluster randomised controlled trial","elicit_ft_include, Included","elicit, syrf",NA,NA,NA,"Objective\n\nTo investigate whether integrating pharmacists into general practices reduces the number of unplanned re-admissions of patients recently discharged from hospital.\n\nDesign, setting\n\nStepped wedge, cluster randomised trial in 14 general practices in southeast Queensland.\n\nParticipants\n\nAdults discharged from one of seven study hospitals during the seven days preceding recruitment (22 May 2017 ‒ 14 March 2018) and prescribed five or more long term medicines, or having a primary discharge diagnosis of congestive heart failure or exacerbation of chronic obstructive pulmonary disease.\n\nIntervention\n\nComprehensive face-to-face medicine management consultation with an integrated practice pharmacist within seven days of discharge, followed by a consultation with their general practitioner and further pharmacist consultations as needed.\n\nMajor outcomes\n\nRates of unplanned, all-cause hospital re-admissions and emergency department (ED) presentations 12 months after hospital discharge; incremental net difference in overall costs.\n\nResults\n\nBy 12 months, there had been 282 re-admissions among 177 control patients (incidence rate [IR], 1.65 per person-year) and 136 among 129 intervention patients (IR, 1.09 per person-year; fully adjusted IR ratio [IRR], 0.79; 95% CI, 0.52‒1.18). ED presentation incidence (fully adjusted IRR, 0.46; 95% CI, 0.22‒0.94) and combined re-admission and ED presentation incidence (fully adjusted IRR, 0.69; 95% CI, 0.48‒0.99) were significantly lower for intervention patients. The estimated incremental net cost benefit of the intervention was $5072 per patient, with a benefit‒cost ratio of 31:1.\n\nConclusion\n\nA collaborative pharmacist‒GP model of post-hospital discharge medicines management can reduce the incidence of hospital re-admissions and ED presentations, achieving substantial cost savings to the health system.",NA
"sr3_elicit_181","T. Freund, F. Peters-Klimm, J. Rochon, C. Mahler, J. Gensichen, A. Erler, M. Beyer, Annika Baldauf, F. Gerlach, J. Szecsenyi","2011","Trials","10.1186/1745-6215-12-163","Primary care practice-based care management for chronically ill patients (PraCMan): study protocol for a cluster randomized controlled trial [ISRCTN56104508]","elicit_ft_include, Excluded","elicit, syrf",NA,NA,NA,"Background\nCare management programmes are an effective approach to care for high risk patients with complex care needs resulting from multiple co-occurring medical and non-medical conditions. These patients are likely to be hospitalized for a potentially ""avoidable"" cause. Nurse-led care management programmes for high risk elderly patients showed promising results. Care management programmes based on health care assistants (HCAs) targeting adult patients with a high risk of hospitalisation may be an innovative approach to deliver cost-efficient intensified care to patients most in need.\nMethods/Design\nPraCMan is a cluster randomized controlled trial with primary care practices as unit of randomisation. The study evaluates a complex primary care practice-based care management of patients at high risk for future hospitalizations. Eligible patients either suffer from type 2 diabetes mellitus, chronic obstructive pulmonary disease, chronic heart failure or any combination. Patients with a high likelihood of hospitalization within the following 12 months (based on insurance data) will be included in the trial.\nDuring 12 months of intervention patients of the care management group receive comprehensive assessment of medical and non-medical needs and resources as well as regular structured monitoring of symptoms. Assessment and monitoring will be performed by trained HCAs from the participating practices. Additionally, patients will receive written information, symptom diaries, action plans and a medication plan to improve self-management capabilities. This intervention is addition to usual care.\nPatients from the control group receive usual care.\nPrimary outcome is the number of all-cause hospitalizations at 12 months follow-up, assessed by insurance claims data. Secondary outcomes are health-related quality of life (SF12, EQ5D), quality of chronic illness care (PACIC), health care utilisation and costs, medication adherence (MARS), depression status and severity (PHQ-9), self-management capabilities and clinical parameters. Data collection will be performed at baseline, 12 and 24 months (12 months post-intervention).\nDiscussion\nPractice-based care management for high risk individuals involving trained HCAs appears to be a promising approach to face the needs of an aging population with increasing care demands.\nTrial registration",NA
"sr3_elicit_20","M. Burns, A. Galbraith, D. Ross-Degnan, Richard B. Balaban","2014","International Journal for Quality in Health Care","10.1093/intqhc/mzu046","Feasibility and evaluation of a pilot community health worker intervention to reduce hospital readmissions.","elicit_ft_include, Excluded","elicit, syrf",NA,NA,NA,"Abstract\nObjective\nTo pilot-test the feasibility and preliminary effect of a community health worker (CHW) intervention to reduce hospital readmissions.\nDesign\nPatient-level randomized quality improvement intervention.\nSetting\nAn academic medical center serving a predominantly low-income population in the Boston, Massachusetts area and 10 affiliated primary care practices.\nParticipants\nMedical service patients with an in-network primary care physician who were discharged to home (n = 423) and had one of five risk factors for readmission within 30 days.\nIntervention\nInpatient introductory visit and weekly post-discharge telephonic support for 4 weeks to assist patient in coordinating medical visits, obtaining and using medications, and in self-management.\nMain Outcome Measures\nNumber of completed CHW contacts; CHW-reported barriers and facilitators to assisting patients; primary care, emergency department and inpatient care use.\nResults\nRoughly 70% of patients received at least one post-discharge CHW call; only 38% of patients received at least four calls as intended. Hospital readmission rates were lower among CHW patients (15.4%) compared with usual care (17.9%); the difference was not statistically significant.\nConclusion\nUnder performance-based payment systems, identifying cost-effective solutions for reducing hospital readmissions will be crucial to the economic survival of all hospitals, especially safety-net systems. This pilot study suggests that with appropriate supportive infrastructure, hospital-based CHWs may represent a feasible strategy for improving transitional care among vulnerable populations. An ongoing, randomized, controlled trial of a CHW intervention, developed according to the lessons of this pilot, will provide further insight into the utility of this approach to reducing readmissions.",NA
"sr3_elicit_201","Richard B. Balaban, Alison Galbraith, Marguerite Burns, Catherine E. Vialle-Valentin, Elisa Friedman, Dennis Ross-degnan","2013","Clinical Medicine Research","10.3121/cmr.2013.1176.c2-1","C2-1: A Randomized Controlled Trial of a Patient Navigator Intervention to Reduce Hospital Readmissions in a Safety Net Health Care System","elicit_ft_include, Included","elicit, syrf",NA,NA,NA,"Abstract\n\nBackground/Aims Poor care coordination at hospital discharge can result in avoidable hospital readmissions. This study’s aim was to evaluate the effect of a community health worker (CHW) intervention, the Patient Navigator (PN), on readmission rates and post-discharge health care use in a safety net population.\n\nMethods This randomized controlled trial began in October 2011 among patients of Cambridge Health Alliance (CHA), an urban safety net health care system. We identified patients discharged from the medical service with lengths of stay 3 days or more, admission in the prior 6 months, age 60+ years, or admission for COPD or congestive heart failure. We randomized patients to the PN intervention or usual care alone. In the PN intervention, a bilingual hospital-based CHW engaged in discharge planning and made outreach phone calls to patients for 30 days after initial discharge and upon subsequent readmission. PNs assisted patients with follow-up appointments, obtaining and taking medications, transportation, financial barriers, and linkages to community resources. Sociodemographic, clinical, and utilization data were obtained from electronic medical records. Primary outcomes were the proportion of patients readmitted within 30 days, number of readmissions per patient, total number of hospital days within 180 days post-discharge, and proportion of patients with a primary care visit or an emergency department (ED) visit within 30 days. The trial will continue through spring 2013.\n\nResults As of October 2012, 423 patients were in the PN group and 513 in the control group. Fewer PN patients (12.1%) were readmitted within 30 days of an index discharge than controls (13.6%). Readmissions per patient were lower in the PN group compared to controls (0.70 vs. 0.81), as were total hospital days (3.42 vs. 3.59). More PN patients than controls had a primary care visit within 30 days (77.1% vs. 68.6%), but similar percentages had an ED visit within 30 days (11.3% vs. 10.9%).\n\nConclusions Preliminary results show a trend toward a reduction in probability of 30-day readmission, number of readmissions, and total hospital days for safety net patients receiving a PN intervention, and a trend toward greater probability of a primary care visit within 30 days of discharge.",NA
