"","author1","author2","author","title1","title2","title","abstract1","abstract2","abstract","year1","year2","year","number1","number2","number","pages1","pages2","pages","volume1","volume2","volume","journal1","journal2","journal","isbn","isbn1","isbn2","doi1","doi2","doi","record_id1","record_id2","label1","label2","source1","source2","duplicate_id.x","duplicate_id.y","match","min_id","max_id"
"1","L. di Pollina, I. Guessous, Véronique Petoud, C. Combescure, B. Buchs, P. Schaller, M. Kossovsky, J. Gaspoz","Di Pollina L,Guessous I,Petoud V,Combescure C,Buchs B,Schaller P",0.707947530864197,"Integrated care at home reduces unnecessary hospitalizations of community-dwelling frail older adults: a prospective controlled trial","Integrated care at home reduces unnecessary hospitalizations of community-dwelling frail older adults: a prospective controlled trial",1,NA,NA,0,2017,2017,1,NA,"1",NA,NA,"53",NA,NA,"17",NA,"BMC Geriatrics","BMC Geriatrics",1,0,NA,NA,"10.1186/s12877-017-0449-9","10.1186/s12877-017-0449-9",1,"sr3_elicit_1","sr3_original_68","elicit_ft_include","original_exclude","elicit","original","sr3_elicit_1","sr3_original_68",FALSE,"sr3_elicit_1","sr3_original_68"
"2","S. LaBedz, V. Prieto-Centurion, Amelia Mutso, Sanjib Basu, Nina E Bracken, Elizabeth Calhoun, R. Didomenico, Min Joo, A. Pickard, Barry Pittendrigh, Mark V. Williams, S. Illendula, J. A. Krishnan","LaBedz SL,Prieto-Centurion V,Mutso A,Basu S,Bracken NE,Calhoun EA",0.623931623931624,"Pragmatic Clinical Trial to Improve Patient Experience Among Adults During Transitions from Hospital to Home: the PArTNER study","Pragmatic clinical trial to improve patient experience among adults during transitions from hospital to home: the PArTNER study",1,NA,NA,0,2022,2022,1,NA,"16",NA,NA,"4103-4111",NA,NA,"37",NA,"Journal of general internal medicine","Journal of General Internal Medicine",1,0,NA,NA,"10.1007/s11606-022-07461-0","10.1007/s11606-022-07461-0",1,"sr3_elicit_101","sr3_original_111","elicit_ft_include","original_exclude","elicit","original","sr3_elicit_101","sr3_original_111",FALSE,"sr3_elicit_101","sr3_original_111"
"3","K. Griswold, G. Homish, Patricia A. Pastore, K. Leonard","Griswold KS,Homish GG,Pastore PA,Leonard KE",0.735835095137421,"A Randomized Trial: Are Care Navigators Effective in Connecting Patients to Primary Care after Psychiatric Crisis?","A randomized trial: are care navigators effective in connecting patients to primary care after psychiatric crisis?",1,NA,NA,0,2010,2010,1,NA,"4",NA,NA,"398-402",NA,NA,"46",NA,"Community mental health journal","Community Mental Health Journal",1,0,NA,NA,"10.1007/s10597-010-9300-x","10.1007/s10597-010-9300-x",1,"sr3_elicit_130","sr3_original_102","elicit_tiab_exclude","original_exclude","elicit","original","sr3_elicit_130","sr3_original_102",FALSE,"sr3_elicit_130","sr3_original_102"
"4","M. Pantell, D. Hessler, D. Long, Maoya Alqassari, Christine Schudel, Ellen Laves, Denisse Velazquez, A. Amaya, Patricia Sweeney, Abigail Burns, Francis L Harrison, N. Adler, L. Gottlieb","Pantell MS,Hessler D,Long D,Alqassari M,Schudel C,Laves E",0.617322585743638,"Effects of In-Person Navigation to Address Family Social Needs on Child Health Care Utilization","Effects of in-person navigation to address family social needs on child health care utilization: a randomized clinical trial",0.954098360655738,NA,NA,0,2020,2020,1,NA,"6",NA,NA,"e206445",NA,NA,"3",NA,"JAMA Network Open","JAMA Network Open",1,0,NA,NA,"10.1001/jamanetworkopen.2020.6445","10.1001/jamanetworkopen.2020.6445",1,"sr3_elicit_139","sr3_original_131","elicit_ft_exclude","original_exclude","elicit","original","sr3_elicit_139","sr3_original_131",FALSE,"sr3_elicit_139","sr3_original_131"
"5","Amy McQueen, David Von Nordheim, C. Caburnay, Linda Li, Cynthia Herrick, Lauren Grimes, Darrell J. Broussard, Rachel E. Smith, Dana Lawson, Yan Yan, Matthew W Kreuter","McQueen A,von Nordheim D,Caburnay C,Li L,Herrick C,Grimes L",0.626948471853516,"A Randomized Controlled Trial Testing the Effects of a Social Needs Navigation Intervention on Health Outcomes and Healthcare Utilization among Medicaid Members with Type 2 Diabetes","A randomized controlled trial testing the effects of a social needs navigation intervention on health outcomes and healthcare utilization among medicaid members with Type 2 Diabetes",1,NA,NA,0,2024,2024,1,NA,"7",NA,NA,"936",NA,NA,"21",NA,"International Journal of Environmental Research and Public Health","International Journal of Environmental Research and Public Health",1,0,NA,NA,"10.3390/ijerph21070936","10.3390/ijerph21070936",1,"sr3_elicit_14","sr3_original_15","elicit_ft_include","original_include","elicit","original","sr3_elicit_14","sr3_original_15",FALSE,"sr3_elicit_14","sr3_original_15"
"6","R. Abrams, Johanna Spiers, Jill Maben, Wendy Grosvenor, Morro Touray, Heather Gage","R. Abrams, Johanna Spiers, Jill Maben, Wendy Grosvenor, Morro Touray, Heather Gage",1,"Dementia care coordinators in primary care: a realist evaluation.","1 Dementia care coordinators in primary care: a realist evaluation",0.980099502487562,NA,NA,0,2024,2024,1,NA,NA,1,NA,NA,1,NA,NA,1,"The British journal of general practice : the journal of the Royal College of General Practitioners","1 Dementia care coordinators in primary care: a realist evaluation",0.647585801997567,0,NA,NA,"10.3399/bjgp24X737553","10.1136/bmjopen-2024-ucl-qhrn2024.1",0.711111111111111,"sr3_elicit_151","sr3_elicit_422","elicit_tiab_exclude","elicit_tiab_exclude","elicit","elicit","sr3_elicit_151","sr3_elicit_422",FALSE,"sr3_elicit_151","sr3_elicit_422"
"7","Wiebke Schüttig, Harald Darius, K. C. Reber, Marie Coors, Amelie Flothow, Alfred Holzgreve, Sebastian Karmann, Anica Stürtz, Rebecca Zöller, S. Kropp, Petra Riesner, L. Sundmacher","Schuttig WE,Darius H,Reber KC,Coors M,Flothow A,Holzgreve A",0.612071641586545,"Reducing rehospitalization in cardiac patients: a randomized, controlled trial of a cardiac care management program (“Cardiolotse”) in Germany","Reducing rehospitalization in cardiac patients: a randomized, controlled trial of a cardiac care management program (""Cardiolotse"") in Germany",1,NA,NA,0,2024,2024,1,NA,"1",NA,NA,"480",NA,NA,"22",NA,"BMC Medicine","BMC Medicine",1,0,NA,NA,"10.1186/s12916-024-03691-7","10.1186/s12916-024-03691-7",1,"sr3_elicit_179","sr3_original_19","elicit_ft_include","original_include","elicit","original","sr3_elicit_179","sr3_original_19",FALSE,"sr3_elicit_179","sr3_original_19"
"8","K. Fletcher, J. Mant","K. Fletcher, J. Mant",1,"A before and after study of the impact of Specialist Workers for Older People.","A before and after study of the impact of Specialist Workers for Older People.",1,NA,NA,0,2009,2009,1,NA,NA,1,NA,NA,1,NA,NA,1,"Journal of Evaluation In Clinical Practice","Journal of Evaluation In Clinical Practice",1,0,NA,NA,"10.1111/j.1365-2753.2008.00977.x","10.1111/j.1365-2753.2008.01008.x",0.9625,"sr3_elicit_195","sr3_elicit_324","elicit_tiab_exclude","elicit_tiab_exclude","elicit","elicit","sr3_elicit_195","sr3_elicit_324",FALSE,"sr3_elicit_195","sr3_elicit_324"
"9","Troels Kjærskov Hansen, L. H. Pedersen, S. Shahla, E. Damsgaard, J. Bruun, M. Gregersen","Hansen TK,Pedersen LH,Shahla S,Damsgaard EM,Bruun JM,Gregersen M",0.735184506353861,"Effects of a new early municipality-based versus a geriatric team-based transitional care intervention on readmission and mortality among frail older patients - a randomised controlled trial.","Effects of a new early municipality-based versus a geriatric team-based transitional care intervention on readmission and mortality among frail older patients - a randomised controlled trial",1,NA,NA,0,2021,2021,1,NA,NA,1,NA,"104511",NA,NA,"97",NA,"Archives of gerontology and geriatrics (Print)","Archives of Gerontology and Geriatrics",0.965217391304348,0,NA,NA,"10.1016/j.archger.2021.104511","10.1016/j.archger.2021.104511",1,"sr3_elicit_210","sr3_original_104","elicit_tiab_exclude","original_exclude","elicit","original","sr3_elicit_210","sr3_original_104",FALSE,"sr3_elicit_210","sr3_original_104"
"10","Jianzhen Zhang, M. Donald, K. Baxter, Robert S. Ware, L. Burridge, Anthony W. Russell, Anthony W. Russell, Claire Jackson","Zhang J,Donald M,Baxter KA,Ware RS,Burridge L,Russell AW",0.678079496261314,"Impact of an integrated model of care on potentially preventable hospitalizations for people with Type 2 diabetes mellitus","Impact of an integrated model of care on potentially preventable hospitalizations for people with Type 2 diabetes mellitus",1,NA,NA,0,2015,2015,1,NA,"7",NA,NA,"872-880",NA,NA,"32",NA,"Diabetic Medicine","Diabetic Medicine",1,0,NA,NA,"10.1111/dme.12705","10.1111/dme.12705",1,"sr3_elicit_216","sr3_original_179","elicit_ft_exclude","original_exclude","elicit","original","sr3_elicit_216","sr3_original_179",FALSE,"sr3_elicit_216","sr3_original_179"
