"","author1","author2","author","title1","title2","title","abstract1","abstract2","abstract","year1","year2","year","number1","number2","number","pages1","pages2","pages","volume1","volume2","volume","journal1","journal2","journal","isbn","isbn1","isbn2","doi1","doi2","doi","record_id1","record_id2","label1","label2","source1","source2","duplicate_id.x","duplicate_id.y","match","min_id","max_id"
"1","K. Finlayson, A. Chang, M. Courtney, H. Edwards, A. Parker, K. Hamilton, Thu Dinh Xuan Pham, Jane A O'Brien","Finlayson K,Chang AM,Courtney,Edwards HE,Parker AW,Hamilton K",0.698118073642817,"Transitional care interventions reduce unplanned hospital readmissions in high-risk older adults","Transitional care interventions reduce unplanned hospital readmissions in high-risk older adults",1,NA,NA,0,"2018","2018",1,NA,"1",NA,NA,"956",NA,NA,"18",NA,"BMC Health Services Research","BMC Health Services Research",1,0,NA,NA,"10.1186/s12913-018-3771-9","10.1186/s12913-018-3771-9",1,"sr3_elicit_10","sr3_original_89","elicit_include","original_exclude","elicit","original","sr3_elicit_10","sr3_original_89",FALSE,"sr3_elicit_10","sr3_original_89"
"2","L. Goldman, U. Sarkar, E. Kessell, David Guzman, Michelle Schneidermann, Edgar Pierluissi, Barbara Walter, E. Vittinghoff, J. Critchfield, M. Kushel","Goldman LE,Sarkar U,Kessell E,Guzman D,Schneidermann M,Pierluissi E",0.663338711846174,"Support from hospital to home for elders: a randomized trial.","Support from hospital to home for elders: a randomized trial",1,NA,NA,0,"2014","2014",1,NA,"7",NA,NA,"472-481",NA,NA,"161",NA,"Annals of Internal Medicine","Annals of Internal Medicine",1,0,NA,NA,"10.7326/M14-0094","10.7326/M14-0094",1,"sr3_elicit_117","sr3_original_100","elicit_include","original_exclude","elicit","original","sr3_elicit_117","sr3_original_100",FALSE,"sr3_elicit_117","sr3_original_100"
"3","J. Schnipper, L. Samal, Nyryan Nolido, Catherine S. Yoon, Anuj K. Dalal, Cherlie Magny-Normilus, A. Bitton, R. Thompson, Stephanie A. Labonville, G. Crevensten","Schnipper JL,Samal L,Nolido N,Yoon C,Dalal AK,Magny-Normilus C",0.646108067897477,"The Effects of a Multifaceted Intervention to Improve Care Transitions Within an Accountable Care Organization: Results of a Stepped-Wedge Cluster-Randomized Trial.","The effects of a multifaceted intervention to improve care transitions within an accountable care organization: results of a stepped-wedge cluster-randomized trial",1,NA,NA,0,"2020","2021",0.883333333333333,NA,"1",NA,NA,"15-22",NA,NA,"16",NA,"Journal of Hospital Medicine","Journal of Hospital Medicine",1,0,NA,NA,"10.12788/jhm.3513","10.12788/jhm.3513",1,"sr3_elicit_14","sr3_original_150","elicit_include","original_exclude","elicit","original","sr3_elicit_14","sr3_original_150",FALSE,"sr3_elicit_14","sr3_original_150"
"4","L. Thygesen, Sara Fokdal, T. Gj\xf8rup, Rod S. Taylor, A. Zwisler","Thygesen LC,Fokdal S,Gjorup T,Taylor RS,Zwisler AD,Prevention of Early Readmission Research Group",0.676150053682937,"Can municipality-based post-discharge follow-up visits including a general practitioner reduce early readmission among the fragile elderly (65+ years old)? A randomized controlled trial","Can municipality-based post-discharge follow-up visits including a general practitioner reduce early readmission among the fragile elderly (65+ years old)? A randomized controlled trial",1,NA,NA,0,"2015","2015",1,NA,"2",NA,NA,"65-73",NA,NA,"33",NA,"Scandinavian Journal of Primary Health Care","Scandinavian Journal of Primary Health Care",1,0,NA,NA,"10.3109/02813432.2015.1041831","10.3109/02813432.2015.1041831",1,"sr3_elicit_161","sr3_original_163","elicit_include","original_exclude","elicit","original","sr3_elicit_161","sr3_original_163",FALSE,"sr3_elicit_161","sr3_original_163"
"5","D. Zatzick, J. Russo, Peter Thomas, Doyanne A Darnell, H. Teter, Leah Ingraham, L. Whiteside, Jin Wang, Roxanne Guiney, Lea E Parker, Kirsten Sandgren, Margot Kelly Hedrick, Erik G Van Eaton, G. Jurkovich","Zatzick D,Russo J,Thomas P,Darnell D,Teter H,Ingraham L",0.598960190136661,"Patient-Centered Care Transitions After Injury Hospitalization: A Comparative Effectiveness Trial","Patient-centered care transitions after injury hospitalization: a comparative effectiveness trial",1,NA,NA,0,"2018","2018",1,NA,"2",NA,NA,"141-157",NA,NA,"81",NA,"Psychiatry","Psychiatry",1,0,NA,NA,"10.1080/00332747.2017.1354621","10.1080/00332747.2017.1354621",1,"sr3_elicit_171","sr3_original_178","elicit_include","original_exclude","elicit","original","sr3_elicit_171","sr3_original_178",FALSE,"sr3_elicit_171","sr3_original_178"
"6","Troels Kj\xe6rskov Hansen, L. H. Pedersen, S. Shahla, E. Damsgaard, J. Bruun, M. Gregersen","Hansen TK,Pedersen LH,Shahla S,Damsgaard EM,Bruun JM,Gregersen M",0.738194936783646,"Effects of a new early municipality-based versus a geriatric team-based transitional care intervention on readmission and mortality among frail older patients - a randomised controlled trial.","Effects of a new early municipality-based versus a geriatric team-based transitional care intervention on readmission and mortality among frail older patients - a randomised controlled trial",1,NA,NA,0,"2021","2021",1,NA,NA,1,NA,"104511",NA,NA,"97",NA,"Archives of gerontology and geriatrics (Print)","Archives of Gerontology and Geriatrics",0.965217391304348,0,NA,NA,"10.1016/j.archger.2021.104511","10.1016/j.archger.2021.104511",1,"sr3_elicit_179","sr3_original_104","elicit_include","original_exclude","elicit","original","sr3_elicit_179","sr3_original_104",FALSE,"sr3_elicit_179","sr3_original_104"
"7","Natalie Plant, P. Kelly, S. Leeder, M. D'Souza, K. Mallitt, T. Usherwood, S. Jan, S. Boyages, B. Essue, Justin W McNab, James A. Gillespie","Plant NA,Kelly PJ,Leeder SR,D'Souza M,Mallitt KA,Usherwood T",0.645431098010317,"Coordinated care versus standard care in hospital admissions of people with chronic illness: a randomised controlled trial","Coordinated care versus standard care in hospital admissions of people with chronic illness: a randomised controlled trial",1,NA,NA,0,"2015","2015",1,NA,"1",NA,NA,"33-38",NA,NA,"203",NA,"Medical Journal of Australia","Medical Journal of Australia",1,0,NA,NA,"10.5694/mja14.01049",NA,NA,"sr3_elicit_2","sr3_original_136","elicit_include","original_exclude","elicit","original","sr3_elicit_2","sr3_original_136",FALSE,"sr3_elicit_2","sr3_original_136"
"8","C. Boult, Lisa Reider, B. Leff, K. Frick, C. Boyd, J. Wolff, K. Frey, Lya Karm, S. Wegener, Tracy M. Mroz, D. Scharfstein","Boult C,Reider L,Leff B,Frick KD,Boyd CM,Wolff JL",0.65320646164802,"The effect of guided care teams on the use of health services: results from a cluster-randomized controlled trial.","The effect of guided care teams on the use of health services: results from a cluster-randomized controlled trial",1,NA,NA,0,"2011","2011",1,NA,"5",NA,NA,"460-466",NA,NA,"171",NA,"Archives of Internal Medicine","Archives of Internal Medicine",1,0,NA,NA,"10.1001/archinternmed.2010.540","10.1001/archinternmed.2010.540",1,"sr3_elicit_20","sr3_original_42","elicit_include","original_exclude","elicit","original","sr3_elicit_20","sr3_original_42",FALSE,"sr3_elicit_20","sr3_original_42"
"9","Wiebke Sch\xfcttig, Harald Darius, K. C. Reber, Marie Coors, Amelie Flothow, Alfred Holzgreve, Sebastian Karmann, Anica St\xfcrtz, Rebecca Z\xf6ller, S. Kropp, Petra Riesner, L. Sundmacher","Schuttig WE,Darius H,Reber KC,Coors M,Flothow A,Holzgreve A",0.607066175848095,"Reducing rehospitalization in cardiac patients: a randomized, controlled trial of a cardiac care management program (\x93Cardiolotse\x94) in Germany","Reducing rehospitalization in cardiac patients: a randomized, controlled trial of a cardiac care management program (""Cardiolotse"") in Germany",0.991549295774648,NA,NA,0,"2024","2024",1,NA,"1",NA,NA,"480",NA,NA,"22",NA,"BMC Medicine","BMC Medicine",1,0,NA,NA,"10.1186/s12916-024-03691-7","10.1186/s12916-024-03691-7",1,"sr3_elicit_234","sr3_original_19","elicit_include","original_include","elicit","original","sr3_elicit_234","sr3_original_19",FALSE,"sr3_elicit_234","sr3_original_19"
"10","Lauren Kelley, R. Capp, J. Carmona, G. D'Onofrio, H. Mei, Darcey Cobbs-Lomax, P. Ellis","Kelley L,Capp R,Carmona JF,D'Onofrio G,Mei H,Cobbs-Lomax D",0.735650942378668,"Patient Navigation to Reduce Emergency Department (ED) Utilization Among Medicaid Insured, Frequent ED Users: A Randomized Controlled Trial.","Patient navigation to reduce Emergency Department (ED) utilization among medicaid insured, frequent ED users: a randomized controlled trial",1,NA,NA,0,"2020","2020",1,NA,"6",NA,NA,"967-977",NA,NA,"58",NA,"Journal of Emergency Medicine","Journal of Emergency Medicine",1,0,NA,NA,"10.1016/j.jemermed.2019.12.001","10.1016/j.jemermed.2019.12.001",1,"sr3_elicit_236","sr3_original_14","elicit_include","original_include","elicit","original","sr3_elicit_236","sr3_original_14",FALSE,"sr3_elicit_236","sr3_original_14"
