"duplicate_id","author","year","journal","doi","title","abstract","label","source","pages","volume","number","isbn","record_ids"
"sr3_original_4","Blumer V,Gayowsky A,Xie F,Greene SJ,Graham MM,Ezekowitz JA","2021","European Journal of Heart Failure","10.1002/ejhf.2312","Effect of patient-centered transitional care services on patient-reported outcomes in heart failure: sex-specific analysis of the PACT-HF randomized controlled trial","","nk_robot_include, original_include","original,nk","1488-1498","23","9","","sr3_original_4,sr3_nk_9586"
"sr3_original_6","Brown DM,Hernandez EA,Levin S,De Vaan M,Kim M-O,Lynch C","2022","Annals of Internal Medicine","10.7326/m22-0074","Effect of social needs case management on hospital use among adult medicaid beneficiaries: a randomized study","","nk_robot_include, original_include","original,nk","1109-1117","175","8","","sr3_original_6,sr3_nk_1328"
"sr3_original_8","Compton MT,Kelley ME,Anderson S,Ellis S,Graves J,Broussard B","2023","Journal of Clinical Psychiatry","10.4088/jcp.22m14498","Opening doors to recovery: a randomized controlled trial of a recovery-oriented community navigation service for individuals with serious mental illnesses and repeated hospitalizations","","nk_robot_include, original_include","original,nk","22m14498","84","2","","sr3_original_8,sr3_nk_2195"
"sr3_original_11","Fors A,Blanck E,Ali L,Ekberg-Jansson A,Fu M,Lindstrom Kjellberg I","2018","PLoS One","10.1371/journal.pone.0203031","Effects of a person-centred telephone-support in patients with chronic obstructive pulmonary disease and/or chronic heart failure: A randomized controlled trial","","nk_robot_include, original_include","original,nk","e0203031","13","8","","sr3_original_11,sr3_nk_1736"
"sr3_original_12","Gryczynski J,Nordeck CD,Welsh C,Mitchell SG,O'Grady KE,Schwartz RP","2021","Annals of Internal Medicine","10.7326/m20-5475","Preventing hospital readmission for patients with comorbid substance use disorder: a randomized trial","","nk_robot_include, original_include","original,nk","899-909","174","7","","sr3_original_12,sr3_nk_1453"
"sr3_original_15","McQueen A,von Nordheim D,Caburnay C,Li L,Herrick C,Grimes L","2024","International Journal of Environmental Research and Public Health","10.3390/ijerph21070936","A randomized controlled trial testing the effects of a social needs navigation intervention on health outcomes and healthcare utilization among medicaid members with Type 2 Diabetes","","nk_robot_include, original_include","original,nk","936","21","7","","sr3_original_15,sr3_nk_3113"
"sr3_original_17","Reinius P,Johansson M,Fjellner A,Werr J,Ohlen G,Edgren G","2013","European Journal of Emergency Medicine","10.1097/mej.0b013e328358bf5a","A telephone-based case-management intervention reduces healthcare utilization for frequent emergency department visitors","","nk_robot_include, original_include","original,nk","327-334","20","5","","sr3_original_17,sr3_nk_902"
"sr3_original_18","Edgren G,Anderson J,Dolk A,Torgerson J,Nyberg S,Skau T","2016","European Journal of Emergency Medicine","10.1097/mej.0000000000000280","A case management intervention targeted to reduce healthcare consumption for frequent Emergency Department visitors: results from an adaptive randomized trial","","nk_robot_include, original_include","original,nk","344-350","23","5","","sr3_original_18,sr3_nk_1273"
"sr3_original_19","Schuttig WE,Darius H,Reber KC,Coors M,Flothow A,Holzgreve A","2024","BMC Medicine","10.1186/s12916-024-03691-7","Reducing rehospitalization in cardiac patients: a randomized, controlled trial of a cardiac care management program (""Cardiolotse"") in Germany","","nk_robot_exclude, original_include","original,nk","480","22","1","","sr3_original_19,sr3_nk_2231"
"sr3_original_21","Young JM,Butow PN,Walsh J,Durcinoska I,Dobbins TA,Rodwell L","2013","Journal of Clinical Oncology","10.1200/jco.2012.48.1036","Multicenter randomized trial of centralized nurse-led telephone-based care coordination to improve outcomes after surgical resection for colorectal cancer: the CONNECT intervention","","nk_robot_include, original_include","original,nk","3585-3591","31","28","","sr3_original_21,sr3_nk_684"
"sr3_original_24","Aboumatar H,Naqibuddin M,Chung S,Chaudhry H,Kim SW,Saunders J","2018","JAMA","10.1001/jama.2018.17933","Effect of a program combining transitional care and long-term self-management support on outcomes of hospitalized patients with chronic obstructive pulmonary disease: a randomized clinical trial","","nk_robot_exclude, original_exclude","original,nk","Retraction of: Aboumatar et al. Effect of a program combining transitional care and long-term self-management support on outcomes of hospitalized patients with chronic obstructive pulmonary disease: a randomized clinical trial. JAMA 2018;320(22):2335-43. JAMA 2019;322(14):1417-8","320","22","","sr3_original_24,sr3_nk_2281"
"sr3_original_25","Aboumatar H,Naqibuddin M,Chung S,Chaudhry H,Kim SW,Saunders J","2019","JAMA","10.1001/jama.2019.11982","Effect of a hospital-initiated program combining transitional care and long-term self-management support on outcomes of patients hospitalized with chronic obstructive pulmonary disease: a randomized clinical trial","","nk_robot_include, original_exclude","original,nk","1371-1380","322","14","","sr3_original_25,sr3_nk_2283"
