"duplicate_id","author","year","journal","doi","title","pages","volume","number","abstract","isbn","label","source","record_ids"
"sr2_original_21","Pollock N. R.Savage T. J.Wardell H.Lee R. A.Mathew A.Stengelin M.Sigal G. B.",NA,"","10.1128/JCM.03077-20","Correlation of SARS-CoV-2 Nucleocapsid Antigen and RNA Concentrations in Nasopharyngeal Samples from Children and Adults Using an Ultrasensitive and Quantitative Antigen Assay",NA,NA,NA,NA,NA,"original_ft_exclude,elicit_include","original,elicit","sr2_original_21,sr2_elicit_120"
"sr2_original_52","A. Sisay; S. Hartnack; A. Tiruneh; Y. Desalegn; A. Tesfaye; A. F. Desta",NA,"","10.1101/2022.04.25.22274285","Evaluating diagnostic accuracies of Panbio™ COVID-19 rapid antigen test and RT- PCR for the detection of SARS-CoV-2 in Addis Ababa, Ethiopia using Bayesian Latent-Class Models (BLCM)",NA,NA,NA,NA,NA,"original_ft_exclude,elicit_include","original,elicit","sr2_original_52,sr2_elicit_382"
"sr2_original_94","J. Heskin; S. J. C. Pallett; A. Al-Hindawi; G.
W. Davies; M. Rayment; N. Mughal; P. Randell; R. Jones; L. S. P. Moore",NA,"","10.1038/s41598-022-12805-1","Evaluating the performance characteristics of five lateral flow assays for the detection of the SARS-CoV-2 nucleocapsid antigen",NA,NA,NA,NA,NA,"original_ft_exclude,elicit_include","original,elicit","sr2_original_94,sr2_elicit_368"
"sr2_original_97","Albert E.Torres I.Bueno F.Huntley D.Molla E.Fernández-Fuentes MÁMartínez M.Poujois S.Forqué L.Valdivia A.Solano de la Asunción C.Ferrer J.Colomina J.Navarro D.",NA,"","10.1016/j.cmi.2020.11.004","Field evaluation of a rapid antigen test (Panbio™ COVID-19 Ag Rapid Test Device) for COVID-19 diagnosis in primary healthcare centres",NA,NA,NA,NA,NA,"original_ft_exclude,elicit_include","original,elicit","sr2_original_97,sr2_elicit_42"
"sr2_original_99","Berger A.Nsoga M. T. N.Perez-Rodriguez
F. J.Aad Y. A.Sattonnet-Roche P.Gayet- Ageron A.Jaksic C.Torriani G.Boehm E.Kronig I.Sacks J. A.de Vos M.Bausch F. J.Chappuis F.Renzoni A.Kaiser L.Schibler
M.Eckerle I.",NA,"","10.1371/journal.pone.0248921","Diagnostic accuracy of two commercial SARS-CoV-2 antigen-detecting rapid tests at the point of care in community-based testing centers",NA,NA,NA,NA,NA,"original_ft_exclude,elicit_include","original,elicit","sr2_original_99,sr2_elicit_9"
"sr2_original_100","Bianco G.Boattini M.Barbui A. M.Scozzari G.Riccardini F.Coggiola M.Lupia E.Cavallo R.Costa C.",NA,"","10.1016/j.jcv.2021.104838","Evaluation of an antigen-based test for hospital point-of-care diagnosis of SARS-CoV- 2 infection",NA,NA,NA,NA,NA,"original_ft_exclude,elicit_include","original,elicit","sr2_original_100,sr2_elicit_143"
"sr2_original_103","Ciotti M.Maurici M.Pieri M.Andreoni M.Bernardini S.",NA,"","10.1002/jmv.26830","Performance of a rapid antigen test in the diagnosis of SARS-CoV-2 infection",NA,NA,NA,NA,NA,"original_ft_exclude,elicit_include","original,elicit","sr2_original_103,sr2_elicit_54"
"sr2_original_105","Drain PK Ampajwala M",NA,"","10.7326/ACPJ202107200-082","In adults and children, a rapid POC antigen test for COVID-19 (LumiraDx) had ?97% sensitivity and specificity vs. RT-PCR",NA,NA,NA,NA,NA,"original_ft_exclude,elicit_include","original,elicit","sr2_original_105,sr2_elicit_135"
"sr2_original_106","Drain P. K.Ampajwala M.Chappel C.Gvozden A. B.Hoppers M.Wang M.Rosen R.Young S.Zissman E.Montano M.",NA,"","10.1007/s40121-021-00413-x","A Rapid, High-Sensitivity SARS-CoV-2 Nucleocapsid Immunoassay to Aid Diagnosis of Acute COVID-19 at the Point of Care: A Clinical Performance Study",NA,NA,NA,NA,NA,"original_ft_exclude,elicit_include","original,elicit","sr2_original_106,sr2_elicit_41"
"sr2_original_107","Favresse J.Gillot C.Oliveira M.Cadrobbi J.Elsen M.Eucher C.Laffineur K.Rosseels C.Van Eeckhoudt S.Nicolas J. B.Morimont
L.Dogné J. M.Douxfils J.",NA,"","10.3390/jcm10020265","Head-to-head comparison of rapid and automated antigen detection tests for the diagnosis of SARS-CoV-2 infection",NA,NA,NA,NA,NA,"original_ft_exclude,elicit_include","original,elicit","sr2_original_107,sr2_elicit_98"
"sr2_original_111","Möckel M.Corman V. M.Stegemann M. S.Hofmann J.Stein A.Jones T.  C.Gastmeier P.Seybold J.Offermann R.Bachmann U.Lindner T.Bauer W.Drosten
C.Rosen A.Somasundaram R.",NA,"","10.1080/1354750X.2021.1876769","SARS-CoV-2 antigen rapid immunoassay for diagnosis of COVID-19 in the emergency department",NA,NA,NA,NA,NA,"original_ft_exclude,elicit_include","original,elicit","sr2_original_111,sr2_elicit_57"
"sr2_original_116","Landaas E. T.Storm M. L.Tollånes M. C.Barlinn R.Kran A. B.Bragstad K.Christensen A.Andreassen T.",NA,"","10.1016/j.jcv.2021.104789","Diagnostic performance of a SARS-CoV-2 rapid antigen test in a large, Norwegian cohort",NA,NA,NA,NA,NA,"original_ft_exclude,elicit_exclude","original,elicit","sr2_original_116,sr2_elicit_153"
"sr2_original_117","Lefever S.Indevuyst C.Cuypers L.Dewaele K.Yin N.Cotton F.Padalko E.Oyaert M.Descy J.Cavalier E.Van Ranst M.André
E.Lagrou K.Vermeersch P.",NA,"","10.1128/JCM.00374-21","Comparison of the Quantitative DiaSorin Liaison Antigen Test to Reverse Transcription-PCR for the Diagnosis of COVID-19 in Symptomatic and Asymptomatic Outpatients",NA,NA,NA,NA,NA,"original_ft_exclude,elicit_include","original,elicit","sr2_original_117,sr2_elicit_275"
"sr2_original_118","Matsuda E. M.de Campos I. B.de Oliveira I. P.Colpas D. R.Carmo AmdsBrígido L. F.  M.",NA,"","10.1002/jmv.26985","Field evaluation of COVID-19 antigen tests versus RNA based detection: Potential lower sensitivity compensated by immediate results, technical simplicity, and low cost",NA,NA,NA,NA,NA,"original_ft_exclude,elicit_include","original,elicit","sr2_original_118,sr2_elicit_223"
"sr2_original_119","Merino P.Guinea J.Muñoz-Gallego I.González-Donapetry P.Galán J. C.Antona N.Cilla G.Hernáez-Crespo S.Díaz-de Tuesta J. L.Gual-de Torrella A.González- Romo F.Escribano P.Sánchez-Castellano MÁSota-Busselo M.Delgado-Iribarren A.García J.Cantón R.Muñoz P.Folgueira M. D.Cuenca-Estrella M.Oteo-Iglesias J.",NA,"","10.1016/j.cmi.2021.02.001","Multicenter evaluation of the Panbio™ COVID-19 rapid antigen-detection test for the diagnosis of SARS-CoV-2 infection",NA,NA,NA,NA,NA,"original_ft_exclude,elicit_include","original,elicit","sr2_original_119,sr2_elicit_344"
"sr2_original_120","Muhi StephenTayler NickHoang TuyetBallard Susan A.Graham MaryzaRojek AmandaKwong Jason C.Trubiano Jason A.Smibert OliviaDrewett GeorgeJames FionaGardiner EmmaChea SocheataIsles NicoleSait MichellePasricha ShivaniTaiaroa GeorgeMcAuley JulieWilliams EloiseGibney Katherine B.Stinear Timothy P.Bond KatherineLewin Sharon R.Putland MarkHowden Benjamin P.Williamson Deborah A.",NA,"","10.1016/j.lanwpc.2021.100115","Multi-site assessment of rapid, point-of-care antigen testing for the diagnosis of SARS-CoV-2 infection in a low-prevalence setting: A validation and implementation study",NA,NA,NA,NA,NA,"original_ft_exclude,elicit_include","original,elicit","sr2_original_120,sr2_elicit_125"
